tags: darakwon 14-과


[sound:취미.mp3]	취미	passe-temps, loisir
[sound:등산했어요.mp3]	등산했어요<hr/>등산하셨어요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">등산하다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">등산하십니다</div>등산합니다</div><div class="해요체"><div class="높임">등산하세요</div>등산해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">등산하셨습니다</div>등산했습니다</div><div class="해요체"><div class="높임">등산하셨어요</div>등산했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">등산하실 겁니다</div>등산할 겁니다</div><div class="해요체"><div class="높임">등산하실 거예요</div>등산할 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">등산하시고</div>등산하고</div><div class="연결"><div class="높임">등산하시지만</div>등산하지만</div><div class="연결"><div class="높임">등산하시는데</div>등산하는데</div><div class="연결"><div class="높임">등산하시면</div>등산하면</div><div class="연결"><div class="높임">등산하셔서</div>등산해서</div></div></div>	il randonnait<p class="small">(해요체, registre informel poli)</p>

[sound:춤.mp3]	춤	danse<p class="small">(운동: sport)</p>
[sound:춤추다.mp3]	춤(을 )추다	danser
[sound:춤춰요.mp3]	춤<span class="불규칙">춰</span>요<hr/>춤추세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">춤추다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">춤추십니다</div>춤춥니다</div><div class="해요체"><div class="높임">춤추세요</div>춤춰요</div></div><div class="과거"><div class="하십시오체"><div class="높임">춤추셨습니다</div>춤추었습니다</div><div class="해요체"><div class="높임">춤추셨어요</div>춤추었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">춤추실 겁니다</div>춤출 겁니다</div><div class="해요체"><div class="높임">춤추실 거예요</div>춤출 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">춤추시고</div>춤추고</div><div class="연결"><div class="높임">춤추시지만</div>춤추지만</div><div class="연결"><div class="높임">춤추시는데</div>춤추는데</div><div class="연결"><div class="높임">춤추시면</div>춤추면</div><div class="연결"><div class="높임">춤추셔서</div>춤추어서</div></div></div>	il danse<p class="small">(해요체, registre informel poli)</p>
[sound:춤춥니다.mp3]	춤춥니다<hr/>춤추십니다<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">춤추다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">춤추십니다</div>춤춥니다</div><div class="해요체"><div class="높임">춤추세요</div>춤춰요</div></div><div class="과거"><div class="하십시오체"><div class="높임">춤추셨습니다</div>춤추었습니다</div><div class="해요체"><div class="높임">춤추셨어요</div>춤추었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">춤추실 겁니다</div>춤출 겁니다</div><div class="해요체"><div class="높임">춤추실 거예요</div>춤출 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">춤추시고</div>춤추고</div><div class="연결"><div class="높임">춤추시지만</div>춤추지만</div><div class="연결"><div class="높임">춤추시는데</div>춤추는데</div><div class="연결"><div class="높임">춤추시면</div>춤추면</div><div class="연결"><div class="높임">춤추셔서</div>춤추어서</div></div></div>	il danse<p class="small">(하십시오체, registre formel poli)</p>
[sound:춤추었어요.mp3]	춤추었어요<hr/>춤추셨어요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">춤추다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">춤추십니다</div>춤춥니다</div><div class="해요체"><div class="높임">춤추세요</div>춤춰요</div></div><div class="과거"><div class="하십시오체"><div class="높임">춤추셨습니다</div>춤추었습니다</div><div class="해요체"><div class="높임">춤추셨어요</div>춤추었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">춤추실 겁니다</div>춤출 겁니다</div><div class="해요체"><div class="높임">춤추실 거예요</div>춤출 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">춤추시고</div>춤추고</div><div class="연결"><div class="높임">춤추시지만</div>춤추지만</div><div class="연결"><div class="높임">춤추시는데</div>춤추는데</div><div class="연결"><div class="높임">춤추시면</div>춤추면</div><div class="연결"><div class="높임">춤추셔서</div>춤추어서</div></div></div>	il dansait<p class="small">(해요체, registre informel poli)</p>

[sound:기타.mp3]	기타	guitare<hr/>autre, ainsi de suite, et cetera (etc.)
[sound:독서.mp3]	독서	lecture
[sound:인터넷_게임.mp3]	인터넷 게임	jeu en ligne<p class="small">(litt. “sur internet”)</p>

[sound:찍다.mp3]	찍다	prendre, enregistrer<p class="small">(à partir d'un modèle : image, son, vidéo, etc.)</p><hr/>imprimer<p class="small">(un document)</p><hr/>appliquer<p class="small">(un cosmétique)</p><hr/>tamponner, marquer
[sound:사진을_찍다.mp3]	사진을 찍다	prendre une photo
[sound:찍어요.mp3]	찍어요<hr/>찍으세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">찍다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">찍으십니다</div>찍습니다</div><div class="해요체"><div class="높임">찍으세요</div>찍어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">찍으셨습니다</div>찍었습니다</div><div class="해요체"><div class="높임">찍으셨어요</div>찍었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">찍으실 겁니다</div>찍을 겁니다</div><div class="해요체"><div class="높임">찍으실 거예요</div>찍을 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">찍으시고</div>찍고</div><div class="연결"><div class="높임">찍으시지만</div>찍지만</div><div class="연결"><div class="높임">찍으시는데</div>찍는데</div><div class="연결"><div class="높임">찍으시면</div>찍으면</div><div class="연결"><div class="높임">찍으셔서</div>찍어서</div></div></div>	il prend, il enregistre<p class="small">(해요체, registre informel poli)</p>
[sound:찍습니다.mp3]	찍습니다<hr/>찍으십니다<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">찍다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">찍으십니다</div>찍습니다</div><div class="해요체"><div class="높임">찍으세요</div>찍어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">찍으셨습니다</div>찍었습니다</div><div class="해요체"><div class="높임">찍으셨어요</div>찍었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">찍으실 겁니다</div>찍을 겁니다</div><div class="해요체"><div class="높임">찍으실 거예요</div>찍을 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">찍으시고</div>찍고</div><div class="연결"><div class="높임">찍으시지만</div>찍지만</div><div class="연결"><div class="높임">찍으시는데</div>찍는데</div><div class="연결"><div class="높임">찍으시면</div>찍으면</div><div class="연결"><div class="높임">찍으셔서</div>찍어서</div></div></div>	il prend, il enregistre<p class="small">(하십시오체, registre formel poli)</p>
[sound:찍었어요.mp3]	찍었어요<hr/>찍으셨어요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">찍다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">찍으십니다</div>찍습니다</div><div class="해요체"><div class="높임">찍으세요</div>찍어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">찍으셨습니다</div>찍었습니다</div><div class="해요체"><div class="높임">찍으셨어요</div>찍었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">찍으실 겁니다</div>찍을 겁니다</div><div class="해요체"><div class="높임">찍으실 거예요</div>찍을 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">찍으시고</div>찍고</div><div class="연결"><div class="높임">찍으시지만</div>찍지만</div><div class="연결"><div class="높임">찍으시는데</div>찍는데</div><div class="연결"><div class="높임">찍으시면</div>찍으면</div><div class="연결"><div class="높임">찍으셔서</div>찍어서</div></div></div>	il prenait, il enregistrait<p class="small">(해요체, registre informel poli)</p>

[sound:보내다.mp3]	보내다<p class="small">(&ne;&nbsp;받다)</p>	envoyer<p class="small">(quelque chose ou quelqu'un ; &ne;&nbsp;recevoir)</p>
[sound:보내요.mp3]	보<span class="불규칙">내</span>요<hr/>보내세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">보내다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">보내십니다</div>보냅니다</div><div class="해요체"><div class="높임">보내세요</div>보내요</div></div><div class="과거"><div class="하십시오체"><div class="높임">보내셨습니다</div>보냈습니다</div><div class="해요체"><div class="높임">보내셨어요</div>보냈어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">보내실 겁니다</div>보낼 겁니다</div><div class="해요체"><div class="높임">보내실 거예요</div>보낼 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">보내시고</div>보내고</div><div class="연결"><div class="높임">보내시지만</div>보내지만</div><div class="연결"><div class="높임">보내시는데</div>보내는데</div><div class="연결"><div class="높임">보내시면</div>보내면</div><div class="연결"><div class="높임">보내셔서</div>보내서</div></div></div>	il envoie<p class="small">(해요체, registre informel poli)</p>
[sound:보냅니다.mp3]	보냅니다<hr/>보내십니다<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">보내다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">보내십니다</div>보냅니다</div><div class="해요체"><div class="높임">보내세요</div>보내요</div></div><div class="과거"><div class="하십시오체"><div class="높임">보내셨습니다</div>보냈습니다</div><div class="해요체"><div class="높임">보내셨어요</div>보냈어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">보내실 겁니다</div>보낼 겁니다</div><div class="해요체"><div class="높임">보내실 거예요</div>보낼 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">보내시고</div>보내고</div><div class="연결"><div class="높임">보내시지만</div>보내지만</div><div class="연결"><div class="높임">보내시는데</div>보내는데</div><div class="연결"><div class="높임">보내시면</div>보내면</div><div class="연결"><div class="높임">보내셔서</div>보내서</div></div></div>	il envoie<p class="small">(하십시오체, registre formel poli)</p>
[sound:보냈어요.mp3]	보<span class="불규칙">냈</span>어요<hr/>보내셨어요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">보내다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">보내십니다</div>보냅니다</div><div class="해요체"><div class="높임">보내세요</div>보내요</div></div><div class="과거"><div class="하십시오체"><div class="높임">보내셨습니다</div>보냈습니다</div><div class="해요체"><div class="높임">보내셨어요</div>보냈어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">보내실 겁니다</div>보낼 겁니다</div><div class="해요체"><div class="높임">보내실 거예요</div>보낼 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">보내시고</div>보내고</div><div class="연결"><div class="높임">보내시지만</div>보내지만</div><div class="연결"><div class="높임">보내시는데</div>보내는데</div><div class="연결"><div class="높임">보내시면</div>보내면</div><div class="연결"><div class="높임">보내셔서</div>보내서</div></div></div>	il envoyait<p class="small">(해요체, registre informel poli)</p>

[sound:모르다.mp3]	모르다<p class="small">(&ne;&nbsp;알다)</p>	ne pas savoir, ignorer<p class="small">(&ne;&nbsp;savoir, connaître)</p>
[sound:몰라요.mp3]	<span class="불규칙">몰라</span>요<hr/>모르세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">모르다</div><div class="불규칙">(“르” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">모르십니다</div>모릅니다</div><div class="해요체"><div class="높임">모르세요</div>몰라요</div></div><div class="과거"><div class="하십시오체"><div class="높임">모르셨습니다</div>몰랐습니다</div><div class="해요체"><div class="높임">모르셨어요</div>몰랐어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">모르실 겁니다</div>모를 겁니다</div><div class="해요체"><div class="높임">모르실 거예요</div>모를 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">모르시고</div>모르고</div><div class="연결"><div class="높임">모르시지만</div>모르지만</div><div class="연결"><div class="높임">모르시는데</div>모르는데</div><div class="연결"><div class="높임">모르시면</div>모르면</div><div class="연결"><div class="높임">모르셔서</div>몰라서</div></div></div>	il ne sait pas, il ignore<p class="small">(해요체, registre informel poli)</p>
[sound:모릅니다.mp3]	모릅니다<hr/>모르십니다<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">모르다</div><div class="불규칙">(“르” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">모르십니다</div>모릅니다</div><div class="해요체"><div class="높임">모르세요</div>몰라요</div></div><div class="과거"><div class="하십시오체"><div class="높임">모르셨습니다</div>몰랐습니다</div><div class="해요체"><div class="높임">모르셨어요</div>몰랐어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">모르실 겁니다</div>모를 겁니다</div><div class="해요체"><div class="높임">모르실 거예요</div>모를 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">모르시고</div>모르고</div><div class="연결"><div class="높임">모르시지만</div>모르지만</div><div class="연결"><div class="높임">모르시는데</div>모르는데</div><div class="연결"><div class="높임">모르시면</div>모르면</div><div class="연결"><div class="높임">모르셔서</div>몰라서</div></div></div>	il ne sait pas, il ignore<p class="small">(하십시오체, registre formel poli)</p>
[sound:몰랐어요.mp3]	<span class="불규칙">몰랐</span>어요<hr/>모르셨어요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">모르다</div><div class="불규칙">(“르” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">모르십니다</div>모릅니다</div><div class="해요체"><div class="높임">모르세요</div>몰라요</div></div><div class="과거"><div class="하십시오체"><div class="높임">모르셨습니다</div>몰랐습니다</div><div class="해요체"><div class="높임">모르셨어요</div>몰랐어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">모르실 겁니다</div>모를 겁니다</div><div class="해요체"><div class="높임">모르실 거예요</div>모를 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">모르시고</div>모르고</div><div class="연결"><div class="높임">모르시지만</div>모르지만</div><div class="연결"><div class="높임">모르시는데</div>모르는데</div><div class="연결"><div class="높임">모르시면</div>모르면</div><div class="연결"><div class="높임">모르셔서</div>몰라서</div></div></div>	il ne savait pas, il ignorait<p class="small">(해요체, registre informel poli)</p>

[sound:치다.mp3]	치다	frapper<ul><li>peut s'utiliser pour tous les sports qui se pratiquent avec une raquette : tennis (테니스), ping-pong (탁구), badminton (배드민턴), golf (골프), &hellip;</li></ul>
[sound:쳐요.mp3]	<span class="불규칙">쳐</span>요<hr/>치세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">치다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">치십니다</div>칩니다</div><div class="해요체"><div class="높임">치세요</div>쳐요</div></div><div class="과거"><div class="하십시오체"><div class="높임">치셨습니다</div>쳤습니다</div><div class="해요체"><div class="높임">치셨어요</div>쳤어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">치실 겁니다</div>칠 겁니다</div><div class="해요체"><div class="높임">치실 거예요</div>칠 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">치시고</div>치고</div><div class="연결"><div class="높임">치시지만</div>치지만</div><div class="연결"><div class="높임">치시는데</div>치는데</div><div class="연결"><div class="높임">치시면</div>치면</div><div class="연결"><div class="높임">치셔서</div>쳐서</div></div></div>	il frappe<p class="small">(해요체, registre informel poli)</p>
[sound:칩니다.mp3]	칩니다<hr/>치십니다<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">치다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">치십니다</div>칩니다</div><div class="해요체"><div class="높임">치세요</div>쳐요</div></div><div class="과거"><div class="하십시오체"><div class="높임">치셨습니다</div>쳤습니다</div><div class="해요체"><div class="높임">치셨어요</div>쳤어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">치실 겁니다</div>칠 겁니다</div><div class="해요체"><div class="높임">치실 거예요</div>칠 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">치시고</div>치고</div><div class="연결"><div class="높임">치시지만</div>치지만</div><div class="연결"><div class="높임">치시는데</div>치는데</div><div class="연결"><div class="높임">치시면</div>치면</div><div class="연결"><div class="높임">치셔서</div>쳐서</div></div></div>	il frappe<p class="small">(하십시오체, registre formel poli)</p>
[sound:쳤어요.mp3]	<span class="불규칙">쳤</span>어요<hr/>치셨어요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">치다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">치십니다</div>칩니다</div><div class="해요체"><div class="높임">치세요</div>쳐요</div></div><div class="과거"><div class="하십시오체"><div class="높임">치셨습니다</div>쳤습니다</div><div class="해요체"><div class="높임">치셨어요</div>쳤어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">치실 겁니다</div>칠 겁니다</div><div class="해요체"><div class="높임">치실 거예요</div>칠 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">치시고</div>치고</div><div class="연결"><div class="높임">치시지만</div>치지만</div><div class="연결"><div class="높임">치시는데</div>치는데</div><div class="연결"><div class="높임">치시면</div>치면</div><div class="연결"><div class="높임">치셔서</div>쳐서</div></div></div>	il frappait<p class="small">(해요체, registre informel poli)</p>

[sound:테니스하다.mp3]	테니스하다<hr/>테니스를 치다	jouer au tennis
[sound:탁구하다.mp3]	탁구하다<hr/>탁구를 치다	jouer au ping-pong
[sound:배드민턴하다.mp3]	배드민턴하다<hr/>배드민턴을 치다	jouer au badminton
[sound:골프하다.mp3]	골프하다<hr/>골프를 치다	jouer au golf

[sound:능력.mp3]	능력 <span class="small">[능녁]</span>	capacité, aptitude
[sound:을_줄_알다.mp3]	-(으)ㄹ 줄 알다 / 모르다	(ne pas) savoir faire qq chose<ul><li>s'emploie pour exprimer la capacité (<span class="em">능력</span>) ou l'incapacité à faire quelque chose</li><li>cette construction fonctionne uniquement avec des verbes d'action&nbsp;: (ne pas) savoir conduire, lire, &hellip;</li></ul>

[sound:가능.mp3]	가능	possibilité
[sound:을_수_있다.mp3]	-(으)ㄹ 수 있다 / 없다	(ne pas) pouvoir faire qq chose<ul><li>s'emploie pour indiquer la possibilité (<span class="em">가능</span>) ou l'impossibilité de faire quelque chose</li><li>cette construction fonctionne uniquement avec des verbes d'action&nbsp;: (ne pas) pouvoir conduire, lire, &hellip;</li></ul>

[sound:어느_어떤_무슨.mp3]	어느<hr/>어떤 (= 어떠한)<hr/>무슨	(le)quel<p class="small">(parmi un choix fermé et très limité d'options)</p><hr/>quel (genre de), quelle (sorte de, catégorie de)<p class="small">(parmi un choix fermé et limité d'options)</p><hr/>quel<p class="small">(parmi un choix ouvert et quasi illimité d'options)</p>
[sound:특히.mp3]	특히	particulièrement, spécialement, surtout
[sound:남자.mp3]	남자<p class="small">(&ne;&nbsp;여자)</p>	homme<p class="small">(&ne;&nbsp;femme)</p>
[sound:여자.mp3]	여자<p class="small">(&ne;&nbsp;남자)</p>	femme<p class="small">(&ne;&nbsp;homme)</p>
[sound:안녕히_가세요.mp3]	안녕히 가세요	au revoir<p class="small">(dit par la personne qui reste à la personne qui part&nbsp;; litt. “partez en paix”)</p>
[sound:안녕히_계세요.mp3]	안녕히 계세요	au revoir<p class="small">(dit par la personne qui part à la personne qui reste&nbsp;; litt. “restez en paix”)</p>

[sound:중국어를_읽을_줄_몰라요.mp3]	<ul>레오는 중국어를 읽을 줄 몰라요.</ul>	<ul>Léo ne sait pas lire le chinois.</ul>
[sound:내일_만날_수_없어요.mp3]	<ul>내일 만날 수 없어요.</ul>	<ul>Je ne peux pas vous rencontrer demain.</ul>
[sound:어제_바빠서_전화할_수_없었어요.mp3]	<ul>어제 바빠서 전화할 수 없었어요.</ul>	<ul>Hier je n'ai pas pu vous téléphoner car j'étais occupé.</ul>



# 대화 1

[sound:레오는_교실에서_친구들과_이야기합니다.mp3]	<ul>레오는 교실에서 친구들과 이야기합니다.</ul>	<ul>Léo discute avec ses amis en classe.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:민정_씨_수영할_줄_알아요.mp3]	<ul><li>민정 씨, 수영할 줄 알아요?</li><li>아니요, 수영할 줄 몰라요. 그래서 요즘 수영을 배워요. 레오 씨는 수영할 줄 알아요?</li><li>네, 조금 할 줄 알아요.</li></ul>	<ul><li>Min-jong, est-ce que tu sais nager ?</li><li>Non, je ne sais pas. C'est pourquoi j'apprends à nager en ce moment. Léo, est-ce que tu sais nager ?</li><li>Oui, je sais un peu.</li></ul>

[sound:레오_씨는_취미가_뭐예요.mp3]	<ul><li>레오 씨는 취미가 뭐예요?</li><li>저는 운동을 좋아해요. 그래서 주말에 친구들하고 자주 운동해요.</li><li>어떤 운동을 좋아하세요?</li><li>스키하고 테니스를 좋아하고, 축구하고 농구도 할 줄 알아요.</li></ul>	<ul><li>Léo, quel est ton passe-temps ?</li><li>J'aime faire du sport. C'est pourquoi j'en fais souvent le week-end avec des amis.</li><li>Quel type de sport aimes-tu ?</li><li>J'aime le ski et le tennis, et je sais aussi faire du foot et du basket.</li></ul>

[sound:줄리엥_씨는_취미가_뭐예요.mp3]	<ul><li>줄리엥 씨는 취미가 뭐예요?</li><li>저는 사진을 좋아해서 사진을 많이 찍어요.</li></ul>	<ul><li>Julien, quel est ton passe-temps ?</li><li>J'aime la photo, c'est pourquoi j'en prends beaucoup.</li></ul></ul>

[sound:모르간_씨는_보통_주말에_뭐_하세요.mp3]	<ul><li>모르간 씨는 보통 주말에 뭐 하세요?</li><li>저는 영화를 좋아해서 주말에 극장에 자주 가요.</li><li>어떤 영화를 좋아하세요?</li><li>애정 영화랑 공포 영화를 좋아해요.</li></ul>	<ul><li>Morgane, en général que faites-vous le week-end ?</li><li>J'aime le cinéma, c'est pourquoi j'y vais souvent le week-end.</li><li>Quel genre de films aimez-vous ?</li><li>J'aime les films romantiques et les films d'horreur.</li></ul>



# 대화 2

[sound:찬호_씨는_마리_씨와_영화를_보고_싶습니다.mp3]	<ul>찬호 씨는 마리 씨와 영화를 보고 싶습니다.</ul>	<ul>Chan-ho a envie de regarder un film avec Marie.</ul><p class="small">(하십시오체, registre formel poli)</p>

[sound:마리_씨_토요일_오후에_마리_씨랑_영화를_보고_싶어요.mp3]	<ul><li>마리 씨, 토요일 오후에 마리 씨랑 영화를 보고 싶어요. 같이 극장에 갈 수 있어요?</li><li>미안해요. 토요일 오후에는 친구하고 약속이 있어요.</li><li>그러면 일요일 오후는 어때요?</li><li>정말 미안해요. 일요일 저녁에는 친구들이 집에 와서 바쁠 거예요.</li><li>네, &hellip;</li><li>그런데 찬호 씨, 다음 주 토요일은 괜찮아요.</li></ul>	<ul><li>Marie, j'ai envie de voir un film avec toi samedi après-midi. Peut-on aller ensemble au cinéma ?</li><li>Désolée. Samedi après-midi j'ai rendez-vous avec une amie.</li><li>Dans ce cas, dimanche après-midi ?</li><li>Vraiment désolée. Dimanche soir des amis viennent à la maison, je serai donc occupée.</li><li>D'accord, &hellip;</li><li>Cependant Chan-ho, samedi prochain il n'y a pas de problème.</li></ul>

[sound:찬호_씨_다음_주_토요일은_괜찮아요.mp3]	<ul><li>그런데 찬호 씨, 다음 주 토요일은 괜찮아요.</li><li>그래요? 그럼 다음 주 토요일에 만나요.</li><li>좋아요. 어디서 만날래요?</li><li>학교 도서관 앞어서 만나요.</li><li>좋아요. 그럼 다음 주 토요일에 봐요. 안녕히 가세요.</li><li>안녕히 가세요.</li></ul>	<ul><li>Cependant Chan-ho, samedi prochain il n'y a pas de problème.</li><li>Vraiment ? Alors rdv samedi prochain.</li><li>Parfait. Où nous retrouverons-nous ?</li><li>Retrouvons-nous devant la bibliothèque de l'école.</li><li>Parfait. Alors on se voit samedi prochain. Au revoir.</li><li>Au revoir.</li></ul>



# 읽기

