tags: darakwon 5-과

[sound:기숙사.mp3]	기숙사 <span class="발음">[기숙싸]</span>	dortoir, résidence universitaire
[sound:이_가_께서.mp3]	-이/-가	particule (조사) de sujet<p class="small" style="font-weight: bold">&mdash;&nbsp;nominatif&nbsp;&mdash;</p><ul><li>on utilise <span class="em">-이 après une consonne</span> et <span class="em">-가 après une voyelle</span></li><br><li>s'emploie devant les verbes d'état / adjectifs (형용사)<br><br><span class="light">저는 과일<span style="font-weight: bold">이</span> 좋아요.</span></li><br><li>contractions usuelles&nbsp;:<br><br>나 + 가 &rarr; 내가<br>너 + 가 &rarr; 네가<br>저 + 가 &rarr; 제가<br>누구 + 가 &rarr; 누가</li></ul>
[sound:의.mp3]	-의 <span class="발음">[-에]</span>	particule (조사) de possession<p class="small" style="font-weight: bold">&mdash;&nbsp;génitif&nbsp;&mdash;</p><ul><li>l'omission de -의 est fréquente pour spécifier les relations interpersonnelles (familiales, professionnelles, etc.)<br><span class="light">민정<span style="font-weight: bold">(의)</span> 아버지는 의사예요.</span></li><br><li>l'emploi de -의 est obligatoire dès qu'un adjectif s'insère pour qualifier le nom déterminé dans la relation de possession<br><span class="light">민정 씨<span style="font-weight: bold">의 맛있는</span> 과일</span></li><br><li>contractions usuelles&nbsp;:<br><table style="font-size: 100%"><tr><td width="20%">나 + 의</td><td colspan="2">&rarr; 내</td></tr><tr><td>너 + 의</td><td colspan="2">&rarr; 네</td></tr><tr><td>저 + 의</td><td>&rarr; 제</td><td class="light"><span style="font-weight: bold">제</span> 이름은 김민정이에요.</td></tr></table></li></ul>
[sound:나_저.mp3]	<table id="underlined-header"><tr><th class="em" colspan=2/><th class="em">저</th></tr><tr><td class="fr small" style="vertical-align: middle">génitif</td><td class="small" style="vertical-align: middle">-의</td><td>제</td></tr></table>	je / me / moi<ul><li>pronom personnel (대명사)&nbsp;: 1<sup>ère</sup> personne du singulier</li></ul>


[sound:명사.mp3]	명사 <span class="small">/ 이름씨</span><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9품사</div><li><span class="em">명사</span> / 대명사 / 수사</li><li>동사 / 형용사</li><li>관형사 / 부사</li><li>감탄사</li><li>조사</li></ul>	nom<p class="small">(문법: grammaire)</p><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9 catégories lexicales</div><li><span class="em">nom</span> / pronom / numéral</li><li>verbe (d'action) / adjectif</li><li>déterminant / adverbe</li><li>interjection, exclamation</li><li>particule</li></ul>

[sound:대명사.mp3]	대명사 <span class="small">/ 대이름씨</span><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9품사</div><li>명사 / <span class="em">대명사</span> / 수사</li><li>동사 / 형용사</li><li>관형사 / 부사</li><li>감탄사</li><li>조사</li></ul>	pronom<ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9 catégories lexicales</div><li>nom / <span class="em">pronom</span> / numéral</li><li>verbe (d'action) / adjectif</li><li>déterminant / adverbe</li><li>interjection, exclamation</li><li>particule</li></ul>

[sound:수사.mp3]	수사 <span class="small">/ 셈씨</span><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9품사</div><li>명사 / 대명사 / <span class="em">수사</span></li><li>동사 / 형용사</li><li>관형사 / 부사</li><li>감탄사</li><li>조사</li></ul>	numéral<ul><li>Il existe deux systèmes numériques coréens : le <span class="em">coréen natif (하나, 둘, 셋, 넷, &hellip;)</span> et le <span class="em">sino-coréen (일, 이, 삼, 사, &hellip;)</span>.</li><br><li>Le système numérique <span class="em">coréen natif est utilisé comme cardinal avec la plupart des classificateurs (수분류사)</span> et sert donc généralement à indiquer un nombre, une quantité d'objets.<br>ex.: 열 과, dix leçons</li><br><li>Le système numérique <span class="em">sino-coréen est généralement utilisé comme ordinal</span> pour indiquer la position d'un objet dans une série (comme une leçon spécifique dans un livre), ainsi que pour les unités monétaires et les mesures scientifiques.<br>ex.: 십과, dixième leçon / leçon numéro dix</li></ul><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9 catégories lexicales</div><li>nom / pronom / <span class="em">numéral</span></li><li>verbe (d'action) / adjectif</li><li>déterminant / adverbe</li><li>interjection, exclamation</li><li>particule</li></ul>

[sound:동사.mp3]	동사 <span class="small">/ 움직씨</span><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9품사</div><li>명사 / 대명사 / 수사</li><li><span class="em">동사</span> / 형용사</li><li>관형사 / 부사</li><li>감탄사</li><li>조사</li></ul>	verbe (d'action)<p class="small">(문법: grammaire)</p><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9 catégories lexicales</div><li>nom / pronom / numéral</li><li><span class="em">verbe (d'action)</span> / adjectif</li><li>déterminant / adverbe</li><li>interjection, exclamation</li><li>particule</li></ul>

[sound:형용사.mp3]	형용사 <span class="small">/ 그림씨</span><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9품사</div><li>명사 / 대명사 / 수사</li><li>동사 / <span class="em">형용사</span></li><li>관형사 / 부사</li><li>감탄사</li><li>조사</li></ul>	verbe (de description, d'état)<hr/>adjectif<p class="small">(문법: grammaire)</p><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9 catégories lexicales</div><li>nom / pronom / numéral</li><li>verbe (d'action) / <span class="em">adjectif</span></li><li>déterminant / adverbe</li><li>interjection, exclamation</li><li>particule</li></ul>

[sound:부사.mp3]	부사 <span class="small">/ 어찌씨</span><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9품사</div><li>명사 / 대명사 / 수사</li><li>동사 / 형용사</li><li>관형사 / <span class="em">부사</span></li><li>감탄사</li><li>조사</li></ul>	adverbe<p class="small">(문법: grammaire)</p><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9 catégories lexicales</div><li>nom / pronom / numéral</li><li>verbe (d'action) / adjectif</li><li>déterminant / <span class="em">adverbe</span></li><li>interjection, exclamation</li><li>particule</li></ul>

[sound:조사.mp3]	조사 <span class="small">/ 토씨</span><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9품사</div><li>명사 / 대명사 / 수사</li><li>동사 / 형용사</li><li>관형사 / 부사</li><li>감탄사</li><li><span class="em">조사</span></li></ul>	particule<p class="small">(문법: grammaire)</p><ul class="light"><div style="text-align: right; font-size: 70%; color: white; background-color: #85929e; margin-bottom: 2px;">9 catégories lexicales</div><li>nom / pronom / numéral</li><li>verbe (d'action) / adjectif</li><li>déterminant / adverbe</li><li>interjection, exclamation</li><li><span class="em">particule</span></li></ul>

[sound:동사_어간.mp3]	동사 어간	radical verbal<p class="small">(문법: grammaire ; angl. “verb stem”)</p>
[sound:연결_어미.mp3]	연결 어미	terminaison connective<p class="small">(문법: grammaire ; angl. “connective ending”)</p><ul><li>un <span class="em">adverbe conjonctif</span> introduit une relation logique entre deux <span class="em">phrases</span> successives</li><li>un <span class="em">suffixe jonctif verbal</span> introduit une relation logique entre deux <span class="em">propositions</span> successives (au sein de la même phrase)</li><li>les différents adverbes/suffixes servent à qualifier la nature de la relation (addition, opposition, nuance, causalité, &hellip;)</li></ul>

[sound:그러면_그럼.mp3]	그러면 / 그럼<div class="활용"><div class="bloc"><div class="부정사">그렇다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="면"><div class="높임">그러시면</div><div style="font-size: 150%">그러면</div></div></div></div><hr/><div class="활용"><div class="면"><div class="높임">-(으)시면</div><div style="font-size: 150%">AV-(으)면</div></div></div><p class="small">(연결 어미)</p>	alors, dans ce cas<p class="small">(&#10102; adverbe conjonctif&nbsp;; &#10103; suffixe jonctif verbal)</p><ul><li>connecteur logique exprimant une relation de <span class="em">condition, d'hypothèse</span></li><li>il peut être précédé d'un morphème de temps (-았-, -었-, -겠-, &hellip;)</li></ul>
[sound:그리고.mp3]	그리고<hr/><div class="활용"><div class="고"><div class="높임">-(으)시고</div><div style="font-size: 150%">AV-고</div></div></div><p class="small">(연결 어미)</p><hr/><div class="활용"><div class="고"><div style="font-size: 150%">N-하고</div></div></div><p class="small">(N-이랑/-랑, N-과/-와)</p>	et<p class="small">(&#10102; adverbe conjonctif&nbsp;; &#10103;/&#10104; suffixe jonctif verbal/nominal)</p><ul><li>connecteur logique exprimant une relation de <span class="em">conjonction, d'addition</span></li><li>lorsqu'il relie des faits qui n'ont aucun rapport chronologique entre eux, les sujets des verbes peuvent être différents&nbsp;; dans ce cas, il peut être ou non précédé d'un morphème de temps (-았-, -었-, -겠-, &hellip;)</li><li>lorsqu'il relie des faits qui s'enchaînent chronologiquement, le sujet doit être le même pour tous les verbes&nbsp;; dans ce cas, il se place uniquement après des verbes d'action et n'est jamais précédé de marque de temps</li><li>le suffixe jonctif nominal sert à relier plusieurs noms (noms communs aussi bien que noms propres)&nbsp;; en l'absence d'autres noms, il relie le nom suffixé au sujet dans la relation prédicative</li><li>les suffixes jonctifs nominaux -하고 et -(이)랑 s'emploient davantage à l'oral</li></ul>
[sound:하고.mp3]	N-하고<p class="small">(N-이랑/-랑, N-과/-와)</p>	et, avec<p class="small">(suffixe jonctif nominal)</p><ul><li>suffixe qui sert à relier plusieurs noms (noms communs aussi bien que noms propres)</li><li>en l'absence d'autres noms, il relie le nom suffixé au sujet dans la relation prédicative</li><li>les suffixes jonctifs nominaux -하고 et -(이)랑 s'emploient davantage à l'oral</li></ul>

[sound:활용.mp3]	활용	conjugaison
[sound:법.mp3]	법	mode<p class="small">(활용: conjugaison ; angl. “mood”)</p><hr/>loi, règle
[sound:직설법.mp3]	직설법	mode indicatif<p class="small">(활용: conjugaison ; 법: mode ; angl. “indicative mood”)</p>
[sound:시제.mp3]	시제<p class="small light">/ 현재 / 과거 / 미래</p>	temps<p class="small light">/ présent / passé / futur</p><p class="small">(활용: conjugaison ; angl. “tense”)</p>
[sound:현재.mp3]	(직설법) 현재 <span class="small light">/ 시제</span><div class="활용"><div class="부정사">부정사</div><div class="현재">현재</div></div>	(indicatif) présent <span class="small light">/ temps</span><p class="small">(활용: conjugaison ; angl. “present tense”)</p>
[sound:아요_어요.mp3]	<div class="활용"><div class="현재">-아 / -어 / -해요</div></div>	terminaisons du présent (현재)<br>registre informel poli (해요체)<p class="small">(활용: conjugaison ; 직설법: mode indicatif ; 시제: temps)</p><ul><li>Le registre informel poli (<span class="em">해요체</span>) permet de s'adresser de manière courtoise à des amis sans être formel.</li><br><li>La forme choisie est fonction de la voyelle de la dernière syllabe du radical verbal&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><br><li>après les voyelles <span class="em">ㅏ</span> et <span class="em">ㅗ</span> on emploie <span class="em">-아</span></li><li>après toutes les autres voyelles on utilise <span class="em">-어</span></li><li>exception&nbsp;: les verbes en <span class="em">-하다</span> se conjuguent en -여 qui se contracte en <span class="em">-해</span></li></ul></li></ul>
[sound:부정사.mp3]	부정사<p class="small light">/ 명사 / 대명사 / 수사 / 동사 / 형용사 / 관형사 / 부사 / 감탄사 / 조사</p>	infinitif<p class="small">(활용: conjugaison ; 법: mode)</p><p class="small light">/ nom / pronom / numéral / verbe (d'action) / adjectif / déterminant / adverbe / interjection, exclamation / particule</p>

[sound:있다_계시다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">있다 <span class="발음">[읻<span style="font-weight: bold">따</span>]</span></div></div></div><p class="small">(&ne;&nbsp;없다)</p>	exister / avoir<p class="small">(&ne;&nbsp;ne pas exister / ne pas avoir)</p>
[sound:있어요.mp3]	있어요 <span class="발음">[이써요]</span><div class="활용"><div class="bloc"><div class="부정사">있다</div></div><div class="bloc"><div class="현재">있어요</div></div></div>	il est / il a<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>

[sound:없다_안_계시다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">없다 <span class="발음">[업<span style="font-weight: bold">따</span>]</span></div></div></div><p class="small">(&ne;&nbsp;있다)</p>	ne pas exister / ne pas avoir<p class="small">(&ne;&nbsp;exister / avoir)</p>
[sound:없어요.mp3]	없어요 <span class="발음">[업써요]</span><div class="활용"><div class="bloc"><div class="부정사">없다</div></div><div class="bloc"><div class="현재">없어요</div></div></div>	il n'est pas / il n'a pas<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>

[sound:있어요_없어요.mp3]	N-이/가 있어요/없어요	j'ai un _ / je n'ai pas de _

[sound:그래요.mp3]	그<span class="불규칙">래</span>요<p class="small">(*그<span class="불규칙">래어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">그렇다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">그래요</div></div><div class="bloc"><div class="면">그러면 / 그럼</div></div></div>	c'est ainsi, c'est comme cela<p class="small">(해요체, registre informel poli)</p>

[sound:넓다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">넓다 <span class="발음">[널<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(형용사)</div></div></div><p class="small">(&ne;&nbsp;좁다)</p>	être large, grand, spacieux<p class="small">(&ne;&nbsp;être étroit)</p><ul><li>adjectif régulier</li></ul>
[sound:넓어요.mp3]	넓어요 <span class="발음">[널버요]</span><div class="활용"><div class="bloc"><div class="부정사">넓다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">넓어요</div></div></div>	il est large (grand, spacieux)<p class="small">(해요체, registre informel poli)</p>

[sound:답.mp3]	답 <span class="small light">/ 질문</span>	réponse <span class="small light">/ question</span>
[sound:답하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">답하다 <span class="발음">[다<span style="font-weight: bold">파</span>다]</span></div><div class="불규칙">(동사)</div></div></div><p class="small">(&ne;&nbsp;묻다)</p>	répondre<p class="small">(&ne;&nbsp;demander)</p><ul><li>verbe régulier</li></ul>
[sound:답하세요.mp3]	답하세요 <span class="발음">[다<span style="font-weight: bold">파</span>세요]</span><div class="활용"><div class="bloc"><div class="부정사">답하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="명령법">답하세요</div></div></div>	répondez<p class="small">(impératif honorifique)</p>

[sound:많다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">많다 <span class="발음">[만<span style="font-weight: bold">타</span>]</span></div><div class="불규칙">(형용사)</div></div></div><p class="small">(&ne;&nbsp;적다)</p>	être nombreux<p class="small">(&ne;&nbsp;être peu)</p><ul><li>adjectif régulier</li></ul>
[sound:많아요.mp3]	많아요 <span class="발음">[마나요]</span><div class="활용"><div class="bloc"><div class="부정사">많다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">많아요</div></div></div>	ils sont nombreux<p class="small">(해요체, registre informel poli)</p>

[sound:맛.mp3]	맛 <span class="발음">[맏]</span>	goût, parfum <span class="small">(angl. “flavor”)</span>
[sound:맛있다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">맛있다 <span class="발음">[마싣<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(형용사)</div></div></div><p class="small">(&ne;&nbsp;맛없다)</p>	être délicieux, bon <span class="small">(au goût)</span><p class="small">(&ne;&nbsp;être fade, mauvais)</p><ul><li>adjectif régulier</li></ul>
[sound:맛있어요.mp3]	맛있어요 <span class="발음">[마시써요]</span><div class="활용"><div class="bloc"><div class="부정사">맛있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛있어요</div></div></div>	il est délicieux, bon <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>

[sound:맛없다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">맛없다 <span class="발음">[마<span style="font-weight: bold">덥따</span>]</span></div><div class="불규칙">(형용사)</div></div></div><p class="small">(&ne;&nbsp;맛있다)</p>	être fade, mauvais <span class="small">(au goût)</span><p class="small">(&ne;&nbsp;être délicieux, bon)</p><ul><li>adjectif régulier</li></ul>
[sound:맛없어요.mp3]	맛없어요 <span class="발음">[마<span style="font-weight: bold">덥</span>써요]</span><div class="활용"><div class="bloc"><div class="부정사">맛없다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">맛없어요</div></div></div>	il est fade, mauvais <span class="small">(au goût)</span><p class="small">(해요체, registre informel poli)</p>

[sound:미안해요.mp3]	미안해요<div class="활용"><div class="bloc"><div class="부정사">미안하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">미안합니다</div><div class="해요체">미안해요</div></div></div></div>	je suis désolé, navré&nbsp;; excusez-moi<p class="small">(해요체, registre informel poli)</p><ul><li>moins formel que 죄송해요</li></ul>

[sound:소개해요.mp3]	소개해요<div class="활용"><div class="bloc"><div class="부정사">소개하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">소개해요</div></div></div>	il présente, il introduit (qq'un)<p class="small">(해요체, registre informel poli)</p>

[sound:어떻다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">어떻다 <span class="발음">[어떠<span style="font-weight: bold">타</span>]</span></div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div></div>	être dans quel état&nbsp;? être comment&nbsp;?<ul><li>adjectif irrégulier en “ㅎ”&nbsp;: ㅎ disparaît devant voyelle et les voyelles 아 / 어 / 여 deviennent 애</li></ul>
[sound:어때요.mp3]	어<span class="불규칙">때</span>요<div class="활용"><div class="bloc"><div class="부정사">어떻다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">어때요</div></div></div>	il est dans quel état&nbsp;? il est comment&nbsp;?<p class="small">(해요체, registre informel poli)</p>

[sound:인사해요.mp3]	인사해요<div class="활용"><div class="bloc"><div class="부정사">인사하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">인사해요</div><div class="명령법">인사하세요</div></div></div>	il salue<p class="small">(해요체, registre informel poli)</p>

[sound:읽어요.mp3]	읽어요 <span class="발음">[일거요]</span><div class="활용"><div class="bloc"><div class="부정사">읽다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">읽어요</div><div class="명령법">읽으세요</div></div></div>	il lit<p class="small">(해요체, registre informel poli)</p>

[sound:재미있다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">재미있다 <span class="발음">[재미읻<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(형용사)</div></div></div><p class="small">(&ne;&nbsp;재미없다)</p>	être intéressant<p class="small">(&ne;&nbsp;être inintéressant)</p><ul><li>adjectif régulier</li></ul>
[sound:재미있어요.mp3]	재미있어요<div class="활용"><div class="bloc"><div class="부정사">재미있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">재미있어요</div></div></div>	il est intéressant<p class="small">(해요체, registre informel poli)</p>

[sound:재미없어요.mp3]	재미없어요 <span class="발음">[재미업써요]</span><div class="활용"><div class="bloc"><div class="부정사">재미없다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">재미없어요</div></div></div>	il est inintéressant<p class="small">(해요체, registre informel poli)</p>

[sound:좋다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">좋다 <span class="발음">[조<span style="font-weight: bold">타</span>]</span></div><div class="불규칙">(형용사)</div></div></div>	être bien, bon<p class="small">(sens appréciatif)</p><hr/>être d'accord<p class="small">(valeur d'acquiescement)</p><ul><li>adjectif régulier</li></ul>
[sound:좋아요.mp3]	좋아요 <span class="발음">[조아요]</span><div class="활용"><div class="bloc"><div class="부정사">좋다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">좋아요</div></div></div>	il est bien (bon)<hr/>(il est) d'accord<p class="small">(해요체, registre informel poli)</p>

[sound:죄송해요.mp3]	죄송해요<div class="활용"><div class="bloc"><div class="부정사">죄송하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">죄송합니다</div><div class="해요체">죄송해요</div></div></div></div>	je suis désolé, navré&nbsp;; excusez-moi<p class="small">(해요체, registre informel poli)</p><ul><li>plus formel que 미안해요</li></ul>

[sound:해당해요.mp3]	해당해요<div class="활용"><div class="bloc"><div class="부정사">해당하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="해요체">해당해요</div></div></div></div>	il correspond<p class="small">il est approprié, pertinent</p><p class="small">(해요체, registre informel poli)</p>


# 대화 1

[sound:오늘_시간이_있어요.mp3]	<ul><li>줄리엥 씨, 오늘 시간이 있어요?</li><li>아니요, 시간이 없어요. 오늘은 수업이 많아요. 영어 수업하고 한국어 수업이 있어요.</li><li>아, 네 &hellip;</li></ul>	<ul><li>Julien, as-tu le temps aujourd'hui&nbsp;?</li><li>Non, je n'ai pas le temps. Aujourd'hui j'ai beaucoup de cours. J'ai cours d'anglais et de coréen.</li><li>Ah, oui &hellip;</li></ul>

[sound:한국어_수업이_어때요.mp3]	<ul><li>한국어 수업이 어때요?</li><li>아주 재미있어요.</li><li>그럼, 줄리엥 씨 내일 시간이 있어요?</li><li>네, 내일은 시간이 많아요.</li></ul>	<ul><li>Comment est le cours de coréen&nbsp;?</li><li>Il est très intéressant.</li><li>Alors, Julien, as-tu le temps demain&nbsp;?</li><li>Oui, demain j'ai plein de temps.</li></ul>


# 대화 2

[sound:잠실대학교가_어때요.mp3]	<ul><li>레오 씨, 잠실대학교가 어때요?</li><li>아주 좋아요. 그리고 교수님도 참 좋아요.</li></ul>	<ul><li>Léo, comment est l'université de Jamsil&nbsp;?</li><li>Elle est très bien. Et les professeurs aussi sont vraiment bien.</li></ul>

[sound:기숙사는_어때요.mp3]	<ul><li>기숙사는 어때요?</li><li>기숙사도 좋아요. 제 방이 아주 넓어요. 그리고 외국 학생이 많아요.</li></ul>	<ul><li>Comment est le dortoir&nbsp;?</li><li>Le dortoir aussi est bien. Ma chambre est très spacieuse. Et il y a beaucoup d'étudiants étrangers.</li></ul>

[sound:도서관도_좋아요.mp3]	<ul><li>도서관도 좋아요?</li><li>네, 도서관도 괜찮아요. 책하고 잡지가 많아요.</li></ul>	<ul><li>Est-ce que la bibliothèque aussi est bien&nbsp;?</li><li>Oui, la bibliothèque aussi est bien. Il y a beaucoup de livres et de magazines.</li></ul>

[sound:학교_식당은_어때요.mp3]	<ul><li>학교 식당은 어때요?</li><li>좋아요. 학교 식당의 음식이 맛있어요.</li></ul>	<ul><li>Comment est la cantine&nbsp;?</li><li>Elle est bien. La nourriture de la cantine est délicieuse.</li></ul>


# 읽기

[sound:한국어_수업이_재미있어요.mp3]	<ul>모르간은 교환학생이에요. 오늘 모르간은 시간이 없어요. 수업이 많아요. 한국어 수업이 재미있어요.</ul>	<ul>Morgane est une étudiante d'échange. Morgane n'a pas le temps aujourd'hui. Elle a beaucoup de cours. Celui de coréen est intéressant.</ul>

[sound:방이_참_넓어요.mp3]	<ul>레오도 교환학생이에요. 레오의 기숙사가 아주 좋아요. 방이 참 넓어요. 그리고 도서관도 괜찮아요.</ul>	<ul>Léo est également étudiant d'échange. Le dortoir de Léo est très agréable. La chambre est très spacieuse. Et la bibliothèque aussi est bien.</ul>

[sound:민정_씨의_전공은_프랑스어하고_미술이에요.mp3]	<ul>모르간하고 레오는 민정 씨의 친구예요. 민정 씨의 전공은 프랑스어하고 미술이에요.</ul>	<ul>Morgane et Léo sont les amis de Min-jeong. Les matières principales de Min-jeong sont le français et les beaux-arts.</ul>


# 듣기와 말하기

