tags: darakwon 11-과

[sound:결혼식.mp3]	결혼식	cérémonie de mariage
[sound:일_거예요.mp3]	-<span class="불규칙">일</span> 거예요<p class="small">(*<span class="불규칙">이을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">이다</div></div><div class="bloc"><div class="현재">-이에요 / -예요</div><div class="과거">-이었어요 / -였어요</div><div class="미래">일 거예요</div></div><div class="bloc"><div class="고">이고</div><div class="지만">이지만</div><div class="는데">인데</div><div class="면">이면</div></div></div>	il sera<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li></ul>

[sound:아니에요.mp3]	아니에요<div class="활용"><div class="bloc"><div class="부정사">아니다</div></div><div class="bloc"><div class="현재">아니에요</div><div class="과거">아니었어요</div><div class="미래">아닐 거예요</div></div><div class="bloc"><div class="고">아니고</div><div class="지만">아니지만</div><div class="는데">아닌데</div><div class="면">아니면</div></div></div>	il n'est pas<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li></ul>
[sound:아니었어요.mp3]	아니었어요<div class="활용"><div class="bloc"><div class="부정사">아니다</div></div><div class="bloc"><div class="현재">아니에요</div><div class="과거">아니었어요</div><div class="미래">아닐 거예요</div></div><div class="bloc"><div class="고">아니고</div><div class="지만">아니지만</div><div class="는데">아닌데</div><div class="면">아니면</div></div></div>	il n'était pas<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li></ul>
[sound:아닐_거예요.mp3]	아<span class="불규칙">닐</span> 거예요<p class="small">(*아<span class="불규칙">니을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">아니다</div></div><div class="bloc"><div class="현재">아니에요</div><div class="과거">아니었어요</div><div class="미래">아닐 거예요</div></div><div class="bloc"><div class="고">아니고</div><div class="지만">아니지만</div><div class="는데">아닌데</div><div class="면">아니면</div></div></div>	il ne sera pas<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li></ul>

[sound:있어요.mp3]	있어요 <span class="발음">[이써요]</span><div class="활용"><div class="bloc"><div class="부정사">있다</div></div><div class="bloc"><div class="현재">있어요</div><div class="과거">있었어요</div><div class="미래">있을 거예요</div></div><div class="bloc"><div class="고">있고</div><div class="지만">있지만</div><div class="는데">있는데</div><div class="면">있으면</div></div></div>	il est / il a<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>
[sound:있었어요.mp3]	있었어요 <span class="발음">[이써써요]</span><div class="활용"><div class="bloc"><div class="부정사">있다</div></div><div class="bloc"><div class="현재">있어요</div><div class="과거">있었어요</div><div class="미래">있을 거예요</div></div><div class="bloc"><div class="고">있고</div><div class="지만">있지만</div><div class="는데">있는데</div><div class="면">있으면</div></div></div>	il était / il avait<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>
[sound:있을_거예요.mp3]	있을 거예요 <span class="발음">[이쓸]</span><div class="활용"><div class="bloc"><div class="부정사">있다</div></div><div class="bloc"><div class="현재">있어요</div><div class="과거">있었어요</div><div class="미래">있을 거예요</div></div><div class="bloc"><div class="고">있고</div><div class="지만">있지만</div><div class="는데">있는데</div><div class="면">있으면</div></div></div>	il sera / il aura<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>

[sound:없어요.mp3]	없어요 <span class="발음">[업써요]</span><div class="활용"><div class="bloc"><div class="부정사">없다</div></div><div class="bloc"><div class="현재">없어요</div><div class="과거">없었어요</div><div class="미래">없을 거예요</div></div><div class="bloc"><div class="고">없고</div><div class="지만">없지만</div><div class="는데">없는데</div><div class="면">없으면</div></div></div>	il n'est pas / il n'a pas<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>
[sound:없었어요.mp3]	없었어요 <span class="발음">[업써써요]</span><div class="활용"><div class="bloc"><div class="부정사">없다</div></div><div class="bloc"><div class="현재">없어요</div><div class="과거">없었어요</div><div class="미래">없을 거예요</div></div><div class="bloc"><div class="고">없고</div><div class="지만">없지만</div><div class="는데">없는데</div><div class="면">없으면</div></div></div>	il n'était pas / il n'avait pas<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>
[sound:없을_거예요.mp3]	없을 거예요 <span class="발음">[업쓸]</span><div class="활용"><div class="bloc"><div class="부정사">없다</div></div><div class="bloc"><div class="현재">없어요</div><div class="과거">없었어요</div><div class="미래">없을 거예요</div></div><div class="bloc"><div class="고">없고</div><div class="지만">없지만</div><div class="는데">없는데</div><div class="면">없으면</div></div></div>	il ne sera pas / il n'aura pas<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>

[sound:해요.mp3]	해요<div class="활용"><div class="bloc"><div class="부정사">하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">해요</div><div class="과거">했어요</div><div class="미래">할 거예요</div><div class="명령법">하세요</div></div><div class="bloc"><div class="고">하고</div><div class="지만">하지만</div><div class="는데">하는데</div><div class="면">하면</div></div></div>	il fait<p class="small">(해요체, registre informel poli)</p>
[sound:했어요.mp3]	했어요 <span class="발음">[해써요]</span><div class="활용"><div class="bloc"><div class="부정사">하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">해요</div><div class="과거">했어요</div><div class="미래">할 거예요</div><div class="명령법">하세요</div></div><div class="bloc"><div class="고">하고</div><div class="지만">하지만</div><div class="는데">하는데</div><div class="면">하면</div></div></div>	il faisait<p class="small">(해요체, registre informel poli)</p>
[sound:할_거예요.mp3]	할 거예요<div class="활용"><div class="bloc"><div class="부정사">하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">해요</div><div class="과거">했어요</div><div class="미래">할 거예요</div><div class="명령법">하세요</div></div><div class="bloc"><div class="고">하고</div><div class="지만">하지만</div><div class="는데">하는데</div><div class="면">하면</div></div></div>	il fera<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [할] avec [알]&nbsp;: 알 거예요 (il saura, il connaîtra)</li></ul>

[sound:가깝다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">가깝다 <span class="발음">[가깝<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div></div><p class="small">(&ne;&nbsp;멀다)</p>	être proche<p class="small">en distance, temps, quantité</p><p class="small">(&ne;&nbsp;être loin, distant)</p><hr/>être intime, familier<ul><li>adjectif irrégulier en “ㅂ”&nbsp;: ㅂ devient 오 devant la voyelle 아 et 우 devant toute autre voyelle</li></ul>
[sound:가까워요.mp3]	가까<span class="불규칙">워</span>요<p class="small">(*가까<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">가깝다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">가까워요</div><div class="과거">가까웠어요</div><div class="미래">가까울 거예요</div></div><div class="bloc"><div class="고">가깝고</div><div class="지만">가깝지만</div><div class="는데">가까운데</div><div class="면">가까우면</div></div></div>	il est proche<p class="small">(distance, temps, quantité)</p><hr/>il est intime, familier<p class="small">(해요체, registre informel poli)</p>
[sound:가까웠어요.mp3]	가까<span class="불규칙">웠</span>어요<p class="small">(*가까<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">가깝다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">가까워요</div><div class="과거">가까웠어요</div><div class="미래">가까울 거예요</div></div><div class="bloc"><div class="고">가깝고</div><div class="지만">가깝지만</div><div class="는데">가까운데</div><div class="면">가까우면</div></div></div>	il était proche<p class="small">(distance, temps, quantité)</p><hr/>il était intime, familier<p class="small">(해요체, registre informel poli)</p>
[sound:가까울_거예요.mp3]	가까<span class="불규칙">울</span> 거예요<p class="small">(*가까<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">가깝다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">가까워요</div><div class="과거">가까웠어요</div><div class="미래">가까울 거예요</div></div><div class="bloc"><div class="고">가깝고</div><div class="지만">가깝지만</div><div class="는데">가까운데</div><div class="면">가까우면</div></div></div>	il sera proche<p class="small">(distance, temps, quantité)</p><hr/>il sera intime, familier<p class="small">(해요체, registre informel poli)</p>

[sound:가요.mp3]	<span class="불규칙">가</span>요<p class="small">(*<span class="불규칙">가아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">가다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">가요</div><div class="과거">갔어요</div><div class="미래">갈 거예요</div><div class="명령법">가세요</div></div><div class="bloc"><div class="고">가고</div><div class="지만">가지만</div><div class="는데">가는데</div><div class="면">가면</div></div></div>	il va<p class="small">(해요체, registre informel poli)</p>
[sound:갔어요.mp3]	<span class="불규칙">갔</span>어요 <span class="발음">[가써요]</span><p class="small">(*<span class="불규칙">가았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">가다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">가요</div><div class="과거">갔어요</div><div class="미래">갈 거예요</div><div class="명령법">가세요</div></div><div class="bloc"><div class="고">가고</div><div class="지만">가지만</div><div class="는데">가는데</div><div class="면">가면</div></div></div>	il allait<p class="small">(해요체, registre informel poli)</p>
[sound:갈_거예요.mp3]	갈 거예요<div class="활용"><div class="bloc"><div class="부정사">가다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">가요</div><div class="과거">갔어요</div><div class="미래">갈 거예요</div><div class="명령법">가세요</div></div><div class="bloc"><div class="고">가고</div><div class="지만">가지만</div><div class="는데">가는데</div><div class="면">가면</div></div></div>	il ira<p class="small">(해요체, registre informel poli)</p>

[sound:감사합니다.mp3]	감사합니다<p class="발음">[감사<span style="font-weight: bold">함</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">감사하다</div><div class="불규칙">(동사 / 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">감사합니다</div><div class="해요체">감사해요</div></div><div class="과거">감사했어요</div><div class="미래">감사할 거예요</div></div><div class="bloc"><div class="고">감사하고</div><div class="지만">감사하지만</div><div class="는데">감사하는데 / 감사한데</div><div class="면">감사하면</div></div></div>	il remercie, merci<p class="small">(하십시오체, registre formel poli)</p><ul><li><span style="font-weight: bold">sino-coréen</span>&nbsp;; la forme coréenne native 고맙습니다 est moins formelle</li></ul>
[sound:감사해요.mp3]	감사해요<div class="활용"><div class="bloc"><div class="부정사">감사하다</div><div class="불규칙">(동사 / 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">감사합니다</div><div class="해요체">감사해요</div></div><div class="과거">감사했어요</div><div class="미래">감사할 거예요</div></div><div class="bloc"><div class="고">감사하고</div><div class="지만">감사하지만</div><div class="는데">감사하는데 / 감사한데</div><div class="면">감사하면</div></div></div>	il remercie, merci<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">sino-coréen</span>&nbsp;; la forme coréenne native 고마워요 est moins formelle</li></ul>
[sound:감사했어요.mp3]	감사했어요<div class="활용"><div class="bloc"><div class="부정사">감사하다</div><div class="불규칙">(동사 / 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">감사합니다</div><div class="해요체">감사해요</div></div><div class="과거">감사했어요</div><div class="미래">감사할 거예요</div></div><div class="bloc"><div class="고">감사하고</div><div class="지만">감사하지만</div><div class="는데">감사하는데 / 감사한데</div><div class="면">감사하면</div></div></div>	il remerciait / il était reconnaissant<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">sino-coréen</span>&nbsp;; la forme coréenne native 고마웠어요 est moins formelle</li></ul>
[sound:감사할_거예요.mp3]	감사할 거예요<div class="활용"><div class="bloc"><div class="부정사">감사하다</div><div class="불규칙">(동사 / 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">감사합니다</div><div class="해요체">감사해요</div></div><div class="과거">감사했어요</div><div class="미래">감사할 거예요</div></div><div class="bloc"><div class="고">감사하고</div><div class="지만">감사하지만</div><div class="는데">감사하는데 / 감사한데</div><div class="면">감사하면</div></div></div>	il remerciera / il sera reconnaissant<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">sino-coréen</span>&nbsp;; la forme coréenne native 고마울 거예요 est moins formelle</li></ul>

[sound:걸어요.mp3]	<span class="불규칙">걸</span>어요 <span class="발음">[거러요]</span><div class="활용"><div class="bloc"><div class="부정사">걷다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">걸어요</div><div class="과거">걸었어요</div><div class="미래">걸을 거예요</div><div class="명령법">걸으세요</div></div><div class="bloc"><div class="고">걷고</div><div class="지만">걷지만</div><div class="는데">걷는데</div><div class="면">걸으면</div></div></div>	il marche<p class="small">(해요체, registre informel poli)</p>
[sound:걸었어요.mp3]	<span class="불규칙">걸</span>었어요 <span class="발음">[거러써요]</span><div class="활용"><div class="bloc"><div class="부정사">걷다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">걸어요</div><div class="과거">걸었어요</div><div class="미래">걸을 거예요</div><div class="명령법">걸으세요</div></div><div class="bloc"><div class="고">걷고</div><div class="지만">걷지만</div><div class="는데">걷는데</div><div class="면">걸으면</div></div></div>	il marchait<p class="small">(해요체, registre informel poli)</p>
[sound:걸을_거예요.mp3]	<span class="불규칙">걸</span>을 거예요 <span class="발음">[거를]</span><div class="활용"><div class="bloc"><div class="부정사">걷다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">걸어요</div><div class="과거">걸었어요</div><div class="미래">걸을 거예요</div><div class="명령법">걸으세요</div></div><div class="bloc"><div class="고">걷고</div><div class="지만">걷지만</div><div class="는데">걷는데</div><div class="면">걸으면</div></div></div>	il marchera<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre [거를] avec [고를]&nbsp;: 고를 거예요 (il choisira, il sélectionnera)</li></ul>

[sound:얼마나_걸려요.mp3]	얼마나 걸려요?<div class="활용"><div class="bloc"><div class="부정사">걸리다</div></div><div class="bloc"><div class="현재">걸려요</div><div class="과거">걸렸어요</div><div class="미래">걸릴 거예요</div></div></div>	combien de temps faut-il/cela prend-il&nbsp;?
[sound:걸려요.mp3]	걸<span class="불규칙">려</span>요<p class="small">(*걸<span class="불규칙">리어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">걸리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">걸려요</div><div class="과거">걸렸어요</div><div class="미래">걸릴 거예요</div></div><div class="bloc"><div class="고">걸리고</div><div class="지만">걸리지만</div><div class="는데">걸리는데</div><div class="면">걸리면</div></div></div>	il prend <span class="small">(le temps)</span><p class="small">(해요체, registre informel poli)</p>
[sound:걸렸어요.mp3]	걸<span class="불규칙">렸</span>어요<p class="small">(*걸<span class="불규칙">리었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">걸리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">걸려요</div><div class="과거">걸렸어요</div><div class="미래">걸릴 거예요</div></div><div class="bloc"><div class="고">걸리고</div><div class="지만">걸리지만</div><div class="는데">걸리는데</div><div class="면">걸리면</div></div></div>	il prenait <span class="small">(le temps)</span><p class="small">(해요체, registre informel poli)</p>
[sound:걸릴_거예요.mp3]	걸릴 거예요<div class="활용"><div class="bloc"><div class="부정사">걸리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">걸려요</div><div class="과거">걸렸어요</div><div class="미래">걸릴 거예요</div></div><div class="bloc"><div class="고">걸리고</div><div class="지만">걸리지만</div><div class="는데">걸리는데</div><div class="면">걸리면</div></div></div>	il prendra <span class="small">(le temps)</span><p class="small">(해요체, registre informel poli)</p>

[sound:골라요.mp3]	<span class="불규칙">골라</span>요<p class="small">(*<span class="불규칙">고ㄹ/ㄹ아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">고르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div><div class="bloc"><div class="현재">골라요</div><div class="과거">골랐어요</div><div class="미래">고를 거예요</div><div class="명령법">고르세요</div></div><div class="bloc"><div class="고">고르고</div><div class="지만">고르지만</div><div class="는데">고르는데</div><div class="면">고르면</div></div></div>	il choisit, il sélectionne<p class="small">(해요체, registre informel poli)</p>
[sound:골랐어요.mp3]	<span class="불규칙">골랐</span>어요<p class="small">(*<span class="불규칙">고ㄹ/ㄹ았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">고르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div><div class="bloc"><div class="현재">골라요</div><div class="과거">골랐어요</div><div class="미래">고를 거예요</div><div class="명령법">고르세요</div></div><div class="bloc"><div class="고">고르고</div><div class="지만">고르지만</div><div class="는데">고르는데</div><div class="면">고르면</div></div></div>	il choisissait, il sélectionnait<p class="small">(해요체, registre informel poli)</p>
