tags: darakwon 6-과

[sound:생활.mp3]	생활	mode / style de vie
[sound:가요.mp3]	<span class="불규칙">가</span>요<p class="small">(*<span class="불규칙">가아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">가다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">가요</div></div></div>	il va<p class="small">(해요체, registre informel poli)</p>

[sound:골라요.mp3]	<span class="불규칙">골라</span>요<p class="small">(*<span class="불규칙">고ㄹ/ㄹ아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">고르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div><div class="bloc"><div class="현재">골라요</div><div class="명령법">고르세요</div></div></div>	il choisit, il sélectionne<p class="small">(해요체, registre informel poli)</p>

[sound:공부.mp3]	공부	études
[sound:공부하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">공부(를 )하다</div><div class="불규칙">(동사)</div></div></div>	étudier, faire des études<ul><li>verbe régulier</li></ul>
[sound:공부해요.mp3]	공부해요<div class="활용"><div class="bloc"><div class="부정사">공부하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">공부해요</div></div></div>	il étudie<p class="small">(해요체, registre informel poli)</p>

[sound:구경.mp3]	구경	tourisme, site touristique<p class="small">(angl. “sightseeing”)</p>
[sound:구경하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">구경하다</div><div class="불규칙">(동사)</div></div></div>	visiter<hr/>regarder<ul><li>verbe régulier</li></ul>
[sound:구경해요.mp3]	구경해요<div class="활용"><div class="bloc"><div class="부정사">구경하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">구경해요</div></div></div>	il visite<hr/>il regarde<p class="small">(해요체, registre informel poli)</p>

[sound:기다리다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">기다리다</div><div class="불규칙">(동사)</div></div></div>	attendre<ul><li>verbe régulier</li></ul>
[sound:기다려요.mp3]	기다<span class="불규칙">려</span>요<p class="small">(*기다<span class="불규칙">리어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">기다리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">기다려요</div></div></div>	il attend<p class="small">(해요체, registre informel poli)</p>

[sound:답해요.mp3]	답해요 <span class="발음">[다<span style="font-weight: bold">패</span>요]</span><div class="활용"><div class="bloc"><div class="부정사">답하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">답해요</div><div class="명령법">답하세요</div></div></div>	il répond<p class="small">(해요체, registre informel poli)</p>

[sound:들어요.mp3]	<span class="불규칙">들</span>어요 <span class="발음">[드러요]</span><div class="활용"><div class="bloc"><div class="부정사">듣다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">들어요</div><div class="명령법">들으세요</div></div></div>	il entend, il écoute<p class="small">(해요체, registre informel poli)</p>

[sound:마시다_드시다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">마시다</div><div class="불규칙">(동사)</div></div></div>	boire<ul><li>verbe régulier</li></ul>
[sound:마셔요.mp3]	마<span class="불규칙">셔</span>요<p class="small">(*마<span class="불규칙">시어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">마시다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">마셔요</div></div></div>	il boit<p class="small">(해요체, registre informel poli)</p>

[sound:만나다_뵙다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">만나다</div><div class="불규칙">(동사)</div></div><hr/><div class="bloc"><div class="부정사" style="font-size: 150%">&#x21a1; 뵙다 <span class="발음">[뷉<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div></div>	rencontrer<ul><li>verbe irrégulier en “ㅂ”&nbsp;: ㅂ devient 오 devant la voyelle 아 et 우 devant toute autre voyelle</li><br><li>Un terme honorifique (&#x219f;) ou de modestie (&#x21a1;) permet d'augmenter le niveau de politesse entre le sujet d'une action et son destinataire&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>un terme <span class="em">honorifique</span> souligne la déférence portée au <span class="em">sujet</span> de l'action (un aîné, un supérieur hiérarchique, un client, &hellip;)</li><li>un terme de <span class="em">modestie</span> souligne la déférence du sujet de l'action portée à son <span class="em">destinataire</span></ul></li><br><li>Ces considérations sont totalement indépendantes du <span class="em">registre</span> de langue (해체 &lt; 해요체 &lt; 하십시오체) qui est spécifiquement utilisé pour indiquer le niveau de politesse et de formalité envers l'<span class="em">interlocuteur</span> du discours.</li></ul>
[sound:만나요.mp3]	만<span class="불규칙">나</span>요<p class="small">(*만<span class="불규칙">나아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">뵙다</div>만나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">만나요</div></div></div>	il rencontre<p class="small">(해요체, registre informel poli)</p>

[sound:말해요.mp3]	말해요<div class="활용"><div class="bloc"><div class="부정사">말하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">말해요</div><div class="명령법">말하세요</div></div></div>	il parle, il dit<p class="small">(해요체, registre informel poli)</p>

[sound:먹다_드시다_잡수시다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">(밥을) 먹다 <span class="발음">[먹<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(동사)</div></div></div>	manger<p class="small">prendre le repas, être à table</p><ul><li>verbe régulier</li></ul>
[sound:먹어요.mp3]	먹어요 <span class="발음">[머거요]</span><div class="활용"><div class="bloc"><div class="부정사">먹다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">먹어요</div></div></div>	il mange<p class="small">(해요체, registre informel poli)</p>

[sound:바꿔요.mp3]	바<span class="불규칙">꿔</span>요<p class="small">(*바<span class="불규칙">꾸어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">바꾸다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">바꿔요</div><div class="명령법">바꾸세요</div></div></div>	il change, il transforme, il modifie<hr/>il échange<p class="small">(해요체, registre informel poli)</p>

[sound:배우다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">배우다</div><div class="불규칙">(동사)</div></div></div>	apprendre<ul><li>verbe régulier</li></ul>
[sound:배워요.mp3]	배<span class="불규칙">워</span>요<p class="small">(*배<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">배우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">배워요</div></div></div>	il apprend<p class="small">(해요체, registre informel poli)</p>

[sound:보다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">보다</div><div class="불규칙">(동사)</div></div></div>	voir, regarder<ul><li>verbe régulier</li></ul>
[sound:봐요.mp3]	<span class="불규칙">봐</span>요<p class="small">(*<span class="불규칙">보아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">보다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">봐요</div></div></div>	il voit, il regarde<p class="small">(해요체, registre informel poli)</p>

[sound:빠져요.mp3]	빠<span class="불규칙">져</span>요<p class="small">(*빠<span class="불규칙">지어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">빠지다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">빠져요</div></div></div>	il manque, il est omis<hr/>il perd <span class="small">(du poids, des cheveux)</span><hr/>il saute, rate <span class="small">(un rendez-vous, une réunion)</span><p class="small">(해요체, registre informel poli)</p>

[sound:사다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">사다</div><div class="불규칙">(동사)</div></div></div><p class="small">(&ne;&nbsp;팔다)</p>	acheter<p class="small">(&ne;&nbsp;vendre)</p><ul><li>verbe régulier</li></ul>
[sound:사요.mp3]	<span class="불규칙">사</span>요<p class="small">(*<span class="불규칙">사아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">사다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">사요</div></div></div>	il achète<p class="small">(해요체, registre informel poli)</p>

[sound:사용해요.mp3]	사용해요<div class="활용"><div class="bloc"><div class="부정사">사용하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">사용해요</div><div class="명령법">사용하세요</div></div></div>	il utilise, il se sert de<p class="small">(해요체, registre informel poli)</p>

[sound:써요.mp3]	<span class="불규칙">써</span>요<p class="small">(*<span class="불규칙">ㅆ어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">쓰다</div><div class="불규칙">(“으” 불규칙 동사)</div></div><div class="bloc"><div class="현재">써요</div><div class="명령법">쓰세요</div></div></div>	il écrit<p class="small">(해요체, registre informel poli)</p>

[sound:아르바이트.mp3]	아르바이트<p class="fr small">(all. “arbeit”)</p><hr/>알바<p class="fr small">(abréviation, informel)</p>	petit boulot, temps partiel
[sound:아르바이트하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">아르바이트(를 )하다</div><div class="불규칙">(동사)</div></div></div>	faire un petit boulot, travailler à temps partiel<ul><li>verbe régulier</li></ul>
[sound:아르바이트해요.mp3]	아르바이트해요<div class="활용"><div class="bloc"><div class="부정사">아르바이트하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">아르바이트해요</div></div></div>	il fait un petit boulot, il travaille à temps partiel<p class="small">(해요체, registre informel poli)</p>

[sound:오다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">오다</div><div class="불규칙">(동사)</div></div></div>	venir<ul><li>verbe régulier</li></ul>
[sound:와요.mp3]	<span class="불규칙">와</span>요<p class="small">(*<span class="불규칙">오아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">오다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">와요</div></div></div>	il vient<p class="small">(해요체, registre informel poli)</p>

[sound:완성해요.mp3]	완성해요<div class="활용"><div class="bloc"><div class="부정사">완성하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">완성해요</div><div class="명령법">완성하세요</div></div></div>	il achève, il finit, il termine<p class="small">(해요체, registre informel poli)</p>

[sound:이야기.mp3]	이야기	discussion<p class="small">récit, histoire, conte</p>
[sound:이야기하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%"><span class="small">(N-하고)</span> 이야기하다</div><div class="불규칙">(동사)</div></div></div>	parler, discuter <span class="small">(avec)</span><ul><li>verbe régulier</li></ul>
[sound:이야기해요.mp3]	이야기해요<div class="활용"><div class="bloc"><div class="부정사">이야기하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">이야기해요</div></div></div>	il parle, il discute<p class="small">(해요체, registre informel poli)</p>

[sound:좋아하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">좋아하다</div><div class="불규칙">(동사)</div></div></div>	aimer<ul><li>verbe régulier</li></ul>
[sound:좋아해요.mp3]	좋아해요<div class="활용"><div class="bloc"><div class="부정사">좋아하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">좋아해요</div></div></div>	il aime<p class="small">(해요체, registre informel poli)</p>

[sound:주다_드리다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">주다</div><div class="불규칙">(동사)</div></div></div>	donner<ul><li>verbe régulier</li></ul>
[sound:줘요.mp3]	<span class="불규칙">줘</span>요<p class="small">(*<span class="불규칙">주어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">주다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">줘요</div><div class="명령법">주세요</div></div></div>	il donne<p class="small">(해요체, registre informel poli)</p>
[sound:주세요.mp3]	(저는) 주세요<div class="활용"><div class="bloc"><div class="부정사">주다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="명령법">주세요</div></div></div>	donnez(-moi)<p class="small">(impératif honorifique)</p>

[sound:주문.mp3]	주문	commande
[sound:주문하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">주문하다</div><div class="불규칙">(동사)</div></div></div>	passer commande<ul><li>verbe régulier</li></ul>
[sound:주문해요.mp3]	주문해요<div class="활용"><div class="bloc"><div class="부정사">주문하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">주문해요</div></div></div>	il passe commande<p class="small">(해요체, registre informel poli)</p>
[sound:주문하시겠어요.mp3]	<ul>손님, 주문하시겠어요?</ul>	<ul>Souhaitez-vous commander, monsieur (Mme, Mlle)&nbsp;?</ul>

[sound:찾아요.mp3]	찾아요 <span class="발음">[차자요]</span><div class="활용"><div class="bloc"><div class="부정사">찾다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">찾아요</div><div class="명령법">찾으세요</div></div></div>	il cherche, il trouve<p class="small">(해요체, registre informel poli)</p>

[sound:채워요.mp3]	채<span class="불규칙">워</span>요<p class="small">(*채<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">채우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">채워요</div><div class="명령법">채우세요</div></div></div>	il remplit, il complète<p class="small">(해요체, registre informel poli)</p>


# 대화 1

[sound:손님_주문하시겠어요.mp3]	<ul><li>손님, 주문하시겠어요?</li><li>네, 전 녹차 주세요.</li><li>저는 커피 주세요.</li><li>네, 감사합니다.</li></ul>	<ul><li>Monsieur, souhaitez-vous commander&nbsp;?</li><li>Oui, je voudrais du thé vert, s'il vous plaît.</li><li>Pour moi un café, s'il vous plaît.</li><li>Je vous remercie.</li></ul>

[sound:저는_녹차를_아주_좋아해요.mp3]	<ul><li>상준 씨는 녹차를 자주 마셔요?</li><li>네, 저는 녹차를 아주 좋아해요.</li></ul>	<ul><li>Sang-joon, bois-tu souvent du thé vert&nbsp;?</li><li>Oui, j'aime beaucoup le thé vert.</li></ul>

[sound:요즘_인사동에서_서예를_배워요.mp3]	<ul><li>그런데 모르간 씨, 요즘 뭐 해요?</li><li>요즘 인사동에서 서예를 배워요. 서예가 참 재미있어요.</li></ul>	<ul><li>Au fait Morgane, qu'est-ce que tu fais ces jours-ci&nbsp;?</li><li>Ces jours-ci, j'apprends la calligraphie à Insa-dong. La calligraphie est vraiment intéressante.</li></ul>

[sound:민정_씨가_와요.mp3]	<ul>아, 민정 씨가 와요. 민정 씨!</ul>	<ul>Ah, Min-jeong arrive. Min-jeong&nbsp;!</ul>


# 대화 2

[sound:저는_친구를_찻집에서_자주_만나요.mp3]	<ul><li>민정 씨는 찻집을 좋아해요?</li><li>네, 저는 친구를 찻집에서 자주 만나요.</li></ul>	<ul><li>Min-jeong, aimes-tu les salons de thé&nbsp;?</li><li>Oui, je rencontre souvent mes amis au salon de thé.</li></ul>

[sound:운전_학원에서_운전을_배워요.mp3]	<ul><li>그런데 민정 씨, 요즘 뭐 해요?</li><li>운전 학원에서 운전을 배워요.</li></ul>	<ul><li>À propos Min-jeong, que fais-tu ces jours-ci&nbsp;?</li><li>J'apprends à conduire dans une auto-école.</li></ul>

[sound:저는_편의점에서_아르바이트를_해요.mp3]	<ul><li>상준 씨는 요즘 뭐 해요?</li><li>저는 편의점에서 아르바이트를 해요.</li></ul>	<ul><li>Sang-joon, qu'est-ce que tu fais ces jours-ci&nbsp;?</li><li>Je travaille à temps partiel dans une supérette.</li></ul>

[sound:한국_생활이_참_재미있어요.mp3]	<ul><li>모르간 씨는 한국 생활이 어때요?</li><li>한국 생활이 참 재미있어요. 저는 매일 한국어를 공부해요. 그리고 한국 친구하고 자주 이야기해요.</li></ul>	<ul><li>Morgane, comment est la vie en Corée&nbsp;?</li><li>La vie en Corée est vraiment intéressante. J'étudie le coréen tous les jours et je parle souvent avec mes amis coréens.</li></ul>


# 읽기

[sound:모르간_씨하고_상준_씨는_인사동_찻집에서_민정_씨를_기다려요.mp3]	<ul>모르간 씨하고 상준 씨는 인사동 찻집에서 민정 씨를 기다려요.</ul>	<ul>Morgane et Sang-joon attendent Min-jeong dans un salon de thé à Insa-dong.</ul>

[sound:상준_씨는_찻집에서_녹차를_마셔요.mp3]	<ul>상준 씨는 찻집에서 녹차를 마셔요.</ul>	<ul>Sang-joon boit du thé vert au salon de thé.</ul>

[sound:모르간_씨는_커피를_마셔요.mp3]	<ul>모르간 씨는 커피를 마셔요.</ul>	<ul>Morgane boit du café.</ul>

[sound:민정_씨는_오렌지_주스하고_유자차를_좋아해요.mp3]	<ul>민정 씨는 오렌지 주스하고 유자차를 좋아해요.</ul>	<ul>Min-jeong aime le jus d'orange et le thé au yuzu.</ul>

[sound:모르간_씨하고_민정_씨는_인사동에서_서예_전시를_봐요.mp3]	<ul>모르간 씨하고 민정 씨는 인사동에서 서예 전시를 봐요. 그리고 인사동 거리를 구경해요.</ul>	<ul>Morgane et Min-jeong regardent une exposition de calligraphie à Insa-dong. Et elles visitent les rues d'Insa-dong.</ul>

[sound:찻집하고_식당이_많아요.mp3]	<ul>찻집하고 식당이 많아요.</ul>	<ul>Il y a beaucoup de salons de thé et de restaurants.</ul>


# 듣기와 말하기

[sound:저는_유자차를_주세요.mp3]	<ul>네, 저는 유자차를 주세요.</ul>	<ul>Oui, donnez-moi un thé au citron, s'il vous plaît.</ul>

[sound:서예를_좋아해요.mp3]	<ul>민정 씨는 서예를 좋아해요.</ul>	<ul>Min-jeong aime la calligraphie.</ul>

[sound:지금_영국_친구를_기다려요.mp3]	<ul>지금 영국 친구를 기다려요.</ul>	<ul>Maintenant j'attends mon ami anglais.</ul>

[sound:찻집에서_인삼차를_마셔요.mp3]	<ul>레오는 찻집에서 인삼차를 마셔요.</ul>	<ul>Léo boit du thé au ginseng à la maison de thé.</ul>


[sound:저는_커피를_자주_마셔요.mp3]	<ul><li>모르간 씨는 커피를 좋아해요?</li><li>네, 저는 커피를 자주 마셔요.</li></ul>	<ul><li>Morgane, aimes-tu le café&nbsp;?</li><li>Oui, j'en bois souvent.</li></ul>

[sound:요즘_태권도를_배워요.mp3]	<ul><li>요즘 뭐 해요?</li><li>요즘 태권도를 배워요. 그리고 학교 식당에서 아르바이트도 해요.</li></ul>	<ul><li>Qu'est-ce que tu fais ces jours-ci&nbsp;?</li><li>Ces jours-ci, j'apprends le taekwondo. Je travaille également à temps partiel à la cafétéria de l'école.</li></ul>

[sound:한국_생활은_어때요.mp3]	<ul><li>한국 생활은 어때요?</li><li>아주 재미있어요.</li></ul>	<ul><li>Comment est la vie en Corée&nbsp;?</li><li>Très intéressante.</li></ul>


# 문화와 사회

[sound:궁.mp3]	궁<p class="small light">/ 경복<span style="font-weight: bold">궁</span> / 창덕<span style="font-weight: bold">궁</span> / 덕수<span style="font-weight: bold">궁</span></p>	palais<p class="small light">/ Gyeongbok / Changdeok / Deoksu</p>

[sound:경복궁.mp3]	경복궁	palais Gyeongbok<p class="small">(litt. “palais du bonheur resplendissant”)</p><ul><li>palais royal situé à Séoul (서울) dans l'arrondissement de Jongno (<span class="em">종로구</span>)</li><li>édifié en 1394 par le roi Taejo (<span class="em">태조</span>), fondateur et premier roi de la dynastie Joseon (<span class="em">조선</span>, 1392 &ndash; 1910)</li><li>premier des cinq grands palais construits sous la dynastie Joseon</li></ul>

