tags: darakwon 16-과

[sound:색.mp3]	색<ul><span style="color:black">&#9633;</span>&nbsp;하얀색 / 흰색<br><span style="color:yellow">&#9632;</span>&nbsp;노란색<br><span style="color:green">&#9632;</span>&nbsp;녹색<br><span style="color:blue">&#9632;</span>&nbsp;파란색<br><span style="color:red">&#9632;</span>&nbsp;빨간색<br><span style="color:pink">&#9632;</span>&nbsp;분홍색<br><span style="color:orange">&#9632;</span>&nbsp;주황색<br><span style="color:purple">&#9632;</span>&nbsp;보라색<br><span style="color:brown">&#9632;</span>&nbsp;갈색<br><span style="color:grey">&#9632;</span>&nbsp;회색<br><span style="color:black">&#9632;</span>&nbsp;까만색 / 검은색</ul>	couleur
[sound:까맣습니다.mp3]	까맣습니다 <span class="small light">/ 검습니다</span><p class="발음">[까마<span style="font-weight: bold">씀</span>니다]</p><hr/>까<span class="불규칙">마</span>십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">까맣다 / 검다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">까마십니다</div>까맣습니다</div><div class="해요체"><div class="높임">까마세요</div>까매요</div></div><div class="과거"><div class="하십시오체"><div class="높임">까마셨습니다</div>까맸습니다</div><div class="해요체"><div class="높임">까마셨어요</div>까맸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">까마실 겁니다</div>까말 겁니다</div><div class="해요체"><div class="높임">까마실 거예요</div>까말 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">까마시고</div>까맣고</div><div class="지만"><div class="높임">까마시지만</div>까맣지만</div><div class="는데"><div class="높임">까마신데</div>까만데</div><div class="면"><div class="높임">까마시면</div>까마면</div><div class="서"><div class="높임">까마셔서</div>까매서</div></div></div>	<span style="color:black">&#9632;</span> il est noir<p class="small">(하십시오체, registre formel poli)</p>
[sound:까매요.mp3]	까<span class="불규칙">매</span>요 <span class="small light">/ 검어요</span><p class="small">(*까<span class="불규칙">매어</span>요)</p><hr/>까<span class="불규칙">마</span>세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">까맣다 / 검다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">까마십니다</div>까맣습니다</div><div class="해요체"><div class="높임">까마세요</div>까매요</div></div><div class="과거"><div class="하십시오체"><div class="높임">까마셨습니다</div>까맸습니다</div><div class="해요체"><div class="높임">까마셨어요</div>까맸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">까마실 겁니다</div>까말 겁니다</div><div class="해요체"><div class="높임">까마실 거예요</div>까말 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">까마시고</div>까맣고</div><div class="지만"><div class="높임">까마시지만</div>까맣지만</div><div class="는데"><div class="높임">까마신데</div>까만데</div><div class="면"><div class="높임">까마시면</div>까마면</div><div class="서"><div class="높임">까마셔서</div>까매서</div></div></div>	<span style="color:black">&#9632;</span> il est noir<p class="small">(해요체, registre informel poli)</p>
[sound:까맸어요.mp3]	까<span class="불규칙">맸</span>어요 <span class="small light">/ 검었어요</span><p class="small">(*까<span class="불규칙">매었</span>어요)</p><hr/>까<span class="불규칙">마</span>셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">까맣다 / 검다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">까마십니다</div>까맣습니다</div><div class="해요체"><div class="높임">까마세요</div>까매요</div></div><div class="과거"><div class="하십시오체"><div class="높임">까마셨습니다</div>까맸습니다</div><div class="해요체"><div class="높임">까마셨어요</div>까맸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">까마실 겁니다</div>까말 겁니다</div><div class="해요체"><div class="높임">까마실 거예요</div>까말 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">까마시고</div>까맣고</div><div class="지만"><div class="높임">까마시지만</div>까맣지만</div><div class="는데"><div class="높임">까마신데</div>까만데</div><div class="면"><div class="높임">까마시면</div>까마면</div><div class="서"><div class="높임">까마셔서</div>까매서</div></div></div>	<span style="color:black">&#9632;</span> il était noir<p class="small">(해요체, registre informel poli)</p>
[sound:까말_거예요.mp3]	까<span class="불규칙">말</span> 거예요 <span class="small light">/ 검을</span><p class="small">(*까<span class="불규칙">마을</span> 거예요)</p><hr/>까<span class="불규칙">마</span>실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">까맣다 / 검다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">까마십니다</div>까맣습니다</div><div class="해요체"><div class="높임">까마세요</div>까매요</div></div><div class="과거"><div class="하십시오체"><div class="높임">까마셨습니다</div>까맸습니다</div><div class="해요체"><div class="높임">까마셨어요</div>까맸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">까마실 겁니다</div>까말 겁니다</div><div class="해요체"><div class="높임">까마실 거예요</div>까말 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">까마시고</div>까맣고</div><div class="지만"><div class="높임">까마시지만</div>까맣지만</div><div class="는데"><div class="높임">까마신데</div>까만데</div><div class="면"><div class="높임">까마시면</div>까마면</div><div class="서"><div class="높임">까마셔서</div>까매서</div></div></div>	<span style="color:black">&#9632;</span> il sera noir<p class="small">(해요체, registre informel poli)</p>

[sound:노랗다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">노랗다 <span class="발음">[노라<span style="font-weight: bold">타</span>]</span></div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div></div>	être jaune<ul><li>adjectif irrégulier en “ㅎ”&nbsp;: ㅎ disparaît devant voyelle et les voyelles 아 / 어 / 여 deviennent 애</li></ul>
[sound:노랗습니다.mp3]	노랗습니다<p class="발음">[노라<span style="font-weight: bold">씀</span>니다]</p><hr/>노<span class="불규칙">라</span>십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">노랗다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">노라십니다</div>노랗습니다</div><div class="해요체"><div class="높임">노라세요</div>노래요</div></div><div class="과거"><div class="하십시오체"><div class="높임">노라셨습니다</div>노랬습니다</div><div class="해요체"><div class="높임">노라셨어요</div>노랬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">노라실 겁니다</div>노랄 겁니다</div><div class="해요체"><div class="높임">노라실 거예요</div>노랄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">노라시고</div>노랗고</div><div class="지만"><div class="높임">노라시지만</div>노랗지만</div><div class="는데"><div class="높임">노라신데</div>노란데</div><div class="면"><div class="높임">노라시면</div>노라면</div><div class="서"><div class="높임">노라셔서</div>노래서</div></div></div>	<span style="color:yellow">&#9632;</span> il est jaune<p class="small">(하십시오체, registre formel poli)</p>
[sound:노래요.mp3]	노<span class="불규칙">래</span>요<p class="small">(*노<span class="불규칙">래어</span>요)</p><hr/>노<span class="불규칙">라</span>세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">노랗다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">노라십니다</div>노랗습니다</div><div class="해요체"><div class="높임">노라세요</div>노래요</div></div><div class="과거"><div class="하십시오체"><div class="높임">노라셨습니다</div>노랬습니다</div><div class="해요체"><div class="높임">노라셨어요</div>노랬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">노라실 겁니다</div>노랄 겁니다</div><div class="해요체"><div class="높임">노라실 거예요</div>노랄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">노라시고</div>노랗고</div><div class="지만"><div class="높임">노라시지만</div>노랗지만</div><div class="는데"><div class="높임">노라신데</div>노란데</div><div class="면"><div class="높임">노라시면</div>노라면</div><div class="서"><div class="높임">노라셔서</div>노래서</div></div></div>	<span style="color:yellow">&#9632;</span> il est jaune<p class="small">(해요체, registre informel poli)</p>
[sound:노랬어요.mp3]	노<span class="불규칙">랬</span>어요<p class="small">(*노<span class="불규칙">래었</span>어요)</p><hr/>노<span class="불규칙">라</span>셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">노랗다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">노라십니다</div>노랗습니다</div><div class="해요체"><div class="높임">노라세요</div>노래요</div></div><div class="과거"><div class="하십시오체"><div class="높임">노라셨습니다</div>노랬습니다</div><div class="해요체"><div class="높임">노라셨어요</div>노랬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">노라실 겁니다</div>노랄 겁니다</div><div class="해요체"><div class="높임">노라실 거예요</div>노랄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">노라시고</div>노랗고</div><div class="지만"><div class="높임">노라시지만</div>노랗지만</div><div class="는데"><div class="높임">노라신데</div>노란데</div><div class="면"><div class="높임">노라시면</div>노라면</div><div class="서"><div class="높임">노라셔서</div>노래서</div></div></div>	<span style="color:yellow">&#9632;</span> il était jaune<p class="small">(해요체, registre informel poli)</p>
[sound:노랄_거예요.mp3]	노<span class="불규칙">랄</span> 거예요<p class="small">(*노<span class="불규칙">라을</span> 거예요)</p><hr/>노<span class="불규칙">라</span>실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">노랗다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">노라십니다</div>노랗습니다</div><div class="해요체"><div class="높임">노라세요</div>노래요</div></div><div class="과거"><div class="하십시오체"><div class="높임">노라셨습니다</div>노랬습니다</div><div class="해요체"><div class="높임">노라셨어요</div>노랬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">노라실 겁니다</div>노랄 겁니다</div><div class="해요체"><div class="높임">노라실 거예요</div>노랄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">노라시고</div>노랗고</div><div class="지만"><div class="높임">노라시지만</div>노랗지만</div><div class="는데"><div class="높임">노라신데</div>노란데</div><div class="면"><div class="높임">노라시면</div>노라면</div><div class="서"><div class="높임">노라셔서</div>노래서</div></div></div>	<span style="color:yellow">&#9632;</span> il sera jaune<p class="small">(해요체, registre informel poli)</p>

[sound:빨갛다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">빨갛다 <span class="발음">[빨가<span style="font-weight: bold">타</span>]</span></div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div></div>	être rouge<ul><li>adjectif irrégulier en “ㅎ”&nbsp;: ㅎ disparaît devant voyelle et les voyelles 아 / 어 / 여 deviennent 애</li></ul>
[sound:빨갛습니다.mp3]	빨갛습니다<p class="발음">[빨가<span style="font-weight: bold">씀</span>니다]</p><hr/>빨<span class="불규칙">가</span>십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">빨갛다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">빨가십니다</div>빨갛습니다</div><div class="해요체"><div class="높임">빨가세요</div>빨개요</div></div><div class="과거"><div class="하십시오체"><div class="높임">빨가셨습니다</div>빨갰습니다</div><div class="해요체"><div class="높임">빨가셨어요</div>빨갰어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">빨가실 겁니다</div>빨갈 겁니다</div><div class="해요체"><div class="높임">빨가실 거예요</div>빨갈 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">빨가시고</div>빨갛고</div><div class="지만"><div class="높임">빨가시지만</div>빨갛지만</div><div class="는데"><div class="높임">빨가신데</div>빨간데</div><div class="면"><div class="높임">빨가시면</div>빨가면</div><div class="서"><div class="높임">빨가셔서</div>빨개서</div></div></div>	<span style="color:red">&#9632;</span> il est rouge<p class="small">(하십시오체, registre formel poli)</p>
[sound:빨개요.mp3]	빨<span class="불규칙">개</span>요<p class="small">(*빨<span class="불규칙">개어</span>요)</p><hr/>빨<span class="불규칙">가</span>세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">빨갛다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">빨가십니다</div>빨갛습니다</div><div class="해요체"><div class="높임">빨가세요</div>빨개요</div></div><div class="과거"><div class="하십시오체"><div class="높임">빨가셨습니다</div>빨갰습니다</div><div class="해요체"><div class="높임">빨가셨어요</div>빨갰어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">빨가실 겁니다</div>빨갈 겁니다</div><div class="해요체"><div class="높임">빨가실 거예요</div>빨갈 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">빨가시고</div>빨갛고</div><div class="지만"><div class="높임">빨가시지만</div>빨갛지만</div><div class="는데"><div class="높임">빨가신데</div>빨간데</div><div class="면"><div class="높임">빨가시면</div>빨가면</div><div class="서"><div class="높임">빨가셔서</div>빨개서</div></div></div>	<span style="color:red">&#9632;</span> il est rouge<p class="small">(해요체, registre informel poli)</p>
[sound:빨갰어요.mp3]	빨<span class="불규칙">갰</span>어요<p class="small">(*빨<span class="불규칙">개었</span>어요)</p><hr/>빨<span class="불규칙">가</span>셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">빨갛다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">빨가십니다</div>빨갛습니다</div><div class="해요체"><div class="높임">빨가세요</div>빨개요</div></div><div class="과거"><div class="하십시오체"><div class="높임">빨가셨습니다</div>빨갰습니다</div><div class="해요체"><div class="높임">빨가셨어요</div>빨갰어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">빨가실 겁니다</div>빨갈 겁니다</div><div class="해요체"><div class="높임">빨가실 거예요</div>빨갈 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">빨가시고</div>빨갛고</div><div class="지만"><div class="높임">빨가시지만</div>빨갛지만</div><div class="는데"><div class="높임">빨가신데</div>빨간데</div><div class="면"><div class="높임">빨가시면</div>빨가면</div><div class="서"><div class="높임">빨가셔서</div>빨개서</div></div></div>	<span style="color:red">&#9632;</span> il était rouge<p class="small">(해요체, registre informel poli)</p>
[sound:빨갈_거예요.mp3]	빨<span class="불규칙">갈</span> 거예요<p class="small">(*빨<span class="불규칙">가을</span> 거예요)</p><hr/>빨<span class="불규칙">가</span>실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">빨갛다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">빨가십니다</div>빨갛습니다</div><div class="해요체"><div class="높임">빨가세요</div>빨개요</div></div><div class="과거"><div class="하십시오체"><div class="높임">빨가셨습니다</div>빨갰습니다</div><div class="해요체"><div class="높임">빨가셨어요</div>빨갰어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">빨가실 겁니다</div>빨갈 겁니다</div><div class="해요체"><div class="높임">빨가실 거예요</div>빨갈 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">빨가시고</div>빨갛고</div><div class="지만"><div class="높임">빨가시지만</div>빨갛지만</div><div class="는데"><div class="높임">빨가신데</div>빨간데</div><div class="면"><div class="높임">빨가시면</div>빨가면</div><div class="서"><div class="높임">빨가셔서</div>빨개서</div></div></div>	<span style="color:red">&#9632;</span> il sera rouge<p class="small">(해요체, registre informel poli)</p>

[sound:파랗다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">파랗다 <span class="발음">[파라<span style="font-weight: bold">타</span>]</span></div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div></div>	être bleu<ul><li>adjectif irrégulier en “ㅎ”&nbsp;: ㅎ disparaît devant voyelle et les voyelles 아 / 어 / 여 deviennent 애</li></ul>
[sound:파랗습니다.mp3]	파랗습니다<p class="발음">[파라<span style="font-weight: bold">씀</span>니다]</p><hr/>파<span class="불규칙">라</span>십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">파랗다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">파라십니다</div>파랗습니다</div><div class="해요체"><div class="높임">파라세요</div>파래요</div></div><div class="과거"><div class="하십시오체"><div class="높임">파라셨습니다</div>파랬습니다</div><div class="해요체"><div class="높임">파라셨어요</div>파랬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">파라실 겁니다</div>파랄 겁니다</div><div class="해요체"><div class="높임">파라실 거예요</div>파랄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">파라시고</div>파랗고</div><div class="지만"><div class="높임">파라시지만</div>파랗지만</div><div class="는데"><div class="높임">파라신데</div>파란데</div><div class="면"><div class="높임">파라시면</div>파라면</div><div class="서"><div class="높임">파라셔서</div>파래서</div></div></div>	<span style="color:blue">&#9632;</span> il est bleu<p class="small">(하십시오체, registre formel poli)</p>
[sound:파래요.mp3]	파<span class="불규칙">래</span>요<p class="small">(*파<span class="불규칙">래어</span>요)</p><hr/>파<span class="불규칙">라</span>세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">파랗다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">파라십니다</div>파랗습니다</div><div class="해요체"><div class="높임">파라세요</div>파래요</div></div><div class="과거"><div class="하십시오체"><div class="높임">파라셨습니다</div>파랬습니다</div><div class="해요체"><div class="높임">파라셨어요</div>파랬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">파라실 겁니다</div>파랄 겁니다</div><div class="해요체"><div class="높임">파라실 거예요</div>파랄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">파라시고</div>파랗고</div><div class="지만"><div class="높임">파라시지만</div>파랗지만</div><div class="는데"><div class="높임">파라신데</div>파란데</div><div class="면"><div class="높임">파라시면</div>파라면</div><div class="서"><div class="높임">파라셔서</div>파래서</div></div></div>	<span style="color:blue">&#9632;</span> il est bleu<p class="small">(해요체, registre informel poli)</p>
[sound:파랬어요.mp3]	파<span class="불규칙">랬</span>어요<p class="small">(*파<span class="불규칙">래었</span>어요)</p><hr/>파<span class="불규칙">라</span>셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">파랗다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">파라십니다</div>파랗습니다</div><div class="해요체"><div class="높임">파라세요</div>파래요</div></div><div class="과거"><div class="하십시오체"><div class="높임">파라셨습니다</div>파랬습니다</div><div class="해요체"><div class="높임">파라셨어요</div>파랬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">파라실 겁니다</div>파랄 겁니다</div><div class="해요체"><div class="높임">파라실 거예요</div>파랄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">파라시고</div>파랗고</div><div class="지만"><div class="높임">파라시지만</div>파랗지만</div><div class="는데"><div class="높임">파라신데</div>파란데</div><div class="면"><div class="높임">파라시면</div>파라면</div><div class="서"><div class="높임">파라셔서</div>파래서</div></div></div>	<span style="color:blue">&#9632;</span> il était bleu<p class="small">(해요체, registre informel poli)</p>
[sound:파랄_거예요.mp3]	파<span class="불규칙">랄</span> 거예요<p class="small">(*파<span class="불규칙">라을</span> 거예요)</p><hr/>파<span class="불규칙">라</span>실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">파랗다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">파라십니다</div>파랗습니다</div><div class="해요체"><div class="높임">파라세요</div>파래요</div></div><div class="과거"><div class="하십시오체"><div class="높임">파라셨습니다</div>파랬습니다</div><div class="해요체"><div class="높임">파라셨어요</div>파랬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">파라실 겁니다</div>파랄 겁니다</div><div class="해요체"><div class="높임">파라실 거예요</div>파랄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">파라시고</div>파랗고</div><div class="지만"><div class="높임">파라시지만</div>파랗지만</div><div class="는데"><div class="높임">파라신데</div>파란데</div><div class="면"><div class="높임">파라시면</div>파라면</div><div class="서"><div class="높임">파라셔서</div>파래서</div></div></div>	<span style="color:blue">&#9632;</span> il sera bleu<p class="small">(해요체, registre informel poli)</p>

[sound:하얗다_희다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">하얗다 <span class="발음">[하야<span style="font-weight: bold">타</span>]</span></div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div></div><hr/><div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">희다 <span class="발음">[<span style="font-weight: bold">히</span>다]</span></div><div class="불규칙">(형용사)</div></div></div>	être blanc<ul><li>adjectif irrégulier en “ㅎ”&nbsp;: ㅎ disparaît devant voyelle et les voyelles 아 / 어 / 여 deviennent 애</li></ul>
[sound:하얗습니다.mp3]	하얗습니다 <span class="small light">/ 흽니다</span><p class="발음">[하야<span style="font-weight: bold">씀</span>니다]</p><hr/>하<span class="불규칙">야</span>십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">하얗다 / 희다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">하야십니다</div>하얗습니다</div><div class="해요체"><div class="높임">하야세요</div>하얘요</div></div><div class="과거"><div class="하십시오체"><div class="높임">하야셨습니다</div>하얬습니다</div><div class="해요체"><div class="높임">하야셨어요</div>하얬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">하야실 겁니다</div>하얄 겁니다</div><div class="해요체"><div class="높임">하야실 거예요</div>하얄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">하야시고</div>하얗고</div><div class="지만"><div class="높임">하야시지만</div>하얗지만</div><div class="는데"><div class="높임">하야신데</div>하얀데</div><div class="면"><div class="높임">하야시면</div>하야면</div><div class="서"><div class="높임">하야셔서</div>하얘서</div></div></div>	<span style="color:black">&#9633;</span> il est blanc<p class="small">(하십시오체, registre formel poli)</p>
[sound:하얘요.mp3]	하<span class="불규칙">얘</span>요 <span class="small light">/ 희어요</span><p class="small">(*하<span class="불규칙">얘어</span>요)</p><hr/>하<span class="불규칙">야</span>세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">하얗다 / 희다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">하야십니다</div>하얗습니다</div><div class="해요체"><div class="높임">하야세요</div>하얘요</div></div><div class="과거"><div class="하십시오체"><div class="높임">하야셨습니다</div>하얬습니다</div><div class="해요체"><div class="높임">하야셨어요</div>하얬어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">하야실 겁니다</div>하얄 겁니다</div><div class="해요체"><div class="높임">하야실 거예요</div>하얄 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">하야시고</div>하얗고</div><div class="지만"><div class="높임">하야시지만</div>하얗지만</div><div class="는데"><div class="높임">하야신데</div>하얀데</div><div class="면"><div class="높임">하야시면</div>하야면</div><div class="서"><div class="높임">하야셔서</div>하얘서</div></div></div>	<span style="color:black">&#9633;</span> il est blanc<p class="small">(해요체, registre informel poli)</p>
