tags: darakwon 4-과

[sound:네.mp3]	네 <span class="small">(&ne;&nbsp;아니요)</span>	oui <span class="small">(&ne;&nbsp;non)</span>
[sound:이게_뭐예요.mp3]	<ul>이게 뭐예요?<p class="small">(이것이 &gt; 이거가 &gt; <span class="em">이게</span>)</p></ul>	<ul>Qu'est-ce que c'est&nbsp;? <span class="light" style="font-style: italic">(litt. “Qu'est-ce que ceci&nbsp;?”)</span></ul>

[sound:처음.mp3]	처음	première fois<p class="small">(début, commencement)</p>
[sound:만나다_뵙다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">&#x21a1; 뵙다 <span class="발음">[뷉<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div></div>	rencontrer<ul><li>verbe irrégulier en “ㅂ”&nbsp;: ㅂ devient 오 devant la voyelle 아 et 우 devant toute autre voyelle</li><br><li>Un terme honorifique (&#x219f;) ou de modestie (&#x21a1;) permet d'augmenter le niveau de politesse entre le sujet d'une action et son destinataire&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>un terme <span class="em">honorifique</span> souligne la déférence portée au <span class="em">sujet</span> de l'action (un aîné, un supérieur hiérarchique, un client, &hellip;)</li><li>un terme de <span class="em">modestie</span> souligne la déférence du sujet de l'action portée à son <span class="em">destinataire</span></ul></li><br><li>Ces considérations sont totalement indépendantes du <span class="em">registre</span> de langue (해체 &lt; 해요체 &lt; 하십시오체) qui est spécifiquement utilisé pour indiquer le niveau de politesse et de formalité envers l'<span class="em">interlocuteur</span> du discours.</li></ul>
[sound:처음_뵙겠습니다.mp3]	처음 뵙겠습니다<p class="발음">[뵙<span style="font-weight: bold">께씀</span>니다]</p>	enchanté, ravi de vous rencontrer<p class="small">(pour la première fois)</p><p class="small">(하십시오체, registre formel poli)</p>

[sound:아니다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">아니다</div></div></div><p class="small">(&ne;&nbsp;이다)</p>	ne pas être<p class="small">(&ne;&nbsp;être)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li></ul>
[sound:아니에요.mp3]	아니에요<div class="활용"><div class="부정사">아니다</div><div class="현재">아니에요</div></div>	il n'est pas<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li></ul>


# 대화 1

[sound:저는_줄리엥이에요.mp3]	<ul><li>이분이 누구예요?</li><li>줄리엥 씨예요. 친구예요.</li><li>아, 그래요? 반갑습니다, 줄리엥 씨. 저는 김민정이에요.</li><li>처음 뵙겠습니다. 저는 줄리엥이에요.</li></ul>	<ul><li>Qui est-ce&nbsp;?</li><li>C'est Julien, un ami.</li><li>Ah oui&nbsp;? Ravi de te rencontrer, Julien. Je m'appelle Kim Min-jeong.</li><li>Enchanté. Je m'appelle Julien.</li></ul>

[sound:저도_대학생이에요.mp3]	<ul><li>줄리엥 씨는 대학생이에요?</li><li>네, 대학생이에요. 김민정 씨도 대학생이에요?</li><li>네, 저도 대학생이에요. 이 학년이에요.</li></ul>	<ul><li>Julien, es-tu étudiant&nbsp;?</li><li>Oui, je suis étudiant. Kim Min-jeong, es-tu aussi étudiante&nbsp;?</li><li>Oui, je suis aussi étudiante. Je suis en deuxième année.</li></ul>


# 대화 2

[sound:프랑스_사람이에요.mp3]	<ul><li>줄리엥 씨는 스페인 사람이에요?</li><li>아니요, 저는 스페인 사람이 아니에요. 프랑스 사람이에요.</li><li>아, 그래요? 죄송합니다.</li><li>괜찮아요.</li></ul>	<ul><li>Julien es-tu espagnol&nbsp;?</li><li>Non, je ne suis pas espagnol. Je suis français.</li><li>Ah, vraiment&nbsp;? Désolée.</li><li>Ce n'est rien.</li></ul>

[sound:한국_사람이에요.mp3]	<ul><li>민정 씨는 중국 사람이에요?</li><li>아니요, 저는 중국 사람이 아니에요. 한국 사람이에요.</li><li>아, 미안합니다.</li><li>괜찮아요.</li></ul>	<ul><li>Min-jeong, es-tu chinoise&nbsp;?</li><li>Non, je ne suis pas chinoise. Je suis coréenne.</li><li>Ah, je suis désolé.</li><li>Il n'y a pas de mal.</li></ul>

[sound:전공은_한국어예요.mp3]	<ul><li>줄리엥 씨는 대학교 삼 학년이에요?</li><li>아니요, 저도 이 학년이에요. 전공은 한국어예요.</li></ul>	<ul><li>Julien, es-tu en troisième année de fac&nbsp;?</li><li>Non, je suis aussi en deuxième année. Ma spécialité est le coréen.</li></ul>


# 읽기

[sound:화가가_아니에요.mp3]	<ul><li>이분이 누구예요?</li><li>박경리 선생님이에요. 박경리 선생님은 소설가예요. 화가가 아니에요.</li></ul>	<ul><li>Qui est-ce&nbsp;?</li><li>C'est (M.) Park Kyeong-ri. C'est un romancier. Il n'est pas peintre.</li></ul>

[sound:소설가예요.mp3]	<ul><li>이분이 누구예요?</li><li>김영하 씨예요. 김영하 씨도 소설가예요.</li></ul>	<ul><li>Qui est-ce&nbsp;?</li><li>C'est (Mme) Kim Yeong-ha. Elle aussi est romancière.</li></ul>

[sound:영화감독이_아니에요.mp3]	<ul><li>이분이 누구예요?</li><li>전도연 씨예요. 전도연 씨는 한국 배우예요. 영화감독이 아니에요.</li></ul>	<ul><li>Qui est-ce&nbsp;?</li><li>C'est (Mme) Jeon Do-yeon. C'est une actrice coréenne. Elle n'est pas réalisatrice.</li></ul>

[sound:배우가_아니에요.mp3]	<ul><li>이분이 누구예요?</li><li>조수미 씨예요. 조수미 씨는 성악가예요. 배우가 아니에요.</li></ul>	<ul><li>Qui est-ce&nbsp;?</li><li>C'est (Mme) Jo Sumi. C'est une chanteuse. Elle n'est pas actrice.</li></ul>


[sound:가방이에요.mp3]	<ul><li>이게 뭐예요?</li><li>가방이에요.</li></ul>	<ul><li>Qu'est-ce que ceci&nbsp;?</li><li>C'est un sac.</li></ul>

[sound:휴대전화예요.mp3]	<ul><li>이게 뭐예요?</li><li>휴대전화예요.</li></ul>	<ul><li>Qu'est-ce que ceci&nbsp;?</li><li>C'est un téléphone portable.</li></ul>

[sound:사진이에요.mp3]	<ul><li>이게 뭐예요?</li><li>사진이에요. 전도연 씨 사진이에요.</li></ul>	<ul><li>Qu'est-ce que ceci&nbsp;?</li><li>C'est une photo. Une photo de (Mme) Jeon Do-yeon.</li></ul>


# 듣기와 말하기

[sound:미국_사람이_아니에요.mp3]	<ul>모르간 씨는 미국 사람이 아니에요.</ul>	<ul>Morgane n'est pas américaine.</ul>
[sound:화가예요.mp3]	<ul>저는 화가예요.</ul>	<ul>Je suis peintre.</ul>
[sound:한국_소설가예요.mp3]	<ul>김영하 씨는 한국 소설가예요.</ul>	<ul>Kim Yeong-ha est une romancière coréenne.</ul>


# 문화와 사회

[sound:한류.mp3]	한류 <span class="발음">[할류]</span>	Hallyu<p class="small">(litt. “vague coréenne”)</p><ul><li>La “vague coréenne” est un néologisme forgé pour désigner le succès croissant de la culture sud coréenne représentée par sa production télévisuelle (<span class="em">드라마, K-dramas</span>) et musicale (<span class="em">케이팝, K-pop</span>), la bande dessinée (<span class="em">만화</span>), les jeux vidéos, sa cuisine (<span class="em">한식</span>), etc.</li><li>Ce succès est en partie dû au développement de services de réseaux sociaux et de plateformes de partage de vidéos en ligne (YouTube), qui ont permis à l'industrie coréenne du divertissement d'atteindre un public étranger important.</li></ul>
