tags: darakwon 9-과

[sound:공.mp3]	공 <span class="small">(0)</span><p class="small light"><span style="font-weight: bold">공</span> &lt; 일 &lt; 이 &lt; 삼 &lt; 사 &lt; 오 &lt; 육 &lt; 칠 &lt; 팔 &lt; 구 &lt; 십</p>	zéro<hr/>balle, ballon
[sound:연필.mp3]	연필 <span class="small light">/ 볼펜</span>	crayon à papier <span class="small light">/ stylo-bille</span><ul><li>연필 두 <span class="em">자루</span> (2 crayons)</li><li>연필 한 <span class="em">개</span> (1 crayon)</li></ul>
[sound:옷.mp3]	옷 <span class="발음">[옫]</span>	vêtement, habit
[sound:바지.mp3]	바지 <span class="small light">/ 청바지</span>	pantalon <span class="small light">/ jeans</span><p class="small">(옷: vêtement)</p>
[sound:청바지.mp3]	청바지	jeans<p class="small">(바지: pantalon ; 옷: vêtement)</p><ul><li>청바지 한 <span class="em">벌</span> (1 paire de jeans)</li></ul>
[sound:컴퓨터.mp3]	컴퓨터	ordinateur<p class="small">(angl. “computer”)</p><ul><li>컴퓨터 한 <span class="em">대</span> (1 ordinateur)</li></ul>
[sound:노트북_컴퓨터.mp3]	노트북 (컴퓨터)	ordinateur portable<p class="small">(angl. “notebook computer”)</p><ul><li>노트북 한 <span class="em">대</span> (1 ordinateur portable)</li></ul>
[sound:텔레비전.mp3]	텔레비전	télévision<ul><li>텔레비전 두 <span class="em">대</span> (2 télés)</li></ul>

[sound:따르릉.mp3]	따르릉	dring<p class="small">(sonnerie de téléphone)</p>
[sound:잠깐만_잠시만.mp3]	잠깐(만)	(seulement) un moment, un instant
[sound:전화.mp3]	전화<p class="small light">/ 휴대전화 / 전화번호</p>	téléphone<p class="small light">/ tél. portable / numéro de tél.</p>
[sound:전화번호.mp3]	전화번호	numéro de téléphone<ul>&mdash;&nbsp;사미라 씨 전화번호가 몇 번이에요?<br>&mdash;&nbsp;<span style="font-style: italic">Quel est le numéro de téléphone de Samira&nbsp;?</span></ul>
[sound:좀.mp3]	좀 <span class="small light">/ 조금 / 제발</span>	s'il vous plaît<hr/>un peu (en petite quantité)<p class="fr small">(abréviation informelle de 조금)</p><ul><li>제발 est beaucoup plus fort que 좀&nbsp;; il exprime plus la supplication et le désespoir que la demande polie et peut être rendu par “je vous en prie” ou “pour l'amour de Dieu”.<br><br>&mdash;&nbsp;상준 씨 좀 바꿔 주세요.<br>&mdash;&nbsp;<span style="font-style: italic">Pourriez-vous me passer Sang-joon, s'il vous plaît&nbsp;?</span><br><br>&mdash;&nbsp;제발 살려 주세요.<br>&mdash;&nbsp;<span style="font-style: italic">S'il vous plaît, épargnez ma vie.</span><br><br>&mdash;&nbsp;제발 그만해.<br>&mdash;&nbsp;<span style="font-style: italic">S'il vous plait, arrêtez.</span></li></ul>
[sound:집_댁.mp3]	집<hr/>댁<p class="fr small">(honorifique)</p>	maison


## https://coreen-actuel.com/apprendre-le-coreen/vocabulaire/classificateurs.php
[sound:개.mp3]	개<p class="small">한 개 / 두 개 / 세 개 / &hellip;</p>	chien<ul><li>개 한 <span class="em">마리</span> (1 chien)</li></ul><hr/>objets, choses<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>개 est un classificateur universel utilisé quand on ne connaît pas le classificateur spécifique, c-à-d approprié à la catégorie dénombrée</li><br><li>사과 두 개 (2 pommes)</li><li>지우개 세 개 (3 gommes)</li><li>동전 네 개 (4 pièces de monnaie)</li></ul>
[sound:명.mp3]	명<p class="small">한 명 / 두 명 / 세 명 / &hellip;</p><hr/>분<p class="fr small">(honorifique)</p><p class="small">한 분 / 두 분 / 세 분 / &hellip;</p>	personnes<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>Attention, 분 utilisé avec un ordinal sino-coréen est un classificateur de “minutes”</li><br><li>한 명 (1 personne)</li><li>여자 두 명 (2 femmes)</li><li>학생 세 명 (3 étudiants)</li><br><li>할머니 한 분 (1 grand-mère)</li><li>선생님 세 분 (3 professeurs)</li><li>남자 다섯 분 (5 hommes)</li></ul><ul>&mdash;&nbsp;교실에 학생이 몇 명 있어요? &mdash;&nbsp;다섯 명 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">Combien y a-t-il d'élèves dans la classe&nbsp;? &mdash;&nbsp;Il y en a cinq.</span><br><br>Nasalisation&nbsp;: 몇 명 <span style="font-size: 100%" class="발음">[<span style="font-weight: bold">면</span>명]</span> / 다섯 명 <span style="font-size: 100%" class="발음">[다<span style="font-weight: bold">선</span> 명]</span> / 여섯 명 <span style="font-size: 100%" class="발음">[여<span style="font-weight: bold">선</span> 명]</span></ul>
[sound:마리.mp3]	마리<p class="small">한 마리 / 두 마리 / 세 마리 / &hellip;</p>	animaux<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>개 한 마리 (1 chien)</li><li>물고기 세 마리 (3 poissons)</li><li>모기 열 마리 (10 moustiques)</li></ul>
[sound:권.mp3]	권<p class="small">한 권 / 두 권 / 세 권 / &hellip;</p>	livres, cahiers<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>책 한 권 (un livre)</li><li>소설책 네 권 (4 romans)</li></ul>
[sound:벌.mp3]	벌<p class="small">한 벌 / 두 벌 / 세 벌 / &hellip;</p>	vêtements<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>바지 한 벌 (1 pantalon)</li><li>셔츠 세 벌 (3 chemises)</li><li>코트 두 벌 (2 manteaux)</li></ul>
[sound:대.mp3]	대<p class="small">한 대 / 두 대 / 세 대 / &hellip;</p>	machines, véhicules<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>버스 두 대 (2 bus)</li><li>오토바이 네 대 (4 motos)</li><li>자전거 다섯 대 (5 vélos)</li><li>컴퓨터 한 대 (1 ordinateur)</li><li>텔레비전 두 대 (2 télés)</li></ul>
[sound:병.mp3]	병<p class="small">한 병 / 두 병 / 세 병 / &hellip;</p>	bouteilles<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>콜라 두 병 (2 bouteilles de coca)</li><li>소주 세 병 (3 bouteilles de soju)</li><li>맥주 두 병 (2 bouteilles de bière)</li></ul>
[sound:잔.mp3]	잔<p class="small">한 잔 / 두 잔 / 세 잔 / &hellip;</p>	verres, tasses<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>커피 두 잔 (2 tasses de café)</li><li>물 세 잔 (3 verres d'eau)</li><li>소주 한 잔 (1 shooter de soju)</li></ul>
[sound:장.mp3]	장<p class="small">한 장 / 두 장 / 세 장 / &hellip;</p>	objets plats et fins (feuilles, pages, billets)<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>종이 세 장 (3 feuilles de papier)</li><li>책 다섯 장 (5 pages d'un livre)</li><li>우표 두 장 (2 timbres)</li><li>천원짜리 세 장 (3 billets de 1000 wons)</li><li>티셔츠 두 장 (2 t-shirts)</li><li>사진 한 장 (1 photo)</li><li>신문지 세 장 (3 journaux)</li></ul>
[sound:자루.mp3]	자루<p class="small">한 자루 / 두 자루 / 세 자루 / &hellip;</p>	objets de type crayon<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li><span class="em">개</span> est le plus souvent utilisé au lieu de 자루 (연필 한 개, 볼펜 두 개)</li><br><li>연필 두 자루 (2 crayons à papier)</li><li>볼펜 세 자루 (3 stylos à bille)</li><li>샤프 한 자루 (1 portemine)</li></ul>

[sound:층.mp3]	층<p class="small">일 층 / 이 층 / 삼 층 / &hellip;</p>	numéro d'étage<p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>attention au décalage&nbsp;: les coréens commencent à compter les étages à partir du rez-de-chaussée (comme le “floor” américain)&nbsp;; il s'agit donc plus de <span style="font-weight: bold">niveau</span> que d'étage au sens français (qui suppose une élévation)</li><br><li>일 층 (premier niveau, rez-de-chaussée)</li><li>사 층 (quatrième niveau, 3<sup>ème</sup> étage)</li><li>삼십일 층 (trente-et-unième niveau, 30<sup>ème</sup> étage)</li></ul>
[sound:회.mp3]	회 <span class="발음">[훼]</span><p class="small">일 회 / 이 회 / 삼 회 / &hellip;</p>	numéro d'épisode<p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>일 회 (premier épisode)</li><li>이 회 (deuxième épisode)</li></ul>
[sound:년.mp3]	년 <span class="small light">/ 작년 / 내년</span><p class="small">일 년 / 이 년 / 삼 년 / &hellip;</p>	années (date et durée)<p class="small light">/ l'année dernière / l'année prochaine</p><p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>일 년 (une année)</li><li>백 년 (100 ans)</li><li>이천구 년 (2009)</li><li>천 구백 구십 구 년 (1999)</li><li>한국에서 일 년 동안 살았습니다 (j'ai vécu un an en Corée)</li></ul>
[sound:번.mp3]	번<p class="small">일 번 / 이 번 / 삼 번 / &hellip;</p>	numéro (scolaire)<p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>quand on parle d'un ordre ou d'un classement, on préfère dire <span class="em">첫번</span> plutôt que 일 번</li><br><li>일 번 (numéro 1)</li><li>이십 번 (numéro 20)</li></ul>
[sound:원.mp3]	원<p class="small">백 원 / 천 원 / 만 원 / &hellip;</p>	won (₩)<p class="small">(수분류사: classificateur + numéral <span class="em">sino-coréen</span>)</p><ul><li>백 원 (100 wons)</li><li>오천 원 (5 000 wons)</li><li>만 원 (10 000 wons)</li><li>오만 구천 칠백 팔십 원 (59 780 wons)</li></ul>
[sound:유로.mp3]	유로<p class="small">일 유로 / 이 유로 / 삼 유로 / &hellip;</p>	euros (€)<p class="small">(수분류사: classificateur + numéral <span class="em">sino-coréen</span>)</p><ul><li>일 유로 &cong; 천 오백 원 (1 EUR &cong; 1500 KRW)</li></ul>
[sound:달러.mp3]	달러<p class="small">일 달러 / 십 달러 / 백 달러 / &hellip;</p>	dollars ($)<p class="small">(수분류사: classificateur + numéral <span class="em">sino-coréen</span>)</p><ul><li>일 달러 &cong; 천 이백 원 (1 USD &cong; 1200 KRW)</li></ul>


[sound:명령.mp3]	명령 <span class="발음">[명녕]</span>	ordre<p class="small">commandement, directive</p>
[sound:명령법.mp3]	명령법 <span class="발음">[명녕뻡]</span>	mode impératif<p class="small">(활용: conjugaison ; 명령: ordre ; 법: mode ; angl. “imperative mood”)</p>
[sound:으세요.mp3]	V-(으)세요	forme impérative polie
[sound:기다리세요.mp3]	기다리세요<div class="활용"><div class="bloc"><div class="부정사">기다리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="명령법">기다리세요</div></div></div>	attendez<p class="small">(impératif honorifique)</p>
[sound:보세요.mp3]	보세요<div class="활용"><div class="bloc"><div class="부정사">보다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="명령법">보세요</div></div></div>	regardez<p class="small">(impératif honorifique)</p>
[sound:오세요.mp3]	오세요<div class="활용"><div class="bloc"><div class="부정사">오다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="명령법">오세요</div></div></div>	venez<p class="small">(impératif honorifique)</p>
[sound:한국어를_배우세요.mp3]	한국어를 배우세요	apprenez le coréen<p class="small">(impératif honorifique)</p>
[sound:칠과_읽으세요.mp3]	칠과 읽으세요	lisez la leçon n°7<p class="small">(impératif honorifique)</p>


[sound:여보세요.mp3]	여보세요?	allo&nbsp;?<ul><li>contraction de 여기 보세요&nbsp;; litt. “regardez ici”</li></ul>
[sound:거기_상준_씨_댁이에요.mp3]	<ul><span style="font-weight: bold">거기</span> 상준 씨 <span style="font-weight: bold">집</span>이에요?</ul><hr/><ul><span style="font-weight: bold">거기</span> 상준 씨 <span style="font-weight: bold">댁</span>이에요?</ul>	<ul>Je suis bien chez Sang-joon&nbsp;? <span class="small">(au téléphone)</span></ul>
[sound:실례지만_누구세요.mp3]	<ul>실례지만 누구세요?</ul>	<ul>Excusez-moi mais qui est à l'appareil&nbsp;? <span class="small">(au téléphone)</span></ul>
[sound:상준_씨_좀_바꿔_주세요.mp3]	<ul>상준 씨 좀 바꿔 주세요.</ul>	<ul>Pourriez-vous me passer Sang-joon, s'il vous plaît&nbsp;? <span class="small">(au téléphone)</span></ul>
[sound:잠깐만_기다리세요.mp3]	<ul>잠깐만 기다리세요.</ul><hr/><ul>잠깐만 기다려 주세요.</ul>	<ul>(Attendez) une minute / un instant je vous prie.</ul><hr/><ul>Ne quittez pas. <span class="small">(au téléphone)</span></ul>

[sound:어머니_엄마.mp3]	어머니<hr/>엄마	mère<hr/>maman
[sound:얼마.mp3]	얼마	combien (prix)&nbsp;?
[sound:교실.mp3]	교실 <span class="small light">/ 학교</span>	salle de classe <span class="small light">/ école</span>
[sound:포도.mp3]	포도 <span class="small light">/ 포도주</span>	raisin <span class="small light">/ vin</span><p class="small">(과일: fruit)</p>
[sound:포도주_와인.mp3]	포도주 <span class="small light">/ 포도</span><hr/>와인	vin <span class="small light">/ raisin</span><p class="small">(술: alcool ; angl. “wine”)</p>


[sound:나타나다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">나타나다</div><div class="불규칙">(동사)</div></div></div>	apparaître<ul><li>verbe régulier</li></ul>
[sound:나타나요.mp3]	나타<span class="불규칙">나</span>요<p class="small">(*나타<span class="불규칙">나아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">나타나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">나타나요</div></div></div>	il apparaît<p class="small">(해요체, registre informel poli)</p>

[sound:맞아요.mp3]	맞아요 <span class="발음">[마자요]</span><div class="활용"><div class="bloc"><div class="부정사">맞다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">맞아요</div></div></div>	c'est ça, c'est correct, c'est juste<hr/>il sied, il va, il convient <span class="small">(à un goût)</span><hr/>il est cohérent, en harmonie <span class="small">(avec)</span><p class="small">(해요체, registre informel poli)</p>

[sound:비싸다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">비싸다</div><div class="불규칙">(형용사)</div></div></div><p class="small">(&ne;&nbsp;싸다)</p>	être cher, onéreux<p class="small">(&ne;&nbsp;être bon marché)</p><ul><li>adjectif régulier</li></ul>
[sound:비싸요.mp3]	비<span class="불규칙">싸</span>요<p class="small">(*비<span class="불규칙">싸아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">비싸다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">비싸요</div></div></div>	il est cher, onéreux<p class="small">(해요체, registre informel poli)</p>

[sound:세일하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">세일하다</div><div class="불규칙">(동사)</div></div></div>	solder, démarquer, brader<ul><li>verbe régulier</li></ul>
[sound:세일해요.mp3]	세일해요<div class="활용"><div class="bloc"><div class="부정사">세일하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">세일해요</div></div></div>	il solde, il démarque, il brade<p class="small">(해요체, registre informel poli)</p>

[sound:쇼핑.mp3]	쇼핑	shopping
[sound:쇼핑하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">쇼핑하다</div><div class="불규칙">(동사)</div></div></div>	faire du shopping<ul><li>verbe régulier</li></ul>
[sound:쇼핑해요.mp3]	쇼핑해요<div class="활용"><div class="bloc"><div class="부정사">쇼핑하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">쇼핑해요</div></div></div>	il fait du shopping<p class="small">(해요체, registre informel poli)</p>

[sound:수영.mp3]	수영	natation, nage<p class="small">(운동: sport)</p>
[sound:수영하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">수영하다</div><div class="불규칙">(동사)</div></div></div>	nager<ul><li>verbe régulier</li></ul>
[sound:수영해요.mp3]	수영해요<div class="활용"><div class="bloc"><div class="부정사">수영하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">수영해요</div></div></div>	il nage<p class="small">(해요체, registre informel poli)</p>

[sound:싸다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">싸다</div><div class="불규칙">(형용사)</div></div></div><p class="small">(&ne;&nbsp;비싸다)</p>	ne pas être cher, être bon marché<p class="small">(&ne;&nbsp;être cher, onéreux)</p><ul><li>adjectif régulier</li></ul>
[sound:싸요.mp3]	<span class="불규칙">싸</span>요<p class="small">(*<span class="불규칙">싸아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">싸다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">싸요</div></div></div>	il n'est pas cher, il est bon marché<p class="small">(해요체, registre informel poli)</p>

[sound:알다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">알다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div></div><p class="small">(&ne;&nbsp;모르다)</p>	savoir, connaître<p class="small">(&ne;&nbsp;ne pas savoir, ignorer)</p><ul><li>verbe irrégulier en “ㄹ”&nbsp;: ㄹ disparaît devant ㄴ / ㅂ / ㅅ</li></ul>
[sound:알아요.mp3]	알아요 <span class="발음">[아라요]</span><div class="활용"><div class="bloc"><div class="부정사">알다</div><div class="불규칙">(“ㄹ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">알아요</div></div></div>	il sait, il connaît<p class="small">(해요체, registre informel poli)</p>

[sound:운전하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">운전하다</div><div class="불규칙">(동사)</div></div></div>	conduire <span class="small">(un véhicule)</span><ul><li>verbe régulier</li></ul>
[sound:운전해요.mp3]	운전해요<div class="활용"><div class="bloc"><div class="부정사">운전하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">운전해요</div></div></div>	il conduit <span class="small">(un véhicule)</span><p class="small">(해요체, registre informel poli)</p>

[sound:인터넷하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">인터넷하다 <span class="발음">[인터네<span style="font-weight: bold">타</span>다]</span></div><div class="불규칙">(동사)</div></div></div>	surfer, naviguer <span class="small">(sur internet)</span><ul><li>verbe régulier</li></ul>
[sound:인터넷해요.mp3]	인터넷해요<p class="발음">[인터네<span style="font-weight: bold">태</span>요]</p><div class="활용"><div class="bloc"><div class="부정사">인터넷하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">인터넷해요</div></div></div>	il surfe <span class="small">(sur internet)</span><p class="small">(해요체, registre informel poli)</p>

[sound:전화하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">전화(를 )하다</div><div class="불규칙">(동사)</div></div><hr/><div class="bloc"><div class="부정사" style="font-size: 150%">전화(를 )걸다</div><div class="불규칙">(동사)</div></div></div>	téléphoner<ul><li>verbes réguliers</li></ul>
[sound:전화해요.mp3]	전화해요<div class="활용"><div class="bloc"><div class="부정사">전화하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">전화해요</div></div></div>	il téléphone<p class="small">(해요체, registre informel poli)</p>

[sound:조깅.mp3]	조깅	jogging, footing<p class="small">(운동: sport)</p>
[sound:조깅하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">조깅하다</div><div class="불규칙">(동사)</div></div></div>	faire du jogging<ul><li>verbe régulier</li></ul>
[sound:조깅해요.mp3]	조깅해요<div class="활용"><div class="bloc"><div class="부정사">조깅하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">조깅해요</div></div></div>	il fait du jogging<p class="small">(해요체, registre informel poli)</p>

[sound:좋은.mp3]	좋은<div class="활용"><div class="bloc"><div class="부정사">좋다</div><div class="불규칙">(형용사)</div></div></div>	bon(ne)

[sound:주다_드리다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">주다</div><div class="불규칙">(동사)</div></div><hr/><div class="bloc"><div class="부정사" style="font-size: 150%">&#x21a1; 드리다</div><div class="불규칙">(동사)</div></div></div>	donner<ul><li>verbes réguliers</li><br><li>Un terme honorifique (&#x219f;) ou de modestie (&#x21a1;) permet d'augmenter le niveau de politesse entre le sujet d'une action et son destinataire&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>un terme <span class="em">honorifique</span> souligne la déférence portée au <span class="em">sujet</span> de l'action (un aîné, un supérieur hiérarchique, un client, &hellip;)</li><li>un terme de <span class="em">modestie</span> souligne la déférence du sujet de l'action portée à son <span class="em">destinataire</span></ul></li><br><li>Ces considérations sont totalement indépendantes du <span class="em">registre</span> de langue (해체 &lt; 해요체 &lt; 하십시오체) qui est spécifiquement utilisé pour indiquer le niveau de politesse et de formalité envers l'<span class="em">interlocuteur</span> du discours.</li></ul>
[sound:줘요.mp3]	<span class="불규칙">줘</span>요<p class="small">(*<span class="불규칙">주어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 드리다</div>주다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">줘요</div><div class="명령법">주세요</div></div></div>	il donne<p class="small">(해요체, registre informel poli)</p>

[sound:친절하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">친절하다</div><div class="불규칙">(형용사)</div></div></div>	être gentil<p class="small">être amical, aimable</p><ul><li>adjectif régulier</li></ul>
[sound:친절해요.mp3]	친절해요<div class="활용"><div class="bloc"><div class="부정사">친절하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">친절해요</div></div></div>	il est gentil<p class="small">il est amical, aimable</p><p class="small">(해요체, registre informel poli)</p>

[sound:테니스하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">테니스하다</div><div class="불규칙">(동사)</div></div></div>	jouer au tennis<ul><li>verbe régulier</li></ul>
[sound:테니스해요.mp3]	테니스해요<div class="활용"><div class="bloc"><div class="부정사">테니스하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">테니스해요</div></div></div>	il joue au tennis<p class="small">(해요체, registre informel poli)</p>

[sound:피곤하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">피곤하다</div><div class="불규칙">(형용사)</div></div></div>	être fatigué<ul><li>adjectif régulier</li></ul>
[sound:피곤해요.mp3]	피곤해요<div class="활용"><div class="bloc"><div class="부정사">피곤하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">피곤해요</div></div></div>	il est fatigué<p class="small">(해요체, registre informel poli)</p>


[sound:에게_한테_께.mp3]	-에게	particule (조사) du complément d'objet indirect<p class="small" style="font-weight: bold">&mdash;&nbsp;datif&nbsp;&mdash;</p><ul>&mdash;&nbsp;레오는 모르간에게 볼펜을 줘요.<br>&mdash;&nbsp;<span style="font-style: italic">Léo donne un stylo à Morgane.</span><br><br>&mdash;&nbsp;모르간이 상준에게 전화해요.<br>&mdash;&nbsp;<span style="font-style: italic">Morgane téléphone à Sang-joon.</span></ul>
[sound:레오는_모르간에게_볼펜을_줘요.mp3]	<ul>레오는 모르간<span class="em">에게</span> 볼펜을 줘요.</ul>	<ul>Léo donne un stylo <span class="em">à</span> Morgane.</ul>

[sound:에.mp3]	-에	à<ul><li>particule (조사) de <span class="em">positionnement statique</span>&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>spacial (locatif)</li><li>temporel (moment précis)</li></ul></li><br><li>en tant que locatif, elle doit être associée à un verbe d'état (형용사) ou d'existence (있다/없다)</li><br><li>en tant qu'indicateur temporel, elle ne peut pas être utilisée avec 언제, 지금, 오늘, 어제, 내일, 모레, &hellip;</li></ul><hr>par<p class="small">(distributif)</p><ul><li>lorsqu'elle est suffixée à un classificateur (대, 개, 권, 벌, &hellip;)<br><br>- 노트북이 한 <span style="font-weight: bold">대에</span> <span class="light">(un ordinateur portable)</span><br>- 볼펜이 다섯 <span style="font-weight: bold">개에</span> <span class="light">(le lot de cinq stylos)</span><br>- 공책은 한 <span style="font-weight: bold">권에</span> <span class="light">(le cahier à l'unité)</span><br>- 청바지 한 <span style="font-weight: bold">벌에</span> <span class="light">(la paire de jeans)</span></li></ul>

[sound:안_지_않다.mp3]	안	ne pas<p class="small">(adverbe de négation)</p><ul><li>utilisé avec des verbes d'action (동사) combinés avec <span class="em">하다</span>, il se place juste devant le verbe 하다<ul style="font-size: 100%; list-style-type: circle"><li>공부하다 &rarr; 공부 안 하다</li><li>운전하다 &rarr; 운전 안 하다</li></ul><br><li>utilisé avec des verbes de description (형용사) combinés avec <span class="em">하다</span>, il se place devant le verbe comme les autres<ul style="font-size: 100%; list-style-type: circle"><li>친절하다 &rarr; 안 친절하다</li><li>피곤하다 &rarr; 안 피곤하다</li></ul></li></ul>


[sound:사미라는_콜라_한_병과_사과_두_개를_사요.mp3]	<ul>사미라는 콜라 한 병과 사과 두 개를 사요.</ul>	<ul>Samira achète une bouteille de cola et deux pommes.</ul>
[sound:교실에_학생이_스무_명_있어요.mp3]	<ul>교실에 학생이 스무 명 있어요.</ul>	<ul>Il y a vingt élèves dans la classe.</ul>
