tags: darakwon 8-과

[sound:언제.mp3]	언제	quand&nbsp;?
[sound:여섯_6.mp3]	여섯<p class="small light">하나 &lt; 둘 &lt; 셋 &lt; 넷 &lt; 다섯 &lt; <span style="font-weight: bold">여섯</span> &lt; 일곱 &lt; 여덟 &lt; 아홉 &lt; 열</p>	six<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:일곱_7.mp3]	일곱<p class="small light">하나 &lt; 둘 &lt; 셋 &lt; 넷 &lt; 다섯 &lt; 여섯 &lt; <span style="font-weight: bold">일곱</span> &lt; 여덟 &lt; 아홉 &lt; 열</p>	sept<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:여덟_8.mp3]	여덟<p class="small light">하나 &lt; 둘 &lt; 셋 &lt; 넷 &lt; 다섯 &lt; 여섯 &lt; 일곱 &lt; <span style="font-weight: bold">여덟</span> &lt; 아홉 &lt; 열</p>	huit<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:아홉_9.mp3]	아홉<p class="small light">하나 &lt; 둘 &lt; 셋 &lt; 넷 &lt; 다섯 &lt; 여섯 &lt; 일곱 &lt; 여덟 &lt; <span style="font-weight: bold">아홉</span> &lt; 열</p>	neuf<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:열_10.mp3]	열<p class="small light"><span style="font-weight: bold">열</span> &lt; 스물 &lt; 서른 &lt; 마흔 &lt; 쉰 &lt; 예순 &lt; 일흔 &lt; 여든 &lt; 아흔</p>	dix<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:하나_둘_셋_넷_다섯_여섯_일곱_여덟_아홉_열.mp3]	하나 둘 셋 넷 다섯 여섯 일곱 여덟 아홉 열	numéraux (수사) <span class="em">coréens</span><p class="small light">un, deux, trois, quatre, &hellip;, dix</p>
[sound:스물_20.mp3]	스물 (스무)<p class="small light">열 &lt; <span style="font-weight: bold">스물</span> &lt; 서른 &lt; 마흔 &lt; 쉰 &lt; 예순 &lt; 일흔 &lt; 여든 &lt; 아흔</p>	vingt<p class="small">(수사: numéral <span class="em">coréen</span>)</p><ul><li>Lorsqu'ils sont employés <span class="em">en contact direct avec des classificateurs</span>, certains numéraux d'origine coréenne &mdash;&nbsp;tel qu'ici 스물&nbsp;&mdash; subissent de légères modifications de forme pour en faciliter la prononciation&nbsp;: 하나 &rarr; 한, 둘 &rarr; 두, 셋 &rarr; 세, 넷 &rarr; 네, 스물 &rarr; 스무.<br><br>&mdash;&nbsp;교실에 학생이 <span style="font-weight: bold">스무</span> 명 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">Il y a vingt élèves dans la classe.</span><br><br>&mdash;&nbsp;저는 <span style="font-weight: bold">스물</span>한 살이에요.<br>&mdash;&nbsp;<span style="font-style: italic">J'ai 21 ans.</span><br><br>&mdash;&nbsp;누나는 <span style="font-weight: bold">스물</span>아홉 살입니다.<br>&mdash;&nbsp;<span style="font-style: italic">Sa sœur a vingt-neuf ans.</span></li></ul>
[sound:서른_30.mp3]	서른<p class="small light">열 &lt; 스물 &lt; <span style="font-weight: bold">서른</span> &lt; 마흔 &lt; 쉰 &lt; 예순 &lt; 일흔 &lt; 여든 &lt; 아흔</p>	trente<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:마흔_40.mp3]	마흔<p class="small light">열 &lt; 스물 &lt; 서른 &lt; <span style="font-weight: bold">마흔</span> &lt; 쉰 &lt; 예순 &lt; 일흔 &lt; 여든 &lt; 아흔</p>	quarante<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:쉰_50.mp3]	쉰<p class="small light">열 &lt; 스물 &lt; 서른 &lt; 마흔 &lt; <span style="font-weight: bold">쉰</span> &lt; 예순 &lt; 일흔 &lt; 여든 &lt; 아흔</p>	cinquante<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:예순_60.mp3]	예순<p class="small light">열 &lt; 스물 &lt; 서른 &lt; 마흔 &lt; 쉰 &lt; <span style="font-weight: bold">예순</span> &lt; 일흔 &lt; 여든 &lt; 아흔</p>	soixante<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:일흔_70.mp3]	일흔<p class="small light">열 &lt; 스물 &lt; 서른 &lt; 마흔 &lt; 쉰 &lt; 예순 &lt; <span style="font-weight: bold">일흔</span> &lt; 여든 &lt; 아흔</p>	soixante-dix<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:여든_80.mp3]	여든<p class="small light">열 &lt; 스물 &lt; 서른 &lt; 마흔 &lt; 쉰 &lt; 예순 &lt; 일흔 &lt; <span style="font-weight: bold">여든</span> &lt; 아흔</p>	quatre-vingt<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:아흔_90.mp3]	아흔<p class="small light">열 &lt; 스물 &lt; 서른 &lt; 마흔 &lt; 쉰 &lt; 예순 &lt; 일흔 &lt; 여든 &lt; <span style="font-weight: bold">아흔</span></p>	quatre-vingt-dix<p class="small">(수사: numéral <span class="em">coréen</span>)</p>
[sound:열_스물_서른_마흔_쉰_예순_일흔_여든_아흔.mp3]	열 스물 서른 마흔 쉰 예순 일흔 여든 아흔	numéraux (수사) <span class="em">coréens</span>&nbsp;: dizaines<p class="small light">dix, vingt, trente, &hellip;, quatre-vingt-dix</p>

[sound:살.mp3]	살<p class="small">한 살 / 두 살 / 세 살 / &hellip;</p>	âge (d'une personne)<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><hr>chair<p class="small">(몸: corps)</p><ul><li>열세 살 (13 ans)</li><li>스물 여섯 살 (26 ans)</li><li>마흔 아홉 살 (49 ans)</li></ul><ul>&mdash;&nbsp;몇 살이에요? &mdash;&nbsp;스물한 살이에요.<br>&mdash;&nbsp;<span style="font-style: italic">Quel âge as-tu&nbsp;? &mdash;&nbsp;J'ai vingt-et-un ans.</span></ul>
[sound:시.mp3]	시<p class="small">한 시 / 두 시 / 세 시 / &hellip; / 열한 시 / 열두 시</p>	heures<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p><ul><li>한 시 (1h ou 13h)</li><li>여덟 시 (8h ou 20h)</li></ul><ul>&mdash;&nbsp;지금 몇 시예요? &mdash;&nbsp;한 시 반이에요.<br>&mdash;&nbsp;<span style="font-style: italic">Quelle heure est-il (maintenant)&nbsp;? &mdash;&nbsp;Il est une heure et demie.</span></ul>
[sound:분.mp3]	분<p class="small">오 분 / 십 분 / 삼십 분 / &hellip;</p>	minutes<p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>Attention, 분 utilisé avec un cardinal coréen est un classificateur honorifique de “personnes”</li><br><li>오 분 (5 minutes)</li><li>십 분 (10 minutes)</li><li>십오 분 (15 minutes)</li><li>이십 분 (20 minutes)</li><li>삼십 분 (30 minutes)</li><li>사십오 분 (45 minutes)</li></ul>
[sound:월.mp3]	월<p class="small">일월 / 이월 / 삼월 / &hellip; / <span class="불규칙" style="font-weight: bold">유</span>월 / &hellip; / <span class="불규칙" style="font-weight: bold">시</span>월 / 십일월 / 십이월</p>	mois<p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>일월 (janvier, “premier mois” de l'année)</li><li>이월 (février, “deuxième mois” de l'année)</li></ul>
[sound:일.mp3]	일<p class="small">일일 / 오일 / 구일 / 십이일 / 이십이일 / 이십팔일 / &hellip;</p>	travail<hr/>jours (date)<p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>오 일 (le “cinquième jour” du mois)</li><li>이십 일 (le “vingtième jour” du mois)</li></ul>

[sound:일월.mp3]	일월 <span class="발음">[이뤌]</span>	janvier<p class="small">(litt. “1<sup>er</sup> mois” de l'année)</p>
[sound:이월.mp3]	이월	février<p class="small">(litt. “2<sup>ème</sup> mois” de l'année)</p>
[sound:삼월.mp3]	삼월 <span class="발음">[사뭘]</span>	mars<p class="small">(litt. “3<sup>ème</sup> mois” de l'année)</p>
[sound:사월.mp3]	사월	avril<p class="small">(litt. “4<sup>ème</sup> mois” de l'année)</p>
[sound:오월.mp3]	오월	mai<p class="small">(litt. “5<sup>ème</sup> mois” de l'année)</p>
[sound:유월.mp3]	<span class="불규칙">유</span>월 <span class="small">(*육월)</span>	juin<p class="small">(litt. “6<sup>ème</sup> mois” de l'année)</p>
[sound:칠월.mp3]	칠월 <span class="발음">[치뤌]</span>	juillet<p class="small">(litt. “7<sup>ème</sup> mois” de l'année)</p>
[sound:팔월.mp3]	팔월 <span class="발음">[파뤌]</span>	août<p class="small">(litt. “8<sup>ème</sup> mois” de l'année)</p>
[sound:구월.mp3]	구월	septembre<p class="small">(litt. “9<sup>ème</sup> mois” de l'année)</p>
[sound:시월.mp3]	<span class="불규칙">시</span>월 <span class="small">(*십월)</span>	octobre<p class="small">(litt. “10<sup>ème</sup> mois” de l'année)</p>
[sound:십일월.mp3]	십일월 <span class="발음">[시비뤌]</span>	novembre<p class="small">(litt. “11<sup>ème</sup> mois” de l'année)</p>
[sound:십이월.mp3]	십이월 <span class="발음">[시비월]</span>	décembre<p class="small">(litt. “12<sup>ème</sup> mois” de l'année)</p>

[sound:요일.mp3]	요일	jour <span class="small">(de la semaine)</span><ul>&mdash;&nbsp;오늘 무슨 요일이에요? &mdash;&nbsp;화요일이에요.<br>&mdash;&nbsp;<span style="font-style: italic">Aujourd'hui, quel jour (de la semaine) sommes-nous&nbsp;? &mdash;&nbsp;Nous sommes mardi.</span></ul>
[sound:월요일.mp3]	월요일 <span class="발음">[워료일]</span><p class="small light">일요일 &lt; <span style="font-weight: bold">월요일</span> &lt; 화요일 &lt; 수요일 &lt; 목요일 &lt; 금요일 &lt; 토요일</p>	lundi
[sound:화요일.mp3]	화요일<p class="small light">일요일 &lt; 월요일 &lt; <span style="font-weight: bold">화요일</span> &lt; 수요일 &lt; 목요일 &lt; 금요일 &lt; 토요일</p>	mardi
[sound:수요일.mp3]	수요일<p class="small light">일요일 &lt; 월요일 &lt; 화요일 &lt; <span style="font-weight: bold">수요일</span> &lt; 목요일 &lt; 금요일 &lt; 토요일</p>	mercredi
[sound:목요일.mp3]	목요일 <span class="발음">[모교일]</span><p class="small light">일요일 &lt; 월요일 &lt; 화요일 &lt; 수요일 &lt; <span style="font-weight: bold">목요일</span> &lt; 금요일 &lt; 토요일</p>	jeudi
[sound:금요일.mp3]	금요일 <span class="발음">[그묘일]</span><p class="small light">일요일 &lt; 월요일 &lt; 화요일 &lt; 수요일 &lt; 목요일 &lt; <span style="font-weight: bold">금요일</span> &lt; 토요일</p>	vendredi
[sound:토요일.mp3]	토요일<p class="small light">일요일 &lt; 월요일 &lt; 화요일 &lt; 수요일 &lt; 목요일 &lt; 금요일 &lt; <span style="font-weight: bold">토요일</span></p>	samedi
[sound:일요일.mp3]	일요일 <span class="발음">[이료일]</span><p class="small light"><span style="font-weight: bold">일요일</span> &lt; 월요일 &lt; 화요일 &lt; 수요일 &lt; 목요일 &lt; 금요일 &lt; 토요일</p>	dimanche
[sound:주말.mp3]	주말	week-end<p class="small">(주: semaine, 말: fin)</p>
[sound:주중.mp3]	주중	en semaine<p class="small">(주: semaine, 중: en cours)</p>

[sound:전.mp3]	전<p class="small">(&ne;&nbsp;후)</p>	avant, moins<p class="small">(&ne;&nbsp;après)</p>
[sound:오전.mp3]	오전 <span class="small">(&ne;&nbsp;오후)</span>	matin, matinée, a.m.<p class="small">(전: avant ; &ne;&nbsp;après-midi)</p><ul><li>demie-journée comprise entre minuit (자정) et midi (정오)</li><li>0-6h&nbsp;: aube (새벽)</li><li>6-12h&nbsp;: matin (아침)</li></ul>
[sound:오후.mp3]	오후 <span class="small">(&ne;&nbsp;오전)</span>	après-midi, p.m.<p class="small">(후: après ; &ne;&nbsp;matinée)</p><ul><li>demie-journée comprise entre midi (정오) et minuit (자정)</li><li>12-18h&nbsp;: après-midi (낮)</li><li>18-21h&nbsp;: soir (저녁)</li><li>21-24h&nbsp;: nuit (밤)</li></ul>
[sound:정오.mp3]	정오 <span class="small light">/ 자정</span><p class="small">(낮 열두 시)</p>	midi (pile) <span class="small light">/ minuit</span>
[sound:자정.mp3]	자정 <span class="small light">/ 정오</span><p class="small">(밤 열두 시)</p>	minuit (pile) <span class="small light">/ midi</span>

[sound:부터.mp3]	-부터	depuis, à partir de<ul class="small"><li>particule (조사) d'<span class="em">origine temporelle</span></li></ul>
[sound:까지.mp3]	-까지	jusque, jusqu'à, à<ul class="small"><li>particule (조사) de <span class="em">destination spatiale ou temporelle</span></li></ul>
[sound:부터_까지.mp3]	-부터 &rarr; -까지	de &hellip; &rarr; à &hellip;<ul class="small"><li>bornes <span class="em">temporelles</span> d'un événement</li></ul>
[sound:에.mp3]	-에	à<ul><li>particule (조사) de <span class="em">positionnement statique</span>&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>spacial (locatif)</li><li>temporel (moment précis)</li></ul></li><br><li>en tant que locatif, elle doit être associée à un verbe d'état (형용사) ou d'existence (있다/없다)</li><br><li>en tant qu'indicateur temporel, elle ne peut pas être utilisée avec 언제, 지금, 오늘, 어제, 내일, 모레, &hellip;</li></ul>

[sound:새벽.mp3]	새벽 <span class="small light">/ 오전</span><p class="small">자정부터 오전 여섯 시까지</p>	aube (0-6h) <span class="small light">/ a.m.</span>
[sound:아침.mp3]	아침 <span class="small light">/ 오전</span><p class="small">오전 여섯 시부터 정오까지</p>	matin (6-12h) <span class="small light">/ a.m.</span><hr/>petit déjeuner
[sound:오늘_아침.mp3]	오늘 아침	ce matin (6-12h)
[sound:점심.mp3]	<span class="small light">아침 /</span> 점심 <span class="small light">/ 저녁</span>	déjeuner<p class="small light">/ petit déjeuner / dîner</p>
[sound:낮.mp3]	낮 <span class="발음">[낟]</span> <span class="small light">/ 오후</span><p class="small">정오부터 오후 여섯 시까지</p>	après-midi (12-18h) <span class="small light">/ p.m.</span>
[sound:밤.mp3]	밤 <span class="small light">/ 오후</span><p class="small">오후 아홉 시부터 자정까지</p>	nuit (21-24h) <span class="small light">/ p.m.</span>

[sound:반.mp3]	반	moitié, demi
[sound:쯤.mp3]	-쯤	environ, vers, à peu près<ul>&mdash;&nbsp;찬호 씨는 보통 저녁 7시쯤에 집에 와요.<br>&mdash;&nbsp;<span style="font-style: italic">Chan-ho rentre habituellement vers 19 heures.</span><br><br>&mdash;&nbsp;걸어서 10분쯤 걸려요.<br>&mdash;&nbsp;<span style="font-style: italic">Il y en a pour une dizaine de minutes à pied.</span></ul>

# TTMIK: https://www.youtube.com/watch?v=QvyAulhELw0
[sound:뭐_무슨_어떤_어느.mp3]	뭐 <span class="small">&lt;&nbsp;무엇</span><hr/>무슨	&#10102; qu'est-ce que&nbsp;?<ul><li>pronom, suivi d'un verbe</li><li>angl. “what?”</li><br>&mdash;&nbsp;이름이 뭐예요? &mdash;&nbsp;국적이 뭐예요? &mdash;&nbsp;이게 뭐예요?</ul><hr/>&#10103; quel&nbsp;?<ul><li>parmi un choix ouvert et quasi illimité d'options</li><li>adjectif, suivi d'un nom</li><li>angl. “what?”</li><br>&mdash;&nbsp;무슨 맛 좋아해요? &mdash;&nbsp;오늘 무슨 요일이에요?</ul>
[sound:오늘_무슨_요일이에요.mp3]	<ul><li>오늘 무슨 요일이에요?</li><li>화요일이에요.</li></ul>	<ul><li>Aujourd'hui, quel jour (de la semaine) sommes-nous&nbsp;?</li><li>Nous sommes mardi.</li></ul>

[sound:영화가_언제_시작해요.mp3]	<ul>영화가 언제 시작해요?</ul>	<ul>Quand commence le film&nbsp;?</ul>
[sound:언제_시내에_가요.mp3]	<ul>언제 시내에 가요?</ul>	<ul>Quand vas-tu au centre-ville&nbsp;?</ul>

[sound:지금_한_시예요.mp3]	<ul>지금 한 시예요.</ul>	<ul>(Maintenant) il est une heure.</ul>
[sound:오후_다섯_시예요.mp3]	<ul>오후 다섯 시예요.</ul>	<ul>Il est 17h.</ul>
[sound:두_시_이십_분이에요.mp3]	<ul>두 시 이십 분이에요.</ul>	<ul>Il est deux heures vingt.</ul>
[sound:아침_여덟_시_사십_분이에요.mp3]	<ul>아침 여덟 시 사십 분이에요.</ul>	<ul>Il est 8h40 (du matin).</ul>
[sound:오전_열한_시_십오_분이에요.mp3]	<ul>오전 열한 시 십오 분이에요.</ul>	<ul>Il est 11h15 (du matin).</ul>
[sound:저녁_아홉_시_반이에요.mp3]	<ul>저녁 아홉 시 반이에요.</ul>	<ul>Il est 21h30.</ul>
[sound:네_시_반이에요.mp3]	<ul>네 시 반이에요.</ul><p class="small">(네 시 삼십 분이에요)</p>	<ul>Il est quatre heures et demie.</ul>
[sound:오후_여섯_시_십오분_전이에요.mp3]	<ul>오후 여섯 시 <span class="em">십오분 전</span>이에요.</ul><p class="small">(오후 다섯 시 사십오 분이에요)</p>	<ul>Il est six heures <span class="em">moins le quart</span> de l'après-midi.</ul>

[sound:오전에_경복궁을_구경해요.mp3]	<ul>오전에 경복궁을 구경해요.</ul>	<ul>Je visite le palais Gyeongbok dans la matinée.</ul>
[sound:저는_토요일에_친구를_만나요.mp3]	<ul>저는 토요일에 친구를 만나요.</ul>	<ul>Je rencontre un ami samedi.</ul>
[sound:저는_스물한_살이에요.mp3]	<ul>저는 스물한 살이에요.</ul>	<ul>J'ai 21 ans.</ul>

[sound:오늘_몇_월_며칠이에요.mp3]	<ul><li>오늘 몇 월 <span class="불규칙">며칠</span>이에요?</li><li><span class="불규칙">유</span>월 이십이 일이에요.</li></ul>	<ul><li>On est le combien aujourd'hui&nbsp;?</li><li>On est le 22 juin.</li></ul>
[sound:오늘은_십이월_구_일이에요.mp3]	<ul>오늘은 십이월 구 일이에요.</ul>	<ul>Aujourd'hui, c'est le 9 décembre.</ul>

[sound:받침-5.mp3]	받침<p class="fr small">(palatalisation)</p>	<ul>Quand les consonnes finales (종성) <span class="em">ㄷ ㅌ</span> rencontrent <span class="em">이</span> de la syllabe suivante, ces consonnes finales se prononcent ㅈ ㅊ.<br><br><table style="font-size: 100%"><tr><td width="25%">[ㄷ] &rarr; [ㅈ]</td><td class="light">굳이 [구<span style="font-weight: bold">지</span>]</td></tr><tr><td>[ㅌ] &rarr; [ㅊ]</td><td class="light">같이 [가<span style="font-weight: bold">치</span>] / 붙이다 [부<span style="font-weight: bold">치</span>다]</td></tr></table></ul>

[sound:함께_같이.mp3]	함께<hr/>같이 <span class="발음">[가치]</span>	ensemble
[sound:글쎄요.mp3]	글쎄요	euh &hellip; je ne sais pas trop &hellip;
[sound:몇.mp3]	몇 <span class="발음">[멷]</span>	le / la combientième&nbsp;?<ul><li>몇 시예요?<br><span style="font-style: italic">Quelle heure est-il&nbsp;?</span></li><br><li>몇 월 며칠이에요?<br><span style="font-style: italic">Quel jour / quelle date est-ce&nbsp;?</span><br><br>Attention, <span style="font-weight: bold">몇 월</span> sont deux mots distincts séparés par un espace&nbsp;; aussi y a-t-il liaison <span class="light">[멷 월 &rarr; <span style="font-weight: bold">며 둴</span>]</span> et non resyllabification <span class="light">[며춸]</span>. <span style="font-weight: bold">며칠</span> est quant à lui le résultat d'une contraction (*몇 일).</li><br><li>시, 월 et 일 sont des classificateurs (수분류사) utilisés avec des <span class="em">ordinaux sino-coréens</span>. On pourrait donc traduire littéralement&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>&mdash;&nbsp;몇 시예요? &mdash;&nbsp;오후 다섯 시예요.<br><span style="font-style: italic">&mdash;&nbsp;La combientième heure (du jour) est-ce&nbsp;? &mdash;&nbsp;C'est la cinquième heure de l'après-midi.</span></li><br><li>&mdash;&nbsp;몇 월 며칠이에요? &mdash;&nbsp;오 월 이십팔 일이에요.<br><span style="font-style: italic">&mdash;&nbsp;Le combientième jour (du mois) du combientième mois (de l'année) est-ce&nbsp;? &mdash;&nbsp;C'est le vingt-huitième jour du cinquième mois (de l'année).</span></li></ul></li></ul>
[sound:보통.mp3]	보통	en général, d'habitude
[sound:생일_생신.mp3]	생일	anniversaire<ul>&mdash;&nbsp;민정 씨는 생일이 몇 월 며칠이에요? &mdash;&nbsp;제 생일은 6월 12일이에요.<br>&mdash;&nbsp;<span style="font-style: italic">Min-jeong, quel jour est ton anniversaire&nbsp;? &mdash;&nbsp;Mon anniversaire est le 12 juin.</span></ul>
[sound:선물.mp3]	선물	cadeau
[sound:생일선물.mp3]	생일선물	cadeau d'anniversaire
[sound:이따가.mp3]	이따가	tout à l'heure, plus tard
[sound:잔치_파티.mp3]	잔치<hr/>파티	fête<ul><li>les coréens utilisent le terme emprunté à l'anglais (“party”) pour désigner la fête dans la vie courante</li><li>mais ils utilisent le terme coréen pour désigner les fêtes d'anniversaire (생일)</li></ul>
[sound:생일잔치.mp3]	생일잔치	fête d'anniversaire
[sound:생일_축하해요.mp3]	생일 축하해요	bon / joyeux anniversaire<p class="small">(해요체, registre informel poli)</p><ul><li>Chanson&nbsp;:<br><br>생일 축하합니다<br>생일 축하합니다<br>사랑하는 우리 친구 / 사랑하는 (nom) 씨<br>생일 축하합니다</li></ul>

[sound:저는_한_시부터_세_시까지_한국어를_배워요.mp3]	<ul>저는 한 시부터 세 시까지 한국어를 배워요.</ul>	<ul>J'apprends le coréen de 1h à 3h.</ul>
[sound:저는_두_시부터_수업이_있어요.mp3]	<ul>저는 두 시부터 수업이 있어요.</ul>	<ul>J'ai un cours à partir de 2 heures.</ul>


[sound:쌀.mp3]	쌀 <span class="small light">/ 밥</span>	riz (cru) <span class="small light">/ riz cuit, repas</span>
[sound:밥_진지.mp3]	밥 <span class="small light">/ 식사 / 쌀</span>	riz (cuit) <span class="small light">/ repas / riz cru</span><hr/>repas


[sound:고마워요.mp3]	고마<span class="불규칙">워</span>요<p class="small">(*고마<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">고맙다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">고맙습니다</div><div class="해요체">고마워요</div></div></div></div>	il remercie, merci<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">coréen natif</span>&nbsp;; la forme sino-coréenne 감사해요 est plus formelle</li></ul>
