tags: darakwon 17-과

[sound:면접.mp3]	면접(시험)<p class="small light">/ 면접관 / 면접장</p>	entretien (d'embauche)<p class="small light">/ recruteur / salle d'entretien</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;면접(시험)을 보다<br>&mdash;&nbsp;<span style="font-style: italic">passer un entretien d'embauche</span></li></ul>
[sound:늦어요.mp3]	늦어요 <span class="발음">[느저요]</span><hr/>늦으세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">늦다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">늦으십니다</div>늦습니다</div><div class="해요체"><div class="높임">늦으세요</div>늦어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">늦으셨습니다</div>늦었습니다</div><div class="해요체"><div class="높임">늦으셨어요</div>늦었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">늦으실 겁니다</div>늦을 겁니다</div><div class="해요체"><div class="높임">늦으실 거예요</div>늦을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">늦으시고</div>늦고</div><div class="지만"><div class="높임">늦으시지만</div>늦지만</div><div class="는데"><div class="높임">늦으신데</div>늦은데</div><div class="면"><div class="높임">늦으시면</div>늦으면</div><div class="서"><div class="높임">늦으셔서</div>늦어서</div></div></div>	il est en retard<p class="small">(해요체, registre informel poli)</p>
[sound:늦었어요.mp3]	늦었어요 <span class="발음">[느저써요]</span><hr/>늦으셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">늦다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">늦으십니다</div>늦습니다</div><div class="해요체"><div class="높임">늦으세요</div>늦어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">늦으셨습니다</div>늦었습니다</div><div class="해요체"><div class="높임">늦으셨어요</div>늦었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">늦으실 겁니다</div>늦을 겁니다</div><div class="해요체"><div class="높임">늦으실 거예요</div>늦을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">늦으시고</div>늦고</div><div class="지만"><div class="높임">늦으시지만</div>늦지만</div><div class="는데"><div class="높임">늦으신데</div>늦은데</div><div class="면"><div class="높임">늦으시면</div>늦으면</div><div class="서"><div class="높임">늦으셔서</div>늦어서</div></div></div>	il était en retard<p class="small">(해요체, registre informel poli)</p>
[sound:늦을_거예요.mp3]	늦을 거예요 <span class="발음">[느즐]</span><hr/>늦으실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">늦다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">늦으십니다</div>늦습니다</div><div class="해요체"><div class="높임">늦으세요</div>늦어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">늦으셨습니다</div>늦었습니다</div><div class="해요체"><div class="높임">늦으셨어요</div>늦었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">늦으실 겁니다</div>늦을 겁니다</div><div class="해요체"><div class="높임">늦으실 거예요</div>늦을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">늦으시고</div>늦고</div><div class="지만"><div class="높임">늦으시지만</div>늦지만</div><div class="는데"><div class="높임">늦으신데</div>늦은데</div><div class="면"><div class="높임">늦으시면</div>늦으면</div><div class="서"><div class="높임">늦으셔서</div>늦어서</div></div></div>	il sera en retard<p class="small">(해요체, registre informel poli)</p>


[sound:전에.mp3]	-전에<p class="small">(&ne;&nbsp;-후에)</p>	plus tôt, avant, il y a<p class="small">(&ne;&nbsp;plus tard, après, dans)</p><ul>&mdash;&nbsp;하루 전에<br>&mdash;&nbsp;<span style="font-style: italic">un jour plus tôt / un jour avant / il y a un jour</span><br><br>&mdash;&nbsp;일주일 전에<br>&mdash;&nbsp;<span style="font-style: italic">une semaine plus tôt / une semaine avant / il y a une semaine</span><br><br>&mdash;&nbsp;한 달 전에<br>&mdash;&nbsp;<span style="font-style: italic">un mois plus tôt / un mois avant / il y a un mois</span><br><br>&mdash;&nbsp;찬호 씨는 이틀 전에 출발했습니다.<br>&mdash;&nbsp;<span style="font-style: italic">Chan-ho est parti il y a 2 jours.</span></ul>
[sound:후에.mp3]	-후에<p class="small">(&ne;&nbsp;-전에)</p>	plus tard, après, dans<p class="small">(&ne;&nbsp;plus tôt, avant, il y a)</p><ul>&mdash;&nbsp;하루 후에<br>&mdash;&nbsp;<span style="font-style: italic">un jour plus tard / un jour après / dans un jour</span><br><br>&mdash;&nbsp;일주일 후에<br>&mdash;&nbsp;<span style="font-style: italic">une semaine plus tard / une semaine après / dans une semaine</span><br><br>&mdash;&nbsp;한 달 후에<br>&mdash;&nbsp;<span style="font-style: italic">un mois plus tard / un mois après / dans un mois</span><br><br>&mdash;&nbsp;택시는 20분 후에 도착했습니다.<br>&mdash;&nbsp;<span style="font-style: italic">Le taxi est arrivé 20 minutes après.</span></ul>
[sound:만_밖에.mp3]	-만 / -밖에	seulement / ne &hellip; que<ul><li>s'adjoint aux noms, particules, adverbes, ou encore aux terminaisons verbales pour marquer une limite</li><br><li><span class="em" style="font-size: 143%">-만</span> exprime la <span class="em">restriction</span>&nbsp;; il s'emploie tjs dans des phrases affirmatives<br><br>&mdash;&nbsp;물 한 잔만 주세요.<br>&mdash;&nbsp;<span style="font-style: italic">Donnez-moi juste un verre d'eau, svp.</span><br><br>&mdash;&nbsp;할아버지하고 할머니께서만 라로셸에 계세요.<br>&mdash;&nbsp;<span style="font-style: italic">Il n'y a que mon grand-père et ma grand-mère à La Rochelle.</span><br><br>&mdash;&nbsp;남동생만 있어요?<br>&mdash;&nbsp;<span style="font-style: italic">As-tu seulement un petit frère&nbsp;?</span><br><br>&mdash;&nbsp;나는 너만 사랑해.<br>&mdash;&nbsp;<span style="font-style: italic">Je n'aime que toi.</span><br><br>&mdash;&nbsp;나에게만 말해 주세요.<br>&mdash;&nbsp;<span style="font-style: italic">Dites-le seulement à moi.</span><br><br>&mdash;&nbsp;듣고만 있었어요.<br>&mdash;&nbsp;<span style="font-style: italic">Il était seulement en train d'écouter.</span></li><br><li><span class="em" style="font-size: 143%">-밖에</span> exprime la <span class="em">restriction exclusive</span>&nbsp;; il s'emploie tjs dans des phrases négatives (안, 못, -지&nbsp;않다, 없다, &hellip;)<br><br>&mdash;&nbsp;나는 한국말밖에 못해요.<br>&mdash;&nbsp;<span style="font-style: italic">Je ne peux parler que le coréen.</span><br><br>&mdash;&nbsp;20분밖에 안 걸렸어요.<br>&mdash;&nbsp;<span style="font-style: italic">Cela n'a pris que 20 minutes.</span><br><br>&mdash;&nbsp;이 목도리가 만 원밖에 안 해요.<br>&mdash;&nbsp;<span style="font-style: italic">Cette écharpe ne coûte que 10,000 wons.</span><br><br>&mdash;&nbsp;제레미밖에 안 왔어요.<br>&mdash;&nbsp;<span style="font-style: italic">Seul Jérémie est venu.</span></li></ul>

[sound:세계.mp3]	세계	monde<p class="small">(angl. “world”)</p>
[sound:유럽.mp3]	유럽<p class="small light">/ 아시아 / 아프리카 / 미주 / 남미</p>	Europe<p class="small light">/ Asie / Afrique / Amérique / Amérique du sud</p>
[sound:아시아.mp3]	아시아<p class="small light">/ 유럽 / 아프리카 / 미주 / 남미</p>	Asie<p class="small light">/ Europe / Afrique / Amérique / Amérique du sud</p>
[sound:아프리카.mp3]	아프리카<p class="small light">/ 유럽 / 아시아 / 미주 / 남미</p>	Afrique<p class="small light">/ Europe / Asie / Amérique / Amérique du sud</p>
[sound:남미.mp3]	남미<p class="small light">/ 유럽 / 아시아 / 미주 / 아프리카</p>	Amérique du sud<p class="small light">/ Europe / Asie / Amérique / Afrique</p>
[sound:미주.mp3]	미주<p class="small light">/ 유럽 / 아시아 / 남미 / 아프리카</p>	Amérique (continent)<p class="small light">/ Europe / Asie / Amérique du sud / Afrique</p>

[sound:유치원.mp3]	유치원 <span class="small">(1~3년)</span><p class="small light"><span style="font-weight: bold">유치원</span> &lt; 초등학교 &lt; 중학교 &lt; 고등학교 &lt; 대학교</p>	école maternelle<p class="small">(한국의 학제: système scolaire coréen ; angl. “kindergarten”)</p>
[sound:중학교.mp3]	중학교 <span class="small">(3년)</span> <span class="small light">/ 중학생</span><p class="small light">유치원 &lt; 초등학교 &lt; <span style="font-weight: bold">중학교</span> &lt; 고등학교 &lt; 대학교</p>	collège <span class="small light">/ collégien</span><p class="small">(한국의 학제: système scolaire coréen ; angl. “middle school”)</p>
[sound:고등학교.mp3]	고등학교 <span class="small">(3년)</span><p class="small light">/ 고등학생</p><p class="small light">유치원 &lt; 초등학교 &lt; 중학교 &lt; <span style="font-weight: bold">고등학교</span> &lt; 대학교</p>	lycée <span class="small light">/ lycéen</span><p class="small">(한국의 학제: système scolaire coréen ; angl. “high school”)</p>
[sound:고등학생.mp3]	고등학생 <span class="발음">[고등학쌩]</span><p class="small light">/ 고등학교</p>	lycéen <span class="small light">/ lycée</span>
[sound:중학생.mp3]	중학생 <span class="발음">[중학쌩]</span> <span class="small light">/ 중학교</span>	collégien <span class="small light">/ collège</span>

[sound:위치.mp3]	위치 <span class="small light">/ 장소</span>	endroit <span class="small light">/ lieu</span><p class="small">(angl. “location” <span class="small light">/ “place”</span>)</p><ul><li><span class="em">endroit</span>&nbsp;: pour marquer l'appartenance à un ensemble plus grand ou à un cadre défini, délimité&nbsp;; lieu déterminé (c-à-d définissant une position particulière dans l'espace physique)</li><br><span class="light"><li>lieu&nbsp;: pour parler de l'usage que l'on fait d'un espace, ou d'un événement qui s'y déroule</li><li>place&nbsp;: espace destiné à être occupé, ou étendue de cet espace</li><li>emplacement&nbsp;: lieu occupé par quelqu'un, ou qui lui est réservé</li></span></ul>
[sound:장소.mp3]	장소 <span class="small light">/ 위치</span>	lieu <span class="small light">/ endroit</span><p class="small">(angl. “place” <span class="small light">/ “location”</span>)</p><ul><li><span class="em">lieu</span>&nbsp;: pour parler de l'usage que l'on fait d'un espace, ou d'un événement qui s'y déroule</li><br><span class="light"><li>endroit&nbsp;: pour marquer l'appartenance à un ensemble plus grand ou à un cadre défini, délimité&nbsp;; lieu déterminé (c-à-d définissant une position particulière dans l'espace physique)</li><li>place&nbsp;: espace destiné à être occupé, ou étendue de cet espace</li><li>emplacement&nbsp;: lieu occupé par quelqu'un, ou qui lui est réservé</li></span></ul>


[sound:고_있다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">-고 있다 <span class="발음">[읻<span style="font-weight: bold">따</span>]</span></div></div></div><hr/><div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">&#x219f; -고 계시다</div></div></div>	être en train de<p class="small">(faire qq chose)</p><p class="small" style="font-weight: bold">&mdash;&nbsp;progressif&nbsp;&mdash;</p><ul><li>le <span class="em">progressif</span> exprime l'état d'une action en cours ou d'une action qui dure dans le temps</li><br><li>il s'emploie avec des verbes d'action uniquement</li><br><li>il se place après la voyelle ou la consonne du radical verbal (동사 어간)</li><br>&mdash;&nbsp;저는 한국어를 배우고 있습니다.<br>&mdash;&nbsp;<span style="font-style: italic">Je suis en train d'apprendre le coréen.</span><br><br>&mdash;&nbsp;니콜라는 지금 영화를 보고 있습니다.<br>&mdash;&nbsp;<span style="font-style: italic">Nicolas est maintenant en train de regarder un film.</span><br><br>&mdash;&nbsp;잠실대학교 대학원에 다니고 있습니다.<br>&mdash;&nbsp;<span style="font-style: italic">Je suis étudiant en master à l'université de Jamsil.</span><br><br>&mdash;&nbsp;뭘 하고 있어요? &mdash;&nbsp;공부를 하고 있어요.<br>&mdash;&nbsp;<span style="font-style: italic">Qu'est-ce que tu es en train de faire&nbsp;? &mdash;&nbsp;Je suis en train d'étudier.</span><br><br>&mdash;&nbsp;저기 모자를 쓰고 있는 아이를 보세요.<br>&mdash;&nbsp;<span style="font-style: italic">Regardez, là-bas, l'enfant qui porte un chapeau.</span><br><br>&mdash;&nbsp;할머니께서는 TV를 보고 계세요.<br>&mdash;&nbsp;<span style="font-style: italic">Ma grand-mère est en train de regarder la télé.</span></ul>

[sound:는_은_던_을.mp3]	-는 / -은/-던 / -을<div class="활용"><div class="현재"><table><tr><td width="10%">[현재]</td><td width="25%">V-는</td><td width="25%">A-(으)ㄴ</td><td width="20%">하는/있는/없는</td><td width="20%">-인/아닌</td></tr></table></div><div class="과거"><table><tr><td width="10%">[과거]</td><td width="25%">V-(으)ㄴ / V-던</td><td width="25%">A-던</td><td width="20%">한/있던/없던</td><td width="20%">-이던/아니던</td></tr></table></div><div class="미래"><table><tr><td width="10%">[미래]</td><td width="25%">V-(으)ㄹ</td><td width="25%">A-(으)ㄹ</td><td width="20%">할/있을/없을</td><td width="20%">-일/아닐</td></tr></table></div></div>	proposition relative<p class="small">(détermination verbale)</p><ul><li>는/은/던/을 s'ajoutent au radical du verbe d'action (동사) ou d'état (형용사) qui se place en position déterminative devant un nom pour préciser une action ou un fait relatifs à ce nom</li><br>&mdash;&nbsp;서울에 사는 마리<br>&mdash;&nbsp;<span style="font-style: italic">Marie qui habite Séoul</span><br><br>&mdash;&nbsp;마리가 읽는 책<br>&mdash;&nbsp;<span style="font-style: italic">le livre que lit Marie</span><br><br>&mdash;&nbsp;마리가 운전하는 차<br>&mdash;&nbsp;<span style="font-style: italic">la voiture que conduit Marie</span><br><br>&mdash;&nbsp;작은 가방<br>&mdash;&nbsp;<span style="font-style: italic">le petit sac (litt. “le sac qui est petit”)</span><br><br>&mdash;&nbsp;친절한 모르간<br>&mdash;&nbsp;<span style="font-style: italic">la gentille Morgane (litt. “Morgane qui est gentille”)</span><br><br><li>verbes / adjectifs irréguliers en “ㄷ” ou “ㄹ”<ul style="font-size: 100%; list-style-type: circle"><li>ㄷ devient ㄹ devant voyelle (ㄷ+은 &rarr; ㄹ은 / ㄷ+을 &rarr; ㄹ을)</li><li>ㄹ disparaît devant ㄴ (ㄹ+는 &rarr; 는)</li></ul></li><br><li><span class="em" style="font-size: 143%">-는</span> s'utilise pour une action qui est en train de se produire</li><br>&mdash;&nbsp;이 회사는 유럽에 출장갈 수 있는 직원을 찾고 있습니다.<br>&mdash;&nbsp;<span style="font-style: italic">Cette entreprise est en train de chercher un employé pouvant se déplacer en Europe.</span><br><br>&mdash;&nbsp;저는 학교에 가는 줄리엥을 만났습니다.<br>&mdash;&nbsp;<span style="font-style: italic">J'ai rencontré Julien sur le chemin de l'école.</span><br><br>&mdash;&nbsp;저기에 있는 사람이 이자벨입니다.<br>&mdash;&nbsp;<span style="font-style: italic">La personne qui est là-bas est Isabelle.</span><br><br>&mdash;&nbsp;삼성동에 가는 버스가 많아요.<br>&mdash;&nbsp;<span style="font-style: italic">Il y a beaucoup de bus qui vont à Samseong-dong.</span><br><br>&mdash;&nbsp;공원에서 자전거를 타는 학생이 많아요.<br>&mdash;&nbsp;<span style="font-style: italic">De nombreux étudiants font du vélo dans le parc.</span><br><br>&mdash;&nbsp;한국어를 잘하는 영국 친구가 서울에 와요.<br>&mdash;&nbsp;<span style="font-style: italic">Un ami anglais qui parle bien coréen vient à Séoul.</span><br><br><li><span class="em" style="font-size: 143%">-(으)ㄴ</span> désigne un fait déjà accompli avec un verbe d'action (동사) ou un état au présent avec les verbes d'état (형용사)&nbsp;; on utilise <span class="em">-은 après une consonne</span> et <span class="em">-ㄴ après une voyelle</span></li><br>&mdash;&nbsp;어제 본 영화가 한국 영화입니다.<br>&mdash;&nbsp;<span style="font-style: italic">Le film que j'ai vu hier est un film coréen.</span><br><br>&mdash;&nbsp;피에르가 받은 선물이 컴퓨터예요.<br>&mdash;&nbsp;<span style="font-style: italic">Le cadeau que Pierre a reçu est un ordinateur.</span><br><br>&mdash;&nbsp;어려운 일도 많아요.<br>&mdash;&nbsp;<span style="font-style: italic">Il y a aussi beaucoup de travail difficile.</span><br><br>&mdash;&nbsp;교실에 예쁜 꽃이 있습니다.<br>&mdash;&nbsp;<span style="font-style: italic">Il y a de jolies fleurs dans la classe.</span><br><br>&mdash;&nbsp;어제 매운 비빔밥을 먹었어요.<br>&mdash;&nbsp;<span style="font-style: italic">Hier j'ai mangé un bibimbap épicé.</span><br><br><li><span class="em" style="font-size: 143%">-던</span> indique un fait exprimé à l'imparfait du français&nbsp;: souvenir d'une action répétée, d'un état ou d'une situation achevés</li><br>&mdash;&nbsp;중국에서 만나던 친구는 미국 사람입니다.<br>&mdash;&nbsp;<span style="font-style: italic">L'ami que je rencontrais en Chine est américain.</span><br><br>&mdash;&nbsp;한국에서 살던 레오가 미국에 있습니다.<br>&mdash;&nbsp;<span style="font-style: italic">Leo, qui vivait en Corée, est aux États-Unis.</span><br><br><li><span class="em" style="font-size: 143%">-(으)ㄹ</span> désigne un fait non accompli avec un verbe d'action (동사) ou un état au future avec les verbes d'état (형용사)&nbsp;; on utilise <span class="em">-을 après une consonne</span> et <span class="em">-ㄹ après une voyelle</span></li><br>&mdash;&nbsp;내일 만날 친구는 영국 사람입니다.<br>&mdash;&nbsp;<span style="font-style: italic">L'ami que je rencontrerai demain est anglais.</span></ul>


[sound:관심.mp3]	관심	intérêt, inclination<p class="small">(pour un sujet ou une activité)</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;(N-에) 관심이 있다<br>&mdash;&nbsp;<span style="font-style: italic">s'intéresser (à)</span><br><br>&mdash;&nbsp;(N-에) 관심이 없다<br>&mdash;&nbsp;<span style="font-style: italic">ne pas s'intéresser (à)</span><br><br>&mdash;&nbsp;(N-에) 관심이 많다<br>&mdash;&nbsp;<span style="font-style: italic">s'intéresser beaucoup (à)</span><br><br><br>&mdash;&nbsp;모르간은 서예에 관심이 많습니다.<br>&mdash;&nbsp;<span style="font-style: italic">Morgane s'intéresse beaucoup à la calligraphie.</span><br><br>&mdash;&nbsp;뭐에 관심이 많아요? &mdash;&nbsp;외국어요.<br>&mdash;&nbsp;<span style="font-style: italic">Qu'est-ce qui vous intéresse&nbsp;?</span> &mdash;&nbsp;<span style="font-style: italic">Les langues étrangères.</span></li></ul>
[sound:관심이_있다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%"><span class="small">(N-에)</span> 관심이 있다 / 없다</div></div></div>	(ne pas) s'intéresser à<p class="small">(litt. “avoir de l'intérêt”)</p>
[sound:관심이_많다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%"><span class="small">(N-에)</span> 관심이 많다</div></div></div>	s'intéresser beaucoup à<p class="small">(litt. “avoir beaucoup d'intérêt pour”)</p>

[sound:연락.mp3]	연락 <span class="발음">[열락]</span>	contact, communication
[sound:연락하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">연락하다 <span class="발음">[열라<span style="font-weight: bold">카</span>다]</span></div><div class="불규칙">(동사)</div></div></div>	contacter, communiquer<ul><li>verbe régulier</li></ul>
[sound:연락합니다.mp3]	연락합니다<p class="발음">[열라<span style="font-weight: bold">캄</span>니다]</p><hr/>연락하십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">연락하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">연락하십니다</div>연락합니다</div><div class="해요체"><div class="높임">연락하세요</div>연락해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">연락하셨습니다</div>연락했습니다</div><div class="해요체"><div class="높임">연락하셨어요</div>연락했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">연락하실 겁니다</div>연락할 겁니다</div><div class="해요체"><div class="높임">연락하실 거예요</div>연락할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">연락하시고</div>연락하고</div><div class="지만"><div class="높임">연락하시지만</div>연락하지만</div><div class="는데"><div class="높임">연락하시는데</div>연락하는데</div><div class="면"><div class="높임">연락하시면</div>연락하면</div><div class="서"><div class="높임">연락하셔서</div>연락해서</div></div></div>	il contacte, communique<p class="small">(하십시오체, registre formel poli)</p>
[sound:연락해요.mp3]	연락해요<p class="발음">[열라<span style="font-weight: bold">캐</span>요]</p><hr/>연락하세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">연락하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">연락하십니다</div>연락합니다</div><div class="해요체"><div class="높임">연락하세요</div>연락해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">연락하셨습니다</div>연락했습니다</div><div class="해요체"><div class="높임">연락하셨어요</div>연락했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">연락하실 겁니다</div>연락할 겁니다</div><div class="해요체"><div class="높임">연락하실 거예요</div>연락할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">연락하시고</div>연락하고</div><div class="지만"><div class="높임">연락하시지만</div>연락하지만</div><div class="는데"><div class="높임">연락하시는데</div>연락하는데</div><div class="면"><div class="높임">연락하시면</div>연락하면</div><div class="서"><div class="높임">연락하셔서</div>연락해서</div></div></div>	il contacte, communique<p class="small">(해요체, registre informel poli)</p>
[sound:연락했어요.mp3]	연락했어요<p class="발음">[열라<span style="font-weight: bold">캐</span>써요]</p><hr/>연락하셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">연락하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">연락하십니다</div>연락합니다</div><div class="해요체"><div class="높임">연락하세요</div>연락해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">연락하셨습니다</div>연락했습니다</div><div class="해요체"><div class="높임">연락하셨어요</div>연락했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">연락하실 겁니다</div>연락할 겁니다</div><div class="해요체"><div class="높임">연락하실 거예요</div>연락할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">연락하시고</div>연락하고</div><div class="지만"><div class="높임">연락하시지만</div>연락하지만</div><div class="는데"><div class="높임">연락하시는데</div>연락하는데</div><div class="면"><div class="높임">연락하시면</div>연락하면</div><div class="서"><div class="높임">연락하셔서</div>연락해서</div></div></div>	il contactait, communiquait<p class="small">(해요체, registre informel poli)</p>
[sound:연락할_거예요.mp3]	연락할 거예요<p class="발음">[열라<span style="font-weight: bold">칼</span>]</p><hr/>연락하실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">연락하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">연락하십니다</div>연락합니다</div><div class="해요체"><div class="높임">연락하세요</div>연락해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">연락하셨습니다</div>연락했습니다</div><div class="해요체"><div class="높임">연락하셨어요</div>연락했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">연락하실 겁니다</div>연락할 겁니다</div><div class="해요체"><div class="높임">연락하실 거예요</div>연락할 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">연락하시고</div>연락하고</div><div class="지만"><div class="높임">연락하시지만</div>연락하지만</div><div class="는데"><div class="높임">연락하시는데</div>연락하는데</div><div class="면"><div class="높임">연락하시면</div>연락하면</div><div class="서"><div class="높임">연락하셔서</div>연락해서</div></div></div>	il contactera, communiquera<p class="small">(해요체, registre informel poli)</p>

[sound:전공하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">전공하다</div><div class="불규칙">(동사)</div></div></div>	se spécialiser<ul><li>verbe régulier</li></ul>
