tags: darakwon 10-과

[sound:경제학.mp3]	경제학	sciences économiques, économie
[sound:이에요_예요.mp3]	-이에요 / -예요<div class="활용"><div class="bloc"><div class="부정사">이다</div></div><div class="bloc"><div class="현재">-이에요 / -예요</div><div class="과거">-이었어요 / -였어요</div></div></div>	il est<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li><li>on utilise <span class="em">-이에요 après une consonne</span> et <span class="em">-예요 après une voyelle</span></li></ul>
[sound:이었어요_였어요.mp3]	-이었어요 / -였어요<div class="활용"><div class="bloc"><div class="부정사">이다</div></div><div class="bloc"><div class="현재">-이에요 / -예요</div><div class="과거">-이었어요 / -였어요</div></div></div>	il était<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li><li>on utilise <span class="em">-이었어요 après une consonne</span> et <span class="em">-였어요 après une voyelle</span></li></ul>

[sound:아니에요.mp3]	아니에요<div class="활용"><div class="bloc"><div class="부정사">아니다</div></div><div class="bloc"><div class="현재">아니에요</div><div class="과거">아니었어요</div></div></div>	il n'est pas<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li></ul>
[sound:아니었어요.mp3]	아니었어요<div class="활용"><div class="bloc"><div class="부정사">아니다</div></div><div class="bloc"><div class="현재">아니에요</div><div class="과거">아니었어요</div></div></div>	il n'était pas<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li></ul>

[sound:있어요.mp3]	있어요 <span class="발음">[이써요]</span><div class="활용"><div class="bloc"><div class="부정사">있다</div></div><div class="bloc"><div class="현재">있어요</div><div class="과거">있었어요</div></div></div>	il est / il a<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>
[sound:있었어요.mp3]	있었어요 <span class="발음">[이써써요]</span><div class="활용"><div class="bloc"><div class="부정사">있다</div></div><div class="bloc"><div class="현재">있어요</div><div class="과거">있었어요</div></div></div>	il était / il avait<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>

[sound:없어요.mp3]	없어요 <span class="발음">[업써요]</span><div class="활용"><div class="bloc"><div class="부정사">없다</div></div><div class="bloc"><div class="현재">없어요</div><div class="과거">없었어요</div></div></div>	il n'est pas / il n'a pas<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>
[sound:없었어요.mp3]	없었어요 <span class="발음">[업써써요]</span><div class="활용"><div class="bloc"><div class="부정사">없다</div></div><div class="bloc"><div class="현재">없어요</div><div class="과거">없었어요</div></div></div>	il n'était pas / il n'avait pas<p class="small">(해요체, registre informel poli)</p><ul><li>verbe d'existence / de possession</li></ul>

[sound:해요.mp3]	해요<div class="활용"><div class="bloc"><div class="부정사">하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">해요</div><div class="과거">했어요</div><div class="명령법">하세요</div></div></div>	il fait<p class="small">(해요체, registre informel poli)</p>
[sound:했어요.mp3]	했어요 <span class="발음">[해써요]</span><div class="활용"><div class="bloc"><div class="부정사">하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">해요</div><div class="과거">했어요</div><div class="명령법">하세요</div></div></div>	il faisait<p class="small">(해요체, registre informel poli)</p>

[sound:가요.mp3]	<span class="불규칙">가</span>요<p class="small">(*<span class="불규칙">가아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">가다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">가요</div><div class="과거">갔어요</div><div class="명령법">가세요</div></div></div>	il va<p class="small">(해요체, registre informel poli)</p>
[sound:갔어요.mp3]	<span class="불규칙">갔</span>어요 <span class="발음">[가써요]</span><p class="small">(*<span class="불규칙">가았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">가다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">가요</div><div class="과거">갔어요</div><div class="명령법">가세요</div></div></div>	il allait<p class="small">(해요체, registre informel poli)</p>

[sound:감사합니다.mp3]	감사합니다<p class="발음">[감사<span style="font-weight: bold">함</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">감사하다</div><div class="불규칙">(동사 / 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">감사합니다</div><div class="해요체">감사해요</div></div><div class="과거">감사했어요</div></div></div>	il remercie, merci<p class="small">(하십시오체, registre formel poli)</p><ul><li><span style="font-weight: bold">sino-coréen</span>&nbsp;; la forme coréenne native 고맙습니다 est moins formelle</li></ul>
[sound:감사해요.mp3]	감사해요<div class="활용"><div class="bloc"><div class="부정사">감사하다</div><div class="불규칙">(동사 / 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">감사합니다</div><div class="해요체">감사해요</div></div><div class="과거">감사했어요</div></div></div>	il remercie, merci<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">sino-coréen</span>&nbsp;; la forme coréenne native 고마워요 est moins formelle</li></ul>
[sound:감사했어요.mp3]	감사했어요<div class="활용"><div class="bloc"><div class="부정사">감사하다</div><div class="불규칙">(동사 / 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">감사합니다</div><div class="해요체">감사해요</div></div><div class="과거">감사했어요</div></div></div>	il remerciait / il était reconnaissant<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">sino-coréen</span>&nbsp;; la forme coréenne native 고마웠어요 est moins formelle</li></ul>

[sound:걷다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">걷다 <span class="발음">[걷<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div></div>	marcher<ul><li>verbe irrégulier en “ㄷ”&nbsp;: ㄷ devient ㄹ devant voyelle</li></ul>
[sound:걸어요.mp3]	<span class="불규칙">걸</span>어요 <span class="발음">[거러요]</span><div class="활용"><div class="bloc"><div class="부정사">걷다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">걸어요</div><div class="과거">걸었어요</div><div class="명령법">걸으세요</div></div></div>	il marche<p class="small">(해요체, registre informel poli)</p>
[sound:걸었어요.mp3]	<span class="불규칙">걸</span>었어요 <span class="발음">[거러써요]</span><div class="활용"><div class="bloc"><div class="부정사">걷다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">걸어요</div><div class="과거">걸었어요</div><div class="명령법">걸으세요</div></div></div>	il marchait<p class="small">(해요체, registre informel poli)</p>

[sound:걸리다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">걸리다</div><div class="불규칙">(동사)</div></div></div>	prendre <span class="small">(le temps)</span><ul><li>verbe régulier</li></ul>
[sound:얼마나_걸려요.mp3]	얼마나 걸려요?<div class="활용"><div class="bloc"><div class="부정사">걸리다</div></div><div class="bloc"><div class="현재">걸려요</div><div class="과거">걸렸어요</div></div></div>	combien de temps faut-il/cela prend-il&nbsp;?
[sound:걸려요.mp3]	걸<span class="불규칙">려</span>요<p class="small">(*걸<span class="불규칙">리어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">걸리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">걸려요</div><div class="과거">걸렸어요</div></div></div>	il prend <span class="small">(le temps)</span><p class="small">(해요체, registre informel poli)</p>
[sound:걸렸어요.mp3]	걸<span class="불규칙">렸</span>어요<p class="small">(*걸<span class="불규칙">리었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">걸리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">걸려요</div><div class="과거">걸렸어요</div></div></div>	il prenait <span class="small">(le temps)</span><p class="small">(해요체, registre informel poli)</p>

[sound:골라요.mp3]	<span class="불규칙">골라</span>요<p class="small">(*<span class="불규칙">고ㄹ/ㄹ아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">고르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div><div class="bloc"><div class="현재">골라요</div><div class="과거">골랐어요</div><div class="명령법">고르세요</div></div></div>	il choisit, il sélectionne<p class="small">(해요체, registre informel poli)</p>
[sound:골랐어요.mp3]	<span class="불규칙">골랐</span>어요<p class="small">(*<span class="불규칙">고ㄹ/ㄹ았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">고르다</div><div class="불규칙">(“르” 불규칙 동사)</div></div><div class="bloc"><div class="현재">골라요</div><div class="과거">골랐어요</div><div class="명령법">고르세요</div></div></div>	il choisissait, il sélectionnait<p class="small">(해요체, registre informel poli)</p>

[sound:고맙습니다.mp3]	고맙습니다<p class="발음">[고맙<span style="font-weight: bold">씀</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">고맙다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">고맙습니다</div><div class="해요체">고마워요</div></div><div class="과거">고마웠어요</div></div></div>	il remercie, merci<p class="small">(하십시오체, registre formel poli)</p><ul><li><span style="font-weight: bold">coréen natif</span>&nbsp;; la forme sino-coréenne 감사합니다 est plus formelle</li></ul>
[sound:고마워요.mp3]	고마<span class="불규칙">워</span>요<p class="small">(*고마<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">고맙다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">고맙습니다</div><div class="해요체">고마워요</div></div><div class="과거">고마웠어요</div></div></div>	il remercie, merci<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">coréen natif</span>&nbsp;; la forme sino-coréenne 감사해요 est plus formelle</li></ul>
[sound:고마웠어요.mp3]	고마<span class="불규칙">웠</span>어요<p class="small">(*고마<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">고맙다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">고맙습니다</div><div class="해요체">고마워요</div></div><div class="과거">고마웠어요</div></div></div>	il remerciait / il était reconnaissant<p class="small">(해요체, registre informel poli)</p><ul><li><span style="font-weight: bold">coréen natif</span>&nbsp;; la forme sino-coréenne 감사했어요 est plus formelle</li></ul>

[sound:공부해요.mp3]	공부해요<div class="활용"><div class="bloc"><div class="부정사">공부하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">공부해요</div><div class="과거">공부했어요</div><div class="명령법">공부하세요</div></div></div>	il étudie<p class="small">(해요체, registre informel poli)</p>
[sound:공부했어요.mp3]	공부했어요<div class="활용"><div class="bloc"><div class="부정사">공부하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">공부해요</div><div class="과거">공부했어요</div><div class="명령법">공부하세요</div></div></div>	il étudiait<p class="small">(해요체, registre informel poli)</p>

[sound:괜찮습니다.mp3]	괜찮습니다<p class="발음">[괜찮<span style="font-weight: bold">슴</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">괜찮다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">괜찮습니다</div><div class="해요체">괜찮아요</div></div><div class="과거">괜찮았어요</div></div></div>	il va bien, ça va, ce n'est pas grave<p class="small">(하십시오체, registre formel poli)</p><ul><li>en réponse à des excuses&nbsp;: &mdash;&nbsp;미안합니다 / 죄송합니다. &mdash;&nbsp;괜찮습니다.</li></ul>
[sound:괜찮아요.mp3]	괜찮아요<div class="활용"><div class="bloc"><div class="부정사">괜찮다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">괜찮습니다</div><div class="해요체">괜찮아요</div></div><div class="과거">괜찮았어요</div></div></div>	il va bien, ça va, ce n'est pas grave<p class="small">(해요체, registre informel poli)</p><ul><li>en réponse à des excuses&nbsp;: &mdash;&nbsp;미안해요 / 죄송해요. &mdash;&nbsp;괜찮아요.</li></ul>
[sound:괜찮았어요.mp3]	괜찮았어요<div class="활용"><div class="bloc"><div class="부정사">괜찮다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">괜찮습니다</div><div class="해요체">괜찮아요</div></div><div class="과거">괜찮았어요</div></div></div>	il allait bien, ça allait, ce n'était pas grave<p class="small">(해요체, registre informel poli)</p>

[sound:구경해요.mp3]	구경해요<div class="활용"><div class="bloc"><div class="부정사">구경하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">구경해요</div><div class="과거">구경했어요</div></div></div>	il visite<hr/>il regarde<p class="small">(해요체, registre informel poli)</p>
[sound:구경했어요.mp3]	구경했어요<div class="활용"><div class="bloc"><div class="부정사">구경하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">구경해요</div><div class="과거">구경했어요</div></div></div>	il visitait<hr/>il regardait<p class="small">(해요체, registre informel poli)</p>

[sound:구워요.mp3]	구<span class="불규칙">워</span>요<p class="small">(*구<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">굽다</div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">구워요</div><div class="과거">구웠어요</div></div></div>	il grille<p class="small">(해요체, registre informel poli)</p>
[sound:구웠어요.mp3]	구<span class="불규칙">웠</span>어요<p class="small">(*구<span class="불규칙">우었</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">굽다</div><div class="불규칙">(“ㅂ” 불규칙 동사)</div></div><div class="bloc"><div class="현재">구워요</div><div class="과거">구웠어요</div></div></div>	il grillait<p class="small">(해요체, registre informel poli)</p>

[sound:그래요.mp3]	그<span class="불규칙">래</span>요<p class="small">(*그<span class="불규칙">래어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">그렇다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">그래요</div><div class="과거">그랬어요</div></div><div class="bloc"><div class="는데">그런데</div><div class="면">그러면 / 그럼</div></div></div>	c'est ainsi, c'est comme cela<p class="small">(해요체, registre informel poli)</p>
[sound:그랬어요.mp3]	그<span class="불규칙">랬</span>어요<p class="small">(*그<span class="불규칙">래었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">그렇다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">그래요</div><div class="과거">그랬어요</div></div><div class="bloc"><div class="는데">그런데</div><div class="면">그러면 / 그럼</div></div></div>	c'était ainsi, c'était comme cela<p class="small">(해요체, registre informel poli)</p>

[sound:기다려요.mp3]	기다<span class="불규칙">려</span>요<p class="small">(*기다<span class="불규칙">리어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">기다리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">기다려요</div><div class="과거">기다렸어요</div><div class="명령법">기다리세요</div></div></div>	il attend<p class="small">(해요체, registre informel poli)</p>
[sound:기다렸어요.mp3]	기다<span class="불규칙">렸</span>어요<p class="small">(*기다<span class="불규칙">리었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">기다리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">기다려요</div><div class="과거">기다렸어요</div><div class="명령법">기다리세요</div></div></div>	il attendait<p class="small">(해요체, registre informel poli)</p>

[sound:끝나요.mp3]	끝<span class="불규칙">나</span>요 <span class="발음">[<span style="font-weight: bold">끈</span>나요]</span><p class="small">(*끝<span class="불규칙">나아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">끝나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">끝나요</div><div class="과거">끝났어요</div></div></div>	il se finit, il se termine<p class="small">(해요체, registre informel poli)</p>
[sound:끝났어요.mp3]	끝<span class="불규칙">났</span>어요 <span class="발음">[<span style="font-weight: bold">끈</span>나써요]</span><p class="small">(*끝<span class="불규칙">나았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">끝나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">끝나요</div><div class="과거">끝났어요</div></div></div>	il se finissait, il se terminait<p class="small">(해요체, registre informel poli)</p>

[sound:나타나요.mp3]	나타<span class="불규칙">나</span>요<p class="small">(*나타<span class="불규칙">나아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">나타나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">나타나요</div><div class="과거">나타났어요</div></div></div>	il apparaît<p class="small">(해요체, registre informel poli)</p>
[sound:나타났어요.mp3]	나타<span class="불규칙">났</span>어요<p class="small">(*나타<span class="불규칙">나았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">나타나다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">나타나요</div><div class="과거">나타났어요</div></div></div>	il apparaissait<p class="small">(해요체, registre informel poli)</p>

[sound:내리다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">내리다</div><div class="불규칙">(동사)</div></div></div><p class="small">(&ne;&nbsp;타다)</p>	descendre <span class="small">(d'un véhicule)</span><p class="small">(&ne;&nbsp;monter)</p><ul><li>verbe régulier</li></ul>
[sound:내려요.mp3]	내<span class="불규칙">려</span>요<p class="small">(*내<span class="불규칙">리어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">내리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">내려요</div><div class="과거">내렸어요</div><div class="명령법">내리세요</div></div></div>	il descend <span class="small">(d'un véhicule)</span><p class="small">(해요체, registre informel poli)</p>
[sound:내렸어요.mp3]	내<span class="불규칙">렸</span>어요<p class="small">(*내<span class="불규칙">리었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">내리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">내려요</div><div class="과거">내렸어요</div><div class="명령법">내리세요</div></div></div>	il descendait <span class="small">(d'un véhicule)</span><p class="small">(해요체, registre informel poli)</p>

