tags: darakwon 3-과

[sound:대화.mp3]	대화	dialogue<p class="small">conversation, discussion</p>
[sound:대학원생.mp3]	대학원생 <span class="발음">[대하권생]</span> <span class="small light">/ 대학교</span>	étudiant <span class="small">(en master)</span> <span class="small light">/ université</span>
[sound:초등학생.mp3]	초등학생 <span class="발음">[초등학쌩]</span> <span class="small light">/ 초등학교</span>	élève du primaire <span class="small light">/ école primaire</span>
[sound:초등학교.mp3]	초등학교 <span class="small">(6년)</span> <span class="small light">/ 초등학생</span><p class="small light">유치원 &lt; <span style="font-weight: bold">초등학교</span> &lt; 중학교 &lt; 고등학교 &lt; 대학교</p>	école primaire <span class="small light">/ élève du primaire</span><p class="small">(한국의 학제: système scolaire coréen ; angl. “elementary school”)</p>
[sound:대학교.mp3]	대학교 <span class="small">(2~4년)</span> <span class="small light">/ 대학생</span><p class="small light">유치원 &lt; 초등학교 &lt; 중학교 &lt; 고등학교 &lt; <span style="font-weight: bold">대학교</span></p>	université <span class="small light">/ étudiant</span><p class="small">(한국의 학제: système scolaire coréen ; angl. “college”)</p><ul><li>le <span class="em">수능</span> est l'examen d'entrée à l'université</li><br><li>l'acronyme <span class="em">SKY</span> désigne les trois meilleurs universités du pays&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>l'université nationale de Séoul (<span class="em">서울대학교</span>, angl. “Seoul National University” ou SNU)</li><li>l'université de Corée (<span class="em">고려대학교</span>, angl. “Korea University”)</li><li>l'université Yonsei (<span class="em">연세</span>)</li></ul><br><li>l'université pour femmes Ewha (<span class="em">이화여자대학교</span>) est plus communément appelée Ewha (<span class="em">이화</span>) par les étrangers et <span class="em">이대</span> par les Coréens</li><br><li>Yonsei et Ewha sont toutes les 2 situées à Séoul dans l'arrondissement de Seodaemun (<span class="em">서대문구</span>)</li><br><li>L'université <span class="em">성균관</span> (appelée aussi SKKU ou simplement <span class="em">성대</span>) est une université privée séoulite. Fondée en 992, l'enseignement &mdash;&nbsp;sous les dynasties Goryeo (고려, 918 &ndash; 1392) et Joseon (조선, 1392 &ndash; 1910)&nbsp;&mdash; était basé sur le confucianisme et avait pour objectif de préparer les étudiants à entrer au service du gouvernement. Le but principal pour les étudiants était donc de passer le <span class="em">과거</span>, l'examen qui attestait de leur capacité à interpréter les classiques chinois suivant l'idéologie néoconfucéenne officielle.</li></ul>
[sound:학년.mp3]	학년 <span class="발음">[항년]</span><p class="small">일 학년 / 이 학년 / 삼 학년 / &hellip;</p>	années scolaires<p class="small">(수분류사: classificateur + ordinal <span class="em">sino-coréen</span>)</p><ul><li>이 학년 (deuxième année)</li><li>삼 학년 (troisième année)</li></ul>
[sound:삼_학년.mp3]	삼 학년 <span class="발음">[삼 항년]</span>	troisième année<p class="small">(scolaire)</p>

[sound:뭐_무슨_어떤_어느.mp3]	뭐 <span class="small">&lt;&nbsp;무엇</span>	qu'est-ce que&nbsp;?<ul><li>pronom, suivi d'un verbe</li><li>angl. “what?”</li><br>&mdash;&nbsp;이름이 뭐예요? &mdash;&nbsp;국적이 뭐예요? &mdash;&nbsp;이게 뭐예요?</ul>
[sound:사람_분.mp3]	사람	personne<p class="small">(être humain)</p>
[sound:이름_성함.mp3]	이름	nom, prénom<ul>&mdash;&nbsp;이름이 뭐예요? &mdash;&nbsp;저는 찬호예요.<br>&mdash;&nbsp;<span style="font-style: italic">Comment t'appelles-tu&nbsp;? &mdash;&nbsp;Je m'appelle Chan-ho.</span></ul>
[sound:이름이_뭐예요.mp3]	<ul>이름이 뭐예요?</ul>	<ul>Comment t'appelles-tu&nbsp;? <span class="light" style="font-style: italic">(litt. “Quel est ton nom&nbsp;?”)</span></ul>
[sound:은_는_께서는.mp3]	-은/-는	particule (조사) de thème<ul><li>usage&nbsp;:<ul style="font-size: 100%; list-style-type: circle"><li>souligner ce dont on parle (le thème)</li><li>faire référence à un élément déjà mentionné</li><li>énoncer une vérité générale</li><li>mettre en contraste un élément par rapport à un autre</li></ul></li><br><li>n'indique pas de fonction grammaticale particulière&nbsp;: elle peut donc remplacer (ou s'adjoindre) à d'autres particules (sujet, objet, &hellip;)</li><br><li>on utilise <span class="em">-은 après une consonne</span> et <span class="em">-는 après une voyelle</span> (la contraction en -ㄴ après une voyelle est fréquente à l'oral)</li></ul>
[sound:나_저.mp3]	저	je / me / moi<ul><li>pronom personnel (대명사)&nbsp;: 1<sup>ère</sup> personne du singulier</li></ul>

[sound:역사.mp3]	역사 <span class="발음">[역싸]</span>	histoire<p class="small">(matière scolaire)</p>
[sound:요리사.mp3]	요리사	cuisinier, chef
[sound:한국어.mp3]	한국어	coréen<p class="small">(langue)</p><ul class="small"><li>appartient à la famille des <span class="em">langues altaïques</span> (comme le mongol, le hongrois, le turc ou le finnois)</li><li>parlé du nord au sud de la péninsule par plus de 70 millions de personnes</li></ul>
[sound:회사원.mp3]	회사원 <span class="small light">/ 회사</span>	employé de bureau<p class="small light">/ entreprise, compagnie, société</p>

[sound:국적.mp3]	국적 <span class="발음">[국쩍]</span>	nationalité<ul>&mdash;&nbsp;국적이 뭐예요? &mdash;&nbsp;저는 한국 사람이에요.<br>&mdash;&nbsp;<span style="font-style: italic">Quelle est votre nationalité&nbsp;? &mdash;&nbsp;Je suis coréen.</span></ul>
[sound:국적이_뭐예요.mp3]	<ul>국적이 뭐예요?</ul>	<ul>Quelle est votre nationalité&nbsp;?</ul>
[sound:벨기에.mp3]	벨기에 <span class="small light">/ 브뤼셀</span>	Belgique <span class="small light">/ Bruxelles</span><p class="small">(국가: pays)</p>
[sound:모로코.mp3]	모로코	Maroc<p class="small">(국가: pays)</p>
[sound:스위스.mp3]	스위스	Suisse<p class="small">(국가: pays)</p>

[sound:그렇다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">그렇다 <span class="발음">[그러<span style="font-weight: bold">타</span>]</span></div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div></div>	être ainsi, être comme cela<ul><li>adjectif irrégulier en “ㅎ”&nbsp;: ㅎ disparaît devant voyelle et les voyelles 아 / 어 / 여 deviennent 애</li></ul>
[sound:그래요_정말이에요_진짜예요.mp3]	(아,) 그<span class="불규칙">래</span>요?<div class="활용"><div class="bloc"><div class="부정사">그렇다</div><div class="불규칙">(“ㅎ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">그래요</div></div></div>	(Ah,) vraiment&nbsp;?<p class="small">(litt. “c'est ainsi&nbsp;?”)</p>


[sound:받침-2.mp3]	받침<p class="fr small">(tension de la consonne)</p>	<ul>Lorsqu'un bloc terminé par une consonne finale (종성) simple ㄱ ㅋ ㄲ / ㄷ ㅌ ㄸ / ㅂ ㅍ / ㅅ ㅆ / ㅈ ㅊ est suivi d'un bloc commençant par une <span class="em">consonne initiale (초성) ㄱ ㄷ ㅂ ㅅ ㅈ</span>, alors il y a tension de cette consonne initiale qui se prononce <span class="em">ㄲ ㄸ ㅃ ㅆ ㅉ</span>.<br><br><table id="underlined-header" style="font-size: 100%"><tr><th colspan="2">ㄱ ㅋ ㄲ / ㄷ ㅌ ㄸ / ㅂ ㅍ / ㅅ ㅆ / ㅈ ㅊ</th></tr><tr><td width="35%">+ [ㄱ] &rarr; [ㄲ]</td><td class="light">학교 [학<span style="font-weight: bold">꾜</span>]</td></tr><tr><td>+ [ㄷ] &rarr; [ㄸ]</td><td class="light">맞다 [맏<span style="font-weight: bold">따</span>] / 찾다 [찯<span style="font-weight: bold">따</span>]</td></tr><tr><td>+ [ㅂ] &rarr; [ㅃ]</td><td class="light"></td></tr><tr><td>+ [ㅅ] &rarr; [ㅆ]</td><td class="light">대학생 [대학<span style="font-weight: bold">쌩</span>] / 반갑습니다 [반갑<span style="font-weight: bold">씀</span>니다]</td></tr><tr><td>+ [ㅈ] &rarr; [ㅉ]</td><td class="light"></td></tr></table></ul>

## https://www.koreanwikiproject.com/wiki/Nasalization
[sound:받침-3.mp3]	비음화	nasalisation<ul>Lorsqu'un bloc terminé par une consonne finale (종성) simple ㄱ ㅋ ㄲ / ㅂ ㅍ / ㄷ ㅌ / ㅅ ㅆ / ㅈ ㅊ / ㅎ est suivi d'un bloc commençant par une <span class="em">consonne initiale (초성) ㄴ ㅁ</span>, alors il y a nasalisation de la consonne finale.<br><br><table style="font-size: 100%"><tr><td width="20%">ㄱ ㅋ ㄲ</td><td width="10%">[ㅇ]</td><td class="light">국물 [<span style="font-weight: bold">궁</span>물] / 삼 학년 [삼 <span style="font-weight: bold">항</span>년] / 박물관 [<span style="font-weight: bold">방</span>물관]</td></tr><tr><td>ㅂ ㅍ</td><td>[ㅁ]</td><td class="light">감사합니다 [감사<span style="font-weight: bold">함</span>니다] / 반갑습니다 [반갑<span style="font-weight: bold">씀</span>니다]</td></tr><tr><td>ㄷ ㅌ</td><td>[ㄴ]</td><td class="light">끝나요 [<span style="font-weight: bold">끈</span>나요]</td></tr><tr><td>ㅅ ㅆ</td><td>[ㄴ]</td><td class="light">다섯 명 [다<span style="font-weight: bold">선</span> 명]</td></tr><tr><td>ㅈ ㅊ</td><td>[ㄴ]</td><td class="light">몇 명 [<span style="font-weight: bold">면</span>명]</td></tr><tr><td>ㅎ</td><td>[ㄴ]</td><td class="light"></td></tr></table></ul>


[sound:수사.mp3]	수사	numéral<ul><li>Il existe deux systèmes numériques coréens : le <span class="em">coréen natif (하나, 둘, 셋, 넷, &hellip;)</span> et le <span class="em">sino-coréen (일, 이, 삼, 사, &hellip;)</span>.</li><br><li>Le système numérique <span class="em">coréen natif est utilisé comme cardinal avec la plupart des classificateurs (수분류사)</span> et sert donc généralement à indiquer un nombre, une quantité d'objets.<br>ex.: 열 과, dix leçons</li><br><li>Le système numérique <span class="em">sino-coréen est généralement utilisé comme ordinal</span> pour indiquer la position d'un objet dans une série (comme une leçon spécifique dans un livre), ainsi que pour les unités monétaires et les mesures scientifiques.<br>ex.: 십과, dixième leçon / leçon numéro dix</li></ul>
[sound:일_1.mp3]	일 <span class="small">(1)</span><p class="small light">공 &lt; <span style="font-weight: bold">일</span> &lt; 이 &lt; 삼 &lt; 사 &lt; 오 &lt; 육 &lt; 칠 &lt; 팔 &lt; 구 &lt; 십</p>	un<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:이_2.mp3]	이 <span class="small">(2)</span><p class="small light">공 &lt; 일 &lt; <span style="font-weight: bold">이</span> &lt; 삼 &lt; 사 &lt; 오 &lt; 육 &lt; 칠 &lt; 팔 &lt; 구 &lt; 십</p>	deux<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:삼_3.mp3]	삼 <span class="small">(3)</span><p class="small light">공 &lt; 일 &lt; 이 &lt; <span style="font-weight: bold">삼</span> &lt; 사 &lt; 오 &lt; 육 &lt; 칠 &lt; 팔 &lt; 구 &lt; 십</p>	trois<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:사_4.mp3]	사 <span class="small">(4)</span><p class="small light">공 &lt; 일 &lt; 이 &lt; 삼 &lt; <span style="font-weight: bold">사</span> &lt; 오 &lt; 육 &lt; 칠 &lt; 팔 &lt; 구 &lt; 십</p>	quatre<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:오_5.mp3]	오 <span class="small">(5)</span><p class="small light">공 &lt; 일 &lt; 이 &lt; 삼 &lt; 사 &lt; <span style="font-weight: bold">오</span> &lt; 육 &lt; 칠 &lt; 팔 &lt; 구 &lt; 십</p>	cinq<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:육_6.mp3]	육 <span class="small">(6)</span><p class="small light">공 &lt; 일 &lt; 이 &lt; 삼 &lt; 사 &lt; 오 &lt; <span style="font-weight: bold">육</span> &lt; 칠 &lt; 팔 &lt; 구 &lt; 십</p>	six<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:칠_7.mp3]	칠 <span class="small">(7)</span><p class="small light">공 &lt; 일 &lt; 이 &lt; 삼 &lt; 사 &lt; 오 &lt; 육 &lt; <span style="font-weight: bold">칠</span> &lt; 팔 &lt; 구 &lt; 십</p>	sept<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:팔_8.mp3]	팔 <span class="small">(8)</span><p class="small light">공 &lt; 일 &lt; 이 &lt; 삼 &lt; 사 &lt; 오 &lt; 육 &lt; 칠 &lt; <span style="font-weight: bold">팔</span> &lt; 구 &lt; 십</p>	huit<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:구_9.mp3]	구 <span class="small">(9)</span><p class="small light">공 &lt; 일 &lt; 이 &lt; 삼 &lt; 사 &lt; 오 &lt; 육 &lt; 칠 &lt; 팔 &lt; <span style="font-weight: bold">구</span> &lt; 십</p>	neuf<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:십_10.mp3]	십 <span class="small">(10)</span><p class="small light">공 &lt; 일 &lt; 이 &lt; 삼 &lt; 사 &lt; 오 &lt; 육 &lt; 칠 &lt; 팔 &lt; 구 &lt; <span style="font-weight: bold">십</span></p>	dix<p class="small">(수사: numéral <span class="em">sino-coréen</span>)</p>
[sound:일_이_삼_사_오_육_칠_팔_구_십.mp3]	일 이 삼 사 오 육 칠 팔 구 십	numéraux (수사) <span class="em">sino-coréens</span><p class="small light">un, deux, trois, quatre, &hellip;, dix</p>


[sound:이다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">이다</div></div></div><p class="small">(&ne;&nbsp;아니다)</p>	être<p class="small">(&ne;&nbsp;ne pas être)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li><li>la copule s'agglutine aux noms, pronoms interrogatifs, &hellip;</li><li>il n'y a jamais d'espace typographique entre le nom et la copule</li><li>souvent utilisé comme le présentatif “c'est”</li></ul>
[sound:이에요_예요.mp3]	-이에요 / -예요<div class="활용"><div class="부정사">이다</div><div class="현재">-이에요 / -예요</div></div>	il est<p class="small">(해요체, registre informel poli)</p><ul><li>la <span class="em">copule</span> sert à marquer l'identité</li><li>on utilise <span class="em">-이에요 après une consonne</span> et <span class="em">-예요 après une voyelle</span></li></ul>


[sound:인사와.mp3]	인사와	salutations
[sound:인사하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">인사하다</div><div class="불규칙">(동사)</div></div></div>	saluer<ul><li>verbe régulier</li></ul>

[sound:소개.mp3]	소개 <span class="small light">/ 소개팅</span>	présentation<p class="small light">/ rdv à l'aveugle, blind date</p>
[sound:소개하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">소개하다</div><div class="불규칙">(동사)</div></div></div>	présenter, introduire (qq'un)<ul><li>verbe régulier</li></ul>

[sound:반갑다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">반갑다 <span class="발음">[반갑<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div></div>	être enchanté, ravi<p class="small">(de rencontrer qq'un)</p><ul><li>adjectif irrégulier en “ㅂ”&nbsp;: ㅂ devient 오 devant la voyelle 아 et 우 devant toute autre voyelle</li></ul>
[sound:반가워요.mp3]	(만나서) 반가<span class="불규칙">워</span>요<p class="small">(*반가<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">반갑다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">반갑습니다</div><div class="해요체">반가워요</div></div></div></div>	il est enchanté, ravi <span class="small">(de rencontrer qq'un)</span><p class="small">(해요체, registre informel poli)</p>
[sound:반갑습니다.mp3]	반갑습니다<p class="발음">[반갑<span style="font-weight: bold">씀</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">반갑다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">반갑습니다</div><div class="해요체">반가워요</div></div></div></div>	il est enchanté, ravi <span class="small">(de rencontrer qq'un)</span><p class="small">(하십시오체, registre formel poli)</p>


# 연습

[sound:문장.mp3]	문장 <span class="small light">/ 단어</span>	phrase <span class="small light">/ mot</span>
[sound:괄호.mp3]	괄호 (안에)	(entre) parenthèses<ul><li>표현 (expression)<br><br>&mdash;&nbsp;괄호 안에 알맞은 단어를 찾으세요.<br>&mdash;&nbsp;<span style="font-style: italic">Trouvez le bon mot entre parenthèses.</span><br><br>&mdash;&nbsp;괄호 안을 채우세요.<br>&mdash;&nbsp;<span style="font-style: italic">Complétez les parenthèses.</span></li></ul>
[sound:빈칸.mp3]	빈칸	espace blanc<p class="small">(dans un tableau, un formulaire)</p><ul><li>표현 (expression)<br><br>&mdash;&nbsp;빈칸을 채우세요.<br>&mdash;&nbsp;<span style="font-style: italic">Remplissez les (espaces) blancs.</span></li></ul>
[sound:그림.mp3]	그림	dessin
[sound:참.mp3]	참<p class="small">(&ne;&nbsp;거짓)</p>	vrai<p class="small">(&ne;&nbsp;faux)</p><hr/>vraiment <span class="small">(adv.)</span>
[sound:거짓.mp3]	거짓 <span class="발음">[거짇]</span> <span class="small light">/ 거짓말</span><p class="small">(&ne;&nbsp;참)</p>	faux <span class="small light">/ mensonge</span><p class="small">(&ne;&nbsp;vrai)</p>

[sound:사용.mp3]	사용<hr/>이용	emploi, utilisation, usage
[sound:사용_설명서.mp3]	사용 설명서	mode d'emploi / manuel d'instruction
[sound:사용하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">사용하다<br>이용하다</div><div class="불규칙">(동사)</div></div></div>	employer, utiliser, se servir de<ul><li>verbe régulier</li></ul>
[sound:사용하세요.mp3]	사용하세요<div class="활용"><div class="bloc"><div class="부정사">사용하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="명령법">사용하세요</div></div></div>	utilisez, servez-vous de<p class="small">(impératif honorifique)</p>

[sound:바꾸다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">바꾸다</div><div class="불규칙">(동사)</div></div></div>	changer, transformer, modifier<hr/>échanger<ul><li>verbe régulier</li></ul>
[sound:바꾸세요.mp3]	바꾸세요<div class="활용"><div class="bloc"><div class="부정사">바꾸다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="명령법">바꾸세요</div></div></div>	changez / échangez, transformez, modifiez<p class="small">(impératif honorifique)</p>

[sound:찾다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">찾다 <span class="발음">[찯<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(동사)</div></div></div>	chercher, trouver<ul><li>verbe régulier</li></ul>
[sound:찾으세요.mp3]	찾으세요<div class="활용"><div class="bloc"><div class="부정사">찾다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="명령법">찾으세요</div></div></div>	cherchez, trouvez<p class="small">(impératif honorifique)</p>

[sound:해당하는_그림을_고르세요.mp3]	<ul>해당하는 그림을 고르세요.</ul>	<ul>Choisissez l'image appropriée.</ul>
[sound:괄호_안에_알맞은_단어를_찾으세요.mp3]	<ul>괄호 안에 알맞은 단어를 찾으세요.</ul>	<ul>Trouvez le bon mot entre parenthèses.</ul>
[sound:빈칸을_채우세요.mp3]	<ul>빈칸을 채우세요.</ul>	<ul>Remplissez les (espaces) blancs.</ul>
[sound:참인지_거짓인지_말하세요.mp3]	<ul>참인지 거짓인지 말하세요.</ul>	<ul>Dites si c'est vrai ou faux.</ul>
[sound:보기와_같이_문장을_바꾸세요.mp3]	<ul>보기와 같이 문장을 바꾸세요.</ul>	<ul>Changez la phrase comme dans l'exemple.</ul>
[sound:보기와_같이_사람을_소개해_보세요.mp3]	<ul>보기와 같이 사람을 소개해 보세요.</ul>	<ul>Présentez la personne comme dans l'exemple.</ul>


# 대화 1

[sound:안녕하세요_저는_모르간이에요.mp3]	<ul><li>안녕하세요? 저는 모르간이에요. 프랑스 사람이에요.</li><li>안녕하세요? 반갑습니다. 저는 상준이에요. 한국 사람이에요.</li></ul>	<ul><li>Bonjour. Je m'appelle Morgane. Je suis française.</li><li>Bonjour. Enchanté. Je m'appelle Sang-joon. Je suis coréen.</li></ul>


# 대화 2

[sound:안녕하세요_저는_사미라예요.mp3]	<ul><li>안녕하세요? 저는 사미라예요. 이름이 뭐예요?</li><li>저는 레오예요. 반갑습니다.</li></ul>	<ul><li>Bonjour. Je m'appelle Samira. Comment t'appelles-tu&nbsp;?</li><li>Je m'appelle Léo. Enchanté.</li></ul>

[sound:저는_모로코_사람이에요.mp3]	<ul><li>저는 모로코 사람이에요.</li><li>아, 그래요? 저는 벨기에 사람이에요.</li></ul>	<ul><li>Je suis marocaine.</li><li>Ah, vraiment&nbsp;? Moi, je suis belge.</li></ul>

[sound:저는_대학생이에요.mp3]	<ul><li>저는 대학생이에요. 삼 학년이에요.</li><li>저는 대학원생이에요.</li></ul>	<ul><li>Je suis étudiante. Je suis en troisième année.</li><li>Moi, je suis en master.</li></ul>


# 읽기

[sound:사미라는_대학교_삼_학년이에요.mp3]	<ul>사미라는 대학교 삼 학년이에요. 전공은 한국어예요.</ul>	<ul>Samira est en troisième année d'université. Sa matière principale est le coréen.</ul>

[sound:레오는_벨기에_사람이에요.mp3]	<ul>레오는 벨기에 사람이에요. 대학원생이에요. 전공은 한국 역사예요.</ul>	<ul>Léo est belge. Il est étudiant en master. Sa matière principale est l'histoire coréenne.</ul>

[sound:피에르는_프랑스_사람이에요.mp3]	<ul>피에르는 프랑스 사람이에요. 요리사예요.</ul>	<ul>Pierre est français. Il est cuisinier.</ul>

[sound:찬호는_회사원이에요.mp3]	<ul>찬호는 회사원이에요. 한국 사람이에요.</ul>	<ul>Chan-ho est employé de bureau. Il est coréen.</ul>

[sound:마리는_선생님이에요.mp3]	<ul>마리는 선생님이에요. 프랑스 사람이에요.</ul>	<ul>Marie est enseignante. Elle est française.</ul>


# 듣기와 말하기

[sound:안녕하세요_저는_마리예요.mp3]	<ul>안녕하세요? 저는 마리예요. 프랑스 사람이에요. 저는 선생님이에요.</ul>	<ul>Bonjour. Je m'appelle Marie. Je suis française. Je suis enseignante.</ul>

[sound:저는_찬호예요.mp3]	<ul>저는 찬호예요. 한국 사람이에요. 회사원이에요.</ul>	<ul>Je m'appelle Chan-ho. Je suis coréen. Je suis employé de bureau.</ul>

[sound:안녕하세요_저는_레오예요.mp3]	<ul>안녕하세요? 저는 레오예요. 벨기에 사람이에요. 대학원생이에요.</ul>	<ul>Bonjour. Je m'appelle Léo. Je suis belge. Je suis étudiant en master.</ul>

[sound:저는_이자벨이에요.mp3]	<ul>저는 이자벨이에요. 저는 기자예요. 프랑스 사람이에요.</ul>	<ul>Je m'appelle Isabelle. Je suis journaliste. Je suis française.</ul>

[sound:저는_아가트예요.mp3]	<ul>저는 아가트예요. 가수예요. 저는 캐나다 사람이에요.</ul>	<ul>Je m'appelle Agathe. Je suis chanteuse. Je suis canadienne.</ul>

[sound:제레미는_스위스_사람이에요.mp3]	<ul>제레미는 스위스 사람이에요. 배우예요.</ul>	<ul>Jérémie est suisse. Il est acteur.</ul>
